Dundee  N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
;
;Dundee
N056.27.13.754 W003.01.02.021 N056.27.13.703 W003.01.01.998 Teal
N056.27.13.703 W003.01.01.998 N056.27.13.688 W003.01.02.000 Teal
N056.27.13.688 W003.01.02.000 N056.27.13.656 W003.01.02.019 Teal
N056.27.13.656 W003.01.02.019 N056.27.13.576 W003.01.01.997 Teal
N056.27.13.576 W003.01.01.997 N056.27.13.561 W003.01.02.044 Teal
N056.27.13.561 W003.01.02.044 N056.27.13.517 W003.01.02.076 Teal
N056.27.13.517 W003.01.02.076 N056.27.13.444 W003.01.02.110 Teal
N056.27.13.444 W003.01.02.110 N056.27.13.407 W003.01.02.184 Teal
N056.27.13.407 W003.01.02.184 N056.27.13.397 W003.01.02.262 Teal
N056.27.13.397 W003.01.02.262 N056.27.13.341 W003.01.02.332 Teal
N056.27.13.341 W003.01.02.332 N056.27.13.318 W003.01.02.425 Teal
N056.27.13.318 W003.01.02.425 N056.27.13.307 W003.01.02.507 Teal
N056.27.13.307 W003.01.02.507 N056.27.13.303 W003.01.02.590 Teal
N056.27.13.303 W003.01.02.590 N056.27.13.303 W003.01.02.666 Teal
N056.27.13.303 W003.01.02.666 N056.27.13.310 W003.01.02.785 Teal
N056.27.13.310 W003.01.02.785 N056.27.13.367 W003.01.02.885 Teal
N056.27.13.367 W003.01.02.885 N056.27.13.347 W003.01.02.904 Teal
N056.27.13.497 W003.01.02.828 N056.27.13.830 W003.01.02.833 Teal
N056.27.13.828 W003.01.02.439 N056.27.13.494 W003.01.02.422 Teal
N056.27.13.634 W003.01.02.428 N056.27.13.637 W003.01.02.816 Teal
;- ISLANDS
N056.22.46.526 W003.25.04.575 N056.22.58.858 W003.25.17.619 Teal
N056.22.58.858 W003.25.17.619 N056.23.00.411 W003.25.19.033 Teal
N056.23.00.411 W003.25.19.033 N056.23.02.147 W003.25.20.593 Teal
N056.23.02.147 W003.25.20.593 N056.23.04.084 W003.25.22.324 Teal
N056.23.04.084 W003.25.22.324 N056.23.06.224 W003.25.24.295 Teal
N056.23.06.224 W003.25.24.295 N056.23.09.380 W003.25.27.292 Teal
N056.23.09.380 W003.25.27.292 N056.23.08.389 W003.25.27.645 Teal
N056.23.08.389 W003.25.27.645 N056.23.07.755 W003.25.27.777 Teal
N056.23.07.755 W003.25.27.777 N056.23.07.180 W003.25.27.983 Teal
N056.23.07.180 W003.25.27.983 N056.23.06.509 W003.25.28.499 Teal
N056.23.06.509 W003.25.28.499 N056.23.05.660 W003.25.29.410 Teal
N056.23.05.660 W003.25.29.410 N056.23.04.247 W003.25.31.823 Teal
N056.23.04.247 W003.25.31.823 N056.23.03.572 W003.25.32.859 Teal
N056.23.03.572 W003.25.32.859 N056.23.02.757 W003.25.33.880 Teal
N056.23.02.757 W003.25.33.880 N056.23.01.215 W003.25.34.935 Teal
N056.23.01.215 W003.25.34.935 N056.22.59.192 W003.25.34.725 Teal
N056.22.59.192 W003.25.34.725 N056.22.58.416 W003.25.34.777 Teal
N056.22.58.416 W003.25.34.777 N056.22.56.395 W003.25.36.268 Teal
N056.22.56.395 W003.25.36.268 N056.22.55.074 W003.25.37.456 Teal
N056.22.55.074 W003.25.37.456 N056.22.53.229 W003.25.39.338 Teal
N056.22.53.229 W003.25.39.338 N056.22.52.688 W003.25.40.650 Teal
N056.22.52.688 W003.25.40.650 N056.22.51.670 W003.25.43.183 Teal
N056.22.51.670 W003.25.43.183 N056.22.50.797 W003.25.45.234 Teal
N056.22.50.797 W003.25.45.234 N056.22.50.305 W003.25.45.813 Teal
N056.22.50.305 W003.25.45.813 N056.22.49.595 W003.25.45.404 Teal
N056.22.49.595 W003.25.45.404 N056.22.49.107 W003.25.45.195 Teal
N056.22.49.107 W003.25.45.195 N056.22.47.213 W003.25.44.172 Teal
N056.22.47.213 W003.25.44.172 N056.22.46.485 W003.25.43.572 Teal
N056.22.46.485 W003.25.43.572 N056.22.45.883 W003.25.42.882 Teal
N056.22.45.883 W003.25.42.882 N056.22.45.248 W003.25.42.008 Teal
N056.22.45.248 W003.25.42.008 N056.22.44.252 W003.25.39.386 Teal
N056.22.44.252 W003.25.39.386 N056.22.43.823 W003.25.35.996 Teal
N056.22.43.823 W003.25.35.996 N056.22.43.660 W003.25.31.964 Teal
N056.22.43.660 W003.25.31.964 N056.22.43.632 W003.25.29.848 Teal
N056.22.43.632 W003.25.29.848 N056.22.43.639 W003.25.27.704 Teal
N056.22.43.639 W003.25.27.704 N056.22.43.522 W003.25.23.341 Teal
N056.22.43.522 W003.25.23.341 N056.22.43.514 W003.25.19.075 Teal
N056.22.43.514 W003.25.19.075 N056.22.43.640 W003.25.16.987 Teal
N056.22.43.640 W003.25.16.987 N056.22.43.940 W003.25.14.791 Teal
N056.22.43.940 W003.25.14.791 N056.22.44.415 W003.25.12.782 Teal
N056.22.44.415 W003.25.12.782 N056.22.44.822 W003.25.10.849 Teal
N056.22.44.822 W003.25.10.849 N056.22.45.864 W003.25.06.929 Teal
N056.22.45.864 W003.25.06.929 N056.22.46.410 W003.25.04.574 Teal
N056.23.11.065 W003.25.28.874 N056.23.12.634 W003.25.29.659 Teal
N056.23.12.634 W003.25.29.659 N056.23.13.838 W003.25.30.163 Teal
N056.23.13.838 W003.25.30.163 N056.23.15.315 W003.25.30.623 Teal
N056.23.15.315 W003.25.30.623 N056.23.18.998 W003.25.31.334 Teal
N056.23.18.998 W003.25.31.334 N056.23.20.966 W003.25.31.481 Teal
N056.23.20.966 W003.25.31.481 N056.23.24.715 W003.25.31.404 Teal
N056.23.24.715 W003.25.31.404 N056.23.26.559 W003.25.31.198 Teal
N056.23.26.559 W003.25.31.198 N056.23.28.496 W003.25.30.901 Teal
N056.23.28.496 W003.25.30.901 N056.23.31.286 W003.25.30.577 Teal
N056.23.31.286 W003.25.30.577 N056.23.32.328 W003.25.31.247 Teal
N056.23.32.328 W003.25.31.247 N056.23.35.312 W003.25.34.121 Teal
N056.23.35.312 W003.25.34.121 N056.23.34.317 W003.25.35.465 Teal
N056.23.34.317 W003.25.35.465 N056.23.33.787 W003.25.34.921 Teal
N056.23.33.787 W003.25.34.921 N056.23.32.164 W003.25.34.721 Teal
N056.23.32.164 W003.25.34.721 N056.23.31.221 W003.25.34.902 Teal
N056.23.31.221 W003.25.34.902 N056.23.28.476 W003.25.35.408 Teal
N056.23.28.476 W003.25.35.408 N056.23.26.914 W003.25.35.670 Teal
N056.23.26.914 W003.25.35.670 N056.23.25.413 W003.25.35.990 Teal
N056.23.25.413 W003.25.35.990 N056.23.23.947 W003.25.36.332 Teal
N056.23.23.947 W003.25.36.332 N056.23.20.952 W003.25.36.867 Teal
N056.23.20.952 W003.25.36.867 N056.23.19.368 W003.25.37.098 Teal
N056.23.19.368 W003.25.37.098 N056.23.17.954 W003.25.37.265 Teal
N056.23.17.954 W003.25.37.265 N056.23.16.450 W003.25.37.486 Teal
N056.23.16.450 W003.25.37.486 N056.23.14.993 W003.25.37.656 Teal
N056.23.14.993 W003.25.37.656 N056.23.13.431 W003.25.37.862 Teal
N056.23.13.431 W003.25.37.862 N056.23.11.916 W003.25.38.054 Teal
N056.23.11.916 W003.25.38.054 N056.23.10.454 W003.25.38.190 Teal
N056.23.10.454 W003.25.38.190 N056.23.06.282 W003.25.36.987 Teal
N056.23.06.282 W003.25.36.987 N056.23.05.638 W003.25.36.618 Teal
N056.23.05.638 W003.25.36.618 N056.23.05.080 W003.25.36.312 Teal
N056.23.05.080 W003.25.36.312 N056.23.04.784 W003.25.35.790 Teal
N056.23.04.784 W003.25.35.790 N056.23.04.843 W003.25.35.403 Teal
N056.23.04.843 W003.25.35.403 N056.23.05.234 W003.25.34.624 Teal
N056.23.05.234 W003.25.34.624 N056.23.05.600 W003.25.34.155 Teal
N056.23.05.600 W003.25.34.155 N056.23.05.963 W003.25.33.585 Teal
N056.23.05.963 W003.25.33.585 N056.23.06.289 W003.25.32.999 Teal
N056.23.06.289 W003.25.32.999 N056.23.06.598 W003.25.32.378 Teal
