;- HEATHROW HOLDING POINTS
N051.28.06.580:W000.26.56.760:EGLL Stands:208
N051.28.06.890:W000.26.47.180:EGLL Stands:209
N051.28.06.590:W000.26.47.010:EGLL Stands:209L
N051.28.07.910:W000.26.47.760:EGLL Stands:209R
N051.28.05.020:W000.26.52.820:EGLL Stands:210
N051.28.08.150:W000.27.03.620:EGLL Stands:211
N051.28.03.380:W000.27.09.700:EGLL Stands:212
N051.28.03.370:W000.27.10.790:EGLL Stands:212L
N051.28.03.390:W000.27.07.760:EGLL Stands:212R
N051.28.07.230:W000.27.01.970:EGLL Stands:213
N051.28.03.390:W000.27.04.920:EGLL Stands:214
N051.28.05.010:W000.26.57.980:EGLL Stands:215
N051.28.13.260:W000.26.51.840:EGLL Stands:236
N051.28.11.980:W000.26.49.550:EGLL Stands:238
N051.28.10.720:W000.26.47.240:EGLL Stands:240
N051.28.09.530:W000.26.45.120:EGLL Stands:242
;301   N051.28.
;302   N051.28.08.770:W000.27.35.610
N051.28.04.650:W000.27.20.630:EGLL Stands:303
N051.28.04.650:W000.27.21.820:EGLL Stands:303L
N051.28.04.650:W000.27.19.630:EGLL Stands:303R
;304   N051.28.07.660:W000.27.34.400:EGLL Stands:304
N051.28.04.640:W000.27.25.240:EGLL Stands:305
N051.28.06.540:W000.27.33.160:EGLL Stands:306R
N051.28.04.630:W000.27.26.430:EGLL Stands:305L
N051.28.04.640:W000.27.24.240:EGLL Stands:305R
;306   N051.28.07.050:W000.27.33.730:EGLL Stands:306
N051.28.04.620:W000.27.29.850:EGLL Stands:307
;308   N051.28.05.020:W000.27.31.510:EGLL Stands:308
N051.28.07.810:W000.27.35.050:EGLL Stands:309
;310   N051.28.03.320:W000.27.29.640:EGLL Stands:310
N051.28.09.010:W000.27.36.370:EGLL Stands:311
N051.28.07.060:W000.27.39.570:EGLL Stands:313
;314   N051.28.03.660:W000.27.48.340:EGLL Stands:314
;315   N051.28.04.610:W000.27.37.220:EGLL Stands:315
N051.28.05.700:W000.27.50.580:EGLL Stands:316
N051.28.07.730:W000.27.52.810:EGLL Stands:317
N051.28.12.160:W000.27.44.700:EGLL Stands:318
N051.28.09.760:W000.27.55.040:EGLL Stands:319
N051.28.14.190:W000.27.46.930:EGLL Stands:320
N051.28.11.800:W000.27.57.270:EGLL Stands:321
N051.28.16.220:W000.27.49.160:EGLL Stands:322
N051.28.13.320:W000.27.40.610:EGLL Stands:323
;324   N051.28.21.330:W000.27.36.820:EGLL Stands:324
N051.28.15.190:W000.27.42.660:EGLL Stands:325
N051.28.23.200:W000.27.38.890:EGLL Stands:326
N051.28.17.050:W000.27.44.710:EGLL Stands:327
N051.28.25.060:W000.27.40.930:EGLL Stands:328
N051.28.18.930:W000.27.46.760:EGLL Stands:329
N051.28.26.930:W000.27.42.980:EGLL Stands:330
N051.28.20.800:W000.27.48.800:EGLL Stands:331
N051.28.29.180:W000.27.45.600:EGLL Stands:332
N051.28.29.170:W000.27.50.340:EGLL Stands:334
N051.28.21.950:W000.27.51.760:EGLL Stands:335
N051.28.29.150:W000.27.54.380:EGLL Stands:336
N051.28.29.160:W000.27.53.630:EGLL Stands:336L
;336R  N051.28.29.150:W000.27.55.370:EGLL Stands:336R
N051.28.27.780:W000.28.00.930:EGLL Stands:338
;338L  N051.28.29.140:W000.27.57.600:EGLL Stands:338L
;338R  N051.28.29.130:W000.27.59.910:EGLL Stands:338R
N051.28.25.530:W000.28.00.200:EGLL Stands:340
N051.28.22.930:W000.27.59.790:EGLL Stands:342
;342L  N051.28.21.960:W000.27.58.560:EGLL Stands:342L
;342R  N051.28.21.960:W000.27.56.380:EGLL Stands:342R
N051.28.24.380:W000.27.34.770:EGLL Stands:350
N051.28.24.660:W000.27.35.090:EGLL Stands:351
N051.28.25.700:W000.27.36.240:EGLL Stands:352
N051.28.26.380:W000.27.36.980:EGLL Stands:353
;353L  N051.28.26.870:W000.27.37.510:EGLL Stands:353L
;353R  N051.28.25.880:W000.27.36.430:EGLL Stands:353R
N051.28.26.790:W000.27.37.430:EGLL Stands:354
N051.28.13.910:W000.27.59.560:EGLL Stands:363
N051.28.18.260:W000.27.51.400:EGLL Stands:364
N051.28.17.870:W000.27.50.970:EGLL Stands:364L
;364R  N051.28.18.930:W000.27.52.130:EGLL Stands:364R
N051.28.16.790:W000.27.59.730:EGLL Stands:365
;366   N051.28.19.180:W000.27.56.640:EGLL Stands:366
N051.27.28.130:W000.26.53.890:EGLL Stands:401
N051.27.27.050:W000.26.57.030:EGLL Stands:402
N051.27.25.900:W000.27.00.250:EGLL Stands:403
N051.27.30.350:W000.27.08.210:EGLL Stands:404
N051.27.32.130:W000.27.05.660:EGLL Stands:405
N051.27.34.020:W000.27.02.970:EGLL Stands:406
N051.27.35.900:W000.27.00.280:EGLL Stands:407
N051.27.37.780:W000.26.57.590:EGLL Stands:408
N051.27.39.670:W000.26.54.890:EGLL Stands:409
N051.27.41.550:W000.26.52.210:EGLL Stands:410
N051.27.43.430:W000.26.49.520:EGLL Stands:411
N051.27.45.260:W000.26.46.900:EGLL Stands:412
N051.27.44.710:W000.26.35.390:EGLL Stands:414
N051.27.43.010:W000.26.36.570:EGLL Stands:415
N051.27.42.780:W000.26.36.720:EGLL Stands:416
N051.27.41.780:W000.26.37.420:EGLL Stands:417
N051.27.41.050:W000.26.37.910:EGLL Stands:418
N051.27.40.490:W000.26.38.300:EGLL Stands:419
N051.27.39.320:W000.26.39.110:EGLL Stands:420
N051.27.37.580:W000.26.40.300:EGLL Stands:421
N051.27.36.690:W000.26.36.080:EGLL Stands:422
N051.27.38.850:W000.26.34.590:EGLL Stands:423
N051.27.41.010:W000.26.33.100:EGLL Stands:424
N051.27.43,200:W000.26.31.590:EGLL Stands:425
N051.27.44.060:W000.26.25.490:EGLL Stands:429
N051.27.41.860:W000.26.24.320:EGLL Stands:430
N051.27.41.880:W000.26.20.430:EGLL Stands:431
N051.27.41.740:W000.26.16.540:EGLL Stands:432
N051.27.37.740:W000.27.04.560:EGLL Stands:440
N051.27.39.560:W000.27.01.960:EGLL Stands:441
N051.27.30.340:W000.27.14.320:EGLL Stands:451
N051.27.32.770:W000.27.14.240:EGLL Stands:452
N051.27.35.190:W000.27.14.160:EGLL Stands:453
N051.27.38.990:W000.27.15.020:EGLL Stands:454
N051.27.40.990:W000.27.17.220:EGLL Stands:455
N051.27.42.990:W000.27.19.410:EGLL Stands:456
N051.27.28.280:W000.27.09.760:EGLL Stands:461
N051.27.25.900:W000.27.07.100:EGLL Stands:463
N051.27.45.790:W000.27.22.160:EGLL Stands:RS
N051.27.44.850:W000.27.21.120:EGLL Stands:RSL
N051.27.46.220:W000.27.22.630:EGLL Stands:RSR
N051.27.46.370:W000.27.30.690:EGLL Stands:601
N051.27.46.360:W000.27.34.550:EGLL Stands:602
N051.27.46.350:W000.27.38.400:EGLL Stands:603
N051.27.46.330:W000.27.42.260:EGLL Stands:604
N051.27.46.320:W000.27.46.120:EGLL Stands:605
N051.27.46.310:W000.27.50.210:EGLL Stands:606
N051.27.46.100:W000.27.53.930:EGLL Stands:607
N051.27.46.090:W000.27.57.710:EGLL Stands:608
N051.27.46.080:W000.28.01.500:EGLL Stands:609
N051.27.41.430:W000.28.19.510:EGLL Stands:611
N051.27.39.620:W000.28.19.490:EGLL Stands:612
N051.27.37.340:W000.28.19.470:EGLL Stands:613
N051.27.37.810:W000.28.23.350:EGLL Stands:614
N051.27.40.940:W000.28.23.380:EGLL Stands:615
N051.27.44.060:W000.28.23.400:EGLL Stands:616
N051.28.28.240:W000.29.22.330:EGLL Stands:501
N051.28.27.720:W000.29.20.100:EGLL Stands:502
N051.28.27.630:W000.29.17.870:EGLL Stands:503
N051.28.27.640:W000.29.15.290:EGLL Stands:505
N051.28.26.360:W000.29.07.300:EGLL Stands:506
N051.28.24.970:W000.29.07.290:EGLL Stands:507
N051.28.23.360:W000.29.07.270:EGLL Stands:508
N051.28.21.750:W000.29.07.260:EGLL Stands:509
N051.28.20.350:W000.29.07.240:EGLL Stands:511
N051.28.18.740:W000.29.07.230:EGLL Stands:512
N051.28.16.810:W000.29.07.210:EGLL Stands:513
N051.28.16.560:W000.29.07.210:EGLL Stands:514
N051.28.16.120:W000.29.07.200:EGLL Stands:515
N051.28.14.160:W000.29.07.190:EGLL Stands:516
N051.28.13.730:W000.29.07.180:EGLL Stands:517
N051.28.11.750:W000.29.11.470:EGLL Stands:518
N051.28.10.270:W000.29.08.650:EGLL Stands:519
N051.28.10.260:W000.29.11.330:EGLL Stands:520
N051.28.10.420:W000.29.13.760:EGLL Stands:521
N051.28.10.410:W000.29.16.360:EGLL Stands:522
N051.28.10.400:W000.29.18.950:EGLL Stands:523
N051.28.04.900:W000.29.19.690:EGLL Stands:524
N051.28.04.900:W000.29.17.450:EGLL Stands:525
N051.28.04.920:W000.29.12.540:EGLL Stands:526
N051.28.05.270:W000.29.10.320:EGLL Stands:527
N051.28.25.690:W000.28.58.740:EGLL Stands:531
N051.28.23.300:W000.28.58.720:EGLL Stands:532
N051.28.20.900:W000.28.58.700:EGLL Stands:533
N051.28.18.510:W000.28.58.680:EGLL Stands:534
N051.28.16.110:W000.28.58.660:EGLL Stands:535
