;background
REGIONNAME East Midlands
smrGrass N052.48.20.236 W001.22.24.867
N052.49.46.374 W001.20.13.339
N052.49.46.853 W001.20.13.544
N052.49.49.680 W001.20.13.632
N052.49.50.036 W001.20.13.250
N052.49.50.215 W001.20.12.660
N052.49.50.127 W001.20.15.577
N052.49.49.877 W001.20.15.135
N052.49.49.610 W001.20.14.928
N052.49.47.457 W001.20.14.809
N052.49.46.835 W001.20.14.956
N052.49.46.038 W001.20.15.233
N052.49.45.700 W001.20.15.587
N052.49.45.415 W001.20.16.588
N052.49.45.308 W001.20.17.619
N052.49.45.184 W001.20.19.887
N052.49.44.968 W001.20.32.064
N052.49.45.074 W001.20.37.369
N052.49.45.002 W001.20.43.411
N052.49.45.179 W001.20.44.412
N052.49.45.428 W001.20.45.208
N052.49.46.033 W001.20.46.094
N052.49.46.622 W001.20.46.775
N052.49.46.995 W001.20.47.099
N052.49.47.547 W001.20.47.188
N052.49.48.189 W001.20.47.012
N052.49.48.600 W001.20.46.660
N052.49.49.027 W001.20.45.951
N052.49.49.458 W001.20.44.568
N052.49.49.622 W001.20.43.891
N052.49.49.547 W001.20.48.697
N052.49.46.552 W001.20.48.789
N052.49.45.891 W001.20.48.908
N052.49.45.409 W001.20.49.409
N052.49.45.213 W001.20.49.763
N052.49.44.981 W001.20.50.884
N052.49.44.855 W001.20.51.562
N052.49.44.837 W001.20.53.007
N052.49.44.855 W001.20.54.009
N052.49.44.926 W001.20.54.657
N052.49.45.033 W001.20.55.512
N052.49.45.300 W001.20.56.134
N052.49.45.621 W001.20.56.518
N052.49.45.959 W001.20.56.665
N052.49.46.945 W001.20.56.910
N052.49.47.913 W001.20.56.887
N052.49.48.753 W001.20.56.741
N052.49.49.110 W001.20.56.534
N052.49.49.327 W001.20.56.033
N052.49.49.648 W001.20.55.767
N052.49.49.433 W001.20.58.428
N052.49.48.987 W001.20.58.428
N052.49.46.030 W001.20.58.583
N052.49.45.550 W001.20.58.790
