;Grass Background
N051.36.04.880 W004.03.48.121
N051.36.04.967 W004.03.48.843
N051.36.05.046 W004.03.49.594
N051.36.05.085 W004.03.50.560
N051.36.05.490 W004.03.56.697
N051.36.05.023 W004.03.56.757
N051.36.04.889 W004.03.54.985
N051.36.04.731 W004.03.52.160
N051.36.04.625 W004.03.50.003
N051.36.04.562 W004.03.48.934
N051.36.04.380 W004.03.47.990
N051.36.04.124 W004.03.47.231
N051.36.03.785 W004.03.46.513
N051.36.03.447 W004.03.46.021
N051.36.03.141 W004.03.45.689
N051.36.02.803 W004.03.45.504
N051.36.02.311 W004.03.45.430
N051.36.01.752 W004.03.45.391
N051.36.00.050 W004.03.45.601
N051.35.59.154 W004.03.45.790
N051.35.58.494 W004.03.46.145
N051.35.57.768 W004.03.46.625
N051.35.57.313 W004.03.47.084
N051.35.56.924 W004.03.47.637
N051.35.56.587 W004.03.48.309
N051.35.56.330 W004.03.48.776
N051.35.55.973 W004.03.49.665
N051.35.55.613 W004.03.50.733
N051.35.55.247 W004.03.51.974
N051.35.54.970 W004.03.53.019
N051.35.54.745 W004.03.54.030
N051.35.54.489 W004.03.55.029
N051.35.54.197 W004.03.56.053
N051.36.01.806 W004.04.04.543
N051.36.01.981 W004.04.07.585
N051.35.59.639 W004.04.05.218
N051.35.53.588 W004.03.58.250
N051.35.53.076 W004.04.00.049
N051.35.52.661 W004.04.01.234
N051.35.52.286 W004.04.02.439
N051.35.51.967 W004.04.03.619
N051.35.51.876 W004.04.04.133
N051.35.51.852 W004.04.04.579
N051.35.51.605 W004.04.05.488
N051.35.51.338 W004.04.06.591
N051.35.50.979 W004.04.08.006
N051.35.50.698 W004.04.09.120
N051.35.50.669 W004.04.09.610
N051.35.50.624 W004.04.10.191
N051.35.50.635 W004.04.10.670
N051.35.50.670 W004.04.11.346
N051.35.50.774 W004.04.12.171
N051.35.51.069 W004.04.13.556
N051.35.51.378 W004.04.14.580
N051.35.51.768 W004.04.15.515
N051.35.52.077 W004.04.16.112
N051.35.52.680 W004.04.17.137
N051.35.53.411 W004.04.18.067
N051.35.54.054 W004.04.18.916
N051.35.55.325 W004.04.20.324
N051.35.56.483 W004.04.21.609
N051.35.57.665 W004.04.23.047
N051.35.58.215 W004.04.23.847
N051.35.59.259 W004.04.26.375
N051.36.00.127 W004.04.28.259
N051.36.00.404 W004.04.29.265
N051.36.00.706 W004.04.31.144
N051.36.01.356 W004.04.34.598
N051.36.01.613 W004.04.35.741
N051.36.01.975 W004.04.36.759
N051.36.02.430 W004.04.37.174
N051.36.02.905 W004.04.37.474
N051.36.03.777 W004.04.37.703
N051.36.03.805 W004.04.37.290
N051.36.05.236 W004.04.37.221
N051.36.05.420 W004.04.37.502
N051.36.06.177 W004.04.37.415
N051.36.06.808 W004.04.37.160
N051.36.08.014 W004.04.36.482
N051.36.10.471 W004.04.34.258
N051.36.12.067 W004.04.32.867
N051.36.12.566 W004.04.32.651
N051.36.13.543 W004.04.32.314
N051.36.15.088 W004.04.31.764
N051.36.16.906 W004.04.31.007
N051.36.17.619 W004.04.30.492
N051.36.18.055 W004.04.30.248
N051.36.19.510 W004.04.28.542
N051.36.19.853 W004.04.27.977
N051.36.09.250 W004.04.15.858
N051.36.10.581 W004.04.14.630
N051.36.20.797 W004.04.26.176
N051.36.21.635 W004.04.24.156
N051.36.21.926 W004.04.23.397
N051.36.22.115 W004.04.22.595
N051.36.22.438 W004.04.21.030
N051.36.22.600 W004.04.20.028
N051.36.23.028 W004.04.18.681
N051.36.23.715 W004.04.17.066
N051.36.24.567 W004.04.15.077
N051.36.25.240 W004.04.13.539
N051.36.26.176 W004.04.11.440
N051.36.26.989 W004.04.09.312
N051.36.28.431 W004.04.05.484
N051.36.30.980 W004.03.59.147
N051.36.31.501 W004.03.57.890
N051.36.32.403 W004.03.56.099
N051.36.32.999 W004.03.55.116
N051.36.33.428 W004.03.54.303
N051.36.34.402 W004.03.52.665
N051.36.35.970 W004.03.50.196
N051.36.36.084 W004.03.49.922
N051.36.36.151 W004.03.49.661
N051.36.36.144 W004.03.49.433
N051.36.36.104 W004.03.49.183
N051.36.35.955 W004.03.48.692
N051.36.35.460 W004.03.46.927
N051.36.35.208 W004.03.46.350
N051.36.33.779 W004.03.43.416
N051.36.33.539 W004.03.42.973
N051.36.33.351 W004.03.42.668
N051.36.32.621 W004.03.41.662
N051.36.32.251 W004.03.41.327
N051.36.31.775 W004.03.40.915
N051.36.31.178 W004.03.40.740
N051.36.30.750 W004.03.40.674
N051.36.30.375 W004.03.40.876
N051.36.29.941 W004.03.41.181
N051.36.26.990 W004.03.43.887
N051.36.25.438 W004.03.45.544
N051.36.20.907 W004.03.49.992
N051.36.18.777 W004.03.51.956
N051.36.17.789 W004.03.53.256
N051.36.17.134 W004.03.54.364
N051.36.16.384 W004.03.56.024
N051.36.15.530 W004.03.58.213
N051.36.15.138 W004.03.59.196
N051.36.14.678 W004.03.59.979
N051.36.14.422 W004.04.00.293
N051.36.15.063 W004.04.01.224
N051.36.15.581 W004.04.01.756
N051.36.15.859 W004.04.02.048
N051.36.16.136 W004.04.02.698
N051.36.15.866 W004.04.03.037
N051.36.14.754 W004.04.03.481
N051.36.15.440 W004.04.02.558
N051.36.15.440 W004.04.02.307
N051.36.15.204 W004.04.01.934
N051.36.14.818 W004.04.01.534
N051.36.14.324 W004.04.01.139
N051.36.13.974 W004.04.00.944
N051.36.13.618 W004.04.01.011
N051.36.13.399 W004.04.01.147
N051.36.13.392 W004.04.00.753
N051.36.13.678 W004.04.00.699
N051.36.14.097 W004.04.00.333
N051.36.14.420 W004.03.59.882
N051.36.14.561 W004.03.59.693
N051.36.15.003 W004.03.58.893
N051.36.15.446 W004.03.57.859
N051.36.16.256 W004.03.55.771
N051.36.17.000 W004.03.54.073
N051.36.17.663 W004.03.52.988
N051.36.18.620 W004.03.51.548
N051.36.19.731 W004.03.50.227
N051.36.20.850 W004.03.49.227
N051.36.21.757 W004.03.48.410
N051.36.23.849 W004.03.46.343
N051.36.26.001 W004.03.44.269
N051.36.28.206 W004.03.42.074
N051.36.29.888 W004.03.40.521
N051.36.30.493 W004.03.40.239
N051.36.31.068 W004.03.40.166
N051.36.31.745 W004.03.40.330
N051.36.32.289 W004.03.40.633
N051.36.33.070 W004.03.41.332
N051.36.33.539 W004.03.41.842
N051.36.34.114 W004.03.42.716
N051.36.34.624 W004.03.43.878
N051.36.34.831 W004.03.44.264
N051.36.35.629 W004.03.45.762

;Apron
REGIONNAME Swansea
smrGDapron N051.36.07.123 W004.04.07.613
N051.36.06.608 W004.04.07.022
N051.36.06.175 W004.04.08.011
N051.36.05.096 W004.04.06.859
N051.36.05.042 W004.04.06.795
N051.36.05.007 W004.04.06.709
N051.36.04.984 W004.04.06.624
N051.36.04.621 W004.04.01.218
N051.36.04.602 W004.04.00.924
N051.36.04.625 W004.04.00.772
N051.36.05.401 W004.03.59.683
N051.36.05.423 W004.03.59.610
N051.36.05.432 W004.03.59.531
N051.36.05.387 W004.03.59.371
N051.36.05.798 W004.03.59.087
N051.36.05.834 W004.03.59.211
N051.36.05.906 W004.03.59.407
N051.36.06.028 W004.03.59.749
N051.36.06.234 W004.04.00.225
N051.36.06.522 W004.04.00.687
N051.36.06.739 W004.04.00.961
N051.36.07.028 W004.04.01.246
N051.36.07.272 W004.04.01.410
N051.36.07.413 W004.04.01.485
N051.36.07.470 W004.04.01.467
N051.36.07.547 W004.04.01.409
N051.36.07.590 W004.04.01.318
N051.36.07.630 W004.04.01.201
N051.36.07.664 W004.04.01.013
N051.36.07.693 W004.04.00.165
N051.36.07.700 W004.04.00.114
N051.36.07.784 W004.03.59.834
N051.36.07.938 W004.03.59.442
N051.36.08.091 W004.03.59.230
N051.36.08.348 W004.04.00.534
N051.36.08.289 W004.04.00.600
N051.36.08.383 W004.04.01.261
N051.36.08.433 W004.04.01.589
N051.36.08.512 W004.04.01.921
N051.36.08.569 W004.04.01.928
N051.36.09.004 W004.04.01.915
N051.36.09.052 W004.04.01.897
N051.36.08.992 W004.04.01.211
N051.36.09.347 W004.04.01.092
N051.36.09.459 W004.04.01.751
N051.36.09.928 W004.04.01.616
N051.36.10.037 W004.04.01.572
N051.36.10.292 W004.04.01.473
