;Outer Border
REGIONNAME Manchester
N053.21.22.361 W002.15.59.350
N053.21.23.112 W002.15.59.460
N053.21.24.515 W002.16.00.060
N053.21.24.987 W002.16.00.423
N053.21.25.162 W002.16.00.616
N053.21.25.473 W002.16.01.015
N053.21.20.341 W002.16.11.501
N053.21.16.903 W002.16.06.893

; a1_ag1_05L grass
REGIONNAME Manchester
smrCCgrass N053.20.44.438 W002.17.33.751
N053.20.48.562 W002.17.25.229
N053.20.49.397 W002.17.26.211
N053.20.49.783 W002.17.26.479
N053.20.50.175 W002.17.26.756
N053.20.50.564 W002.17.26.974
N053.20.50.796 W002.17.27.158
N053.20.50.959 W002.17.27.347
N053.20.51.112 W002.17.27.615
N053.20.51.274 W002.17.27.970
N053.20.51.387 W002.17.28.417
N053.20.51.383 W002.17.28.980
N053.20.51.296 W002.17.29.474
N053.20.51.052 W002.17.30.432
N053.20.50.751 W002.17.31.289
N053.20.50.511 W002.17.31.907
N053.20.50.386 W002.17.32.164
N053.20.50.283 W002.17.32.212
N053.20.49.717 W002.17.33.365
N053.20.49.390 W002.17.33.878
N053.20.49.058 W002.17.34.253
N053.20.48.549 W002.17.34.773
N053.20.47.971 W002.17.35.170
N053.20.47.324 W002.17.35.405
N053.20.46.598 W002.17.35.537
N053.20.45.919 W002.17.35.439
N053.20.45.331 W002.17.35.189
N053.20.44.946 W002.17.34.896
N053.20.44.794 W002.17.34.702
N053.20.44.646 W002.17.34.401
N053.20.44.527 W002.17.34.116
N053.20.44.438 W002.17.33.751

; a2_ag_05L grass
REGIONNAME Manchester
smrCCgrass N053.20.49.202 W002.17.23.849
N053.20.55.418 W002.17.11.049
N053.20.56.546 W002.17.12.587
N053.20.57.209 W002.17.14.072
N053.20.57.152 W002.17.14.512
N053.20.57.320 W002.17.14.841
N053.20.56.756 W002.17.16.136
N053.20.56.770 W002.17.16.433
N053.20.56.866 W002.17.16.644
N053.20.56.979 W002.17.16.864
N053.20.57.104 W002.17.17.044
N053.20.57.240 W002.17.17.208
N053.20.57.335 W002.17.17.344
N053.20.57.436 W002.17.17.683
N053.20.57.509 W002.17.18.028
N053.20.57.513 W002.17.18.306
N053.20.57.486 W002.17.18.752
N053.20.57.415 W002.17.19.014
N053.20.57.308 W002.17.19.255
N053.20.55.727 W002.17.22.016
N053.20.55.620 W002.17.22.035
N053.20.54.344 W002.17.24.198
N053.20.53.710 W002.17.24.994
N053.20.53.444 W002.17.25.189
N053.20.53.093 W002.17.25.443
N053.20.52.507 W002.17.25.733
N053.20.51.765 W002.17.25.824
N053.20.51.306 W002.17.25.777
N053.20.50.705 W002.17.25.615
N053.20.50.306 W002.17.25.425
N053.20.49.882 W002.17.25.094
N053.20.49.615 W002.17.24.838
N053.20.49.346 W002.17.24.488
N053.20.49.116 W002.17.24.186
N053.20.49.077 W002.17.24.117

; ae_af_triangle grass
REGIONNAME Manchester
smrCCgrass N053.20.55.988 W002.17.09.874
N053.20.57.973 W002.17.05.710
N053.20.57.402 W002.17.12.081
N053.20.56.633 W002.17.11.055
N053.20.56.637 W002.17.10.909
N053.20.56.595 W002.17.10.791

; b_a_ae_05L grass
REGIONNAME Manchester
smrCCgrass N053.20.59.609 W002.17.02.452
N053.20.59.659 W002.17.02.263
N053.21.03.178 W002.16.54.914
N053.21.03.474 W002.16.54.284
N053.21.04.009 W002.16.55.013
N053.21.04.468 W002.16.55.479
N053.21.04.827 W002.16.55.754
N053.21.05.193 W002.16.55.953
N053.21.05.773 W002.16.56.027
N053.21.06.212 W002.16.55.954
N053.21.08.111 W002.16.55.606
N053.21.08.333 W002.16.55.988
N053.21.08.482 W002.16.56.308
N053.21.08.726 W002.16.56.582
N053.21.08.798 W002.16.56.727
N053.21.04.798 W002.17.04.962
N053.21.03.561 W002.17.07.629
N053.21.03.511 W002.17.07.561
N053.21.02.014 W002.17.10.673
N053.21.01.674 W002.17.11.358
N053.21.00.835 W002.17.10.234
N053.21.00.822 W002.17.10.131
N053.21.00.839 W002.17.09.996
N053.21.00.855 W002.17.09.878
N053.21.00.804 W002.17.09.764
N053.21.00.690 W002.17.09.807
N053.21.00.578 W002.17.09.986
N053.21.00.754 W002.17.10.417
N053.21.01.589 W002.17.11.532
N053.21.01.495 W002.17.11.724
N053.21.00.541 W002.17.13.254
N053.21.00.282 W002.17.13.533
N053.21.00.043 W002.17.13.810
N053.20.59.753 W002.17.14.077
N053.20.59.452 W002.17.14.274
N053.20.59.164 W002.17.14.453
N053.20.58.878 W002.17.14.430
N053.20.58.705 W002.17.14.310
N053.20.58.523 W002.17.14.071
N053.20.58.392 W002.17.13.795
N053.20.58.343 W002.17.13.459
N053.20.58.308 W002.17.13.184
N053.20.58.241 W002.17.13.141
N053.20.58.170 W002.17.11.947
N053.20.58.808 W002.17.07.054
N053.20.59.785 W002.17.07.349
N053.21.00.103 W002.17.07.523
N053.21.00.156 W002.17.07.355
N053.21.00.069 W002.17.07.267
N053.21.00.340 W002.17.06.696
N053.21.00.191 W002.17.06.507
N053.20.59.887 W002.17.07.122
N053.20.58.842 W002.17.06.806
N053.20.59.079 W002.17.05.195
N053.20.59.187 W002.17.04.537
N053.20.59.343 W002.17.03.678
N053.20.59.470 W002.17.03.074
N053.20.59.565 W002.17.02.667

; b_bd grass
REGIONNAME Manchester
smrCCgrass N053.21.04.977 W002.16.54.359
N053.21.04.698 W002.16.54.134
N053.21.04.354 W002.16.53.717
N053.21.04.027 W002.16.53.268
N053.21.04.252 W002.16.52.809
N053.21.06.504 W002.16.48.192
N053.21.08.314 W002.16.47.957
N053.21.07.812 W002.16.53.930
N053.21.07.776 W002.16.54.057
N053.21.07.706 W002.16.54.119
N053.21.05.844 W002.16.54.568
N053.21.05.565 W002.16.54.576
N053.21.05.347 W002.16.54.526
N053.21.05.165 W002.16.54.464
N053.21.04.977 W002.16.54.359

; taton_surround grass
REGIONNAME Manchester
smrCCgrass N053.21.08.915 W002.16.52.769
N053.21.08.887 W002.16.52.477
N053.21.08.889 W002.16.52.193
N053.21.08.934 W002.16.51.846
N053.21.08.967 W002.16.51.459
N053.21.08.851 W002.16.51.146
N053.21.09.275 W002.16.46.735
N053.21.09.455 W002.16.46.471
N053.21.09.461 W002.16.46.335
N053.21.09.750 W002.16.43.813
N053.21.09.806 W002.16.43.376
N053.21.09.881 W002.16.42.842
N053.21.09.984 W002.16.42.156
N053.21.10.127 W002.16.41.496
N053.21.10.283 W002.16.40.913
N053.21.10.397 W002.16.40.274
N053.21.10.510 W002.16.39.759
N053.21.10.620 W002.16.39.447
N053.21.13.285 W002.16.34.065
N053.21.15.674 W002.16.37.473
N053.21.15.714 W002.16.37.839
N053.21.15.724 W002.16.38.411
N053.21.15.726 W002.16.43.983
N053.21.15.656 W002.16.44.212
N053.21.15.413 W002.16.44.253
N053.21.15.475 W002.16.45.420
N053.21.15.282 W002.16.45.732
N053.21.14.549 W002.16.45.769
N053.21.14.467 W002.16.44.347
N053.21.10.198 W002.16.45.205
N053.21.10.272 W002.16.46.239
N053.21.09.501 W002.16.45.976
N053.21.09.460 W002.16.46.335
N053.21.10.294 W002.16.46.604
N053.21.10.387 W002.16.47.547
N053.21.14.537 W002.16.46.864
N053.21.14.526 W002.16.46.671
N053.21.14.768 W002.16.46.632
N053.21.14.091 W002.16.47.910
N053.21.11.124 W002.16.52.693
N053.21.10.910 W002.16.52.708
N053.21.10.279 W002.16.53.684
N053.21.09.580 W002.16.53.817
N053.21.09.404 W002.16.53.703
N053.21.09.266 W002.16.53.516
N053.21.09.078 W002.16.53.278
N053.21.08.915 W002.16.52.769

; rwy_K4_triangle grass
REGIONNAME Manchester
smrCCgrass N053.21.15.694 W002.16.35.709
N053.21.15.379 W002.16.35.389
N053.21.13.729 W002.16.33.083
N053.21.15.759 W002.16.28.940

; k4_d1 grass
REGIONNAME Manchester
smrCCgrass N053.21.17.202 W002.16.35.159
N053.21.17.151 W002.16.34.877
N053.21.17.182 W002.16.30.768
N053.21.17.198 W002.16.25.917
N053.21.17.525 W002.16.25.245
N053.21.18.985 W002.16.27.290
N053.21.19.175 W002.16.27.653
N053.21.19.613 W002.16.28.372
N053.21.20.005 W002.16.29.194
N053.21.20.246 W002.16.29.861
N053.21.20.278 W002.16.30.096
N053.21.20.128 W002.16.30.965
N053.21.19.935 W002.16.31.736
N053.21.19.256 W002.16.33.427
N053.21.18.612 W002.16.34.820
N053.21.18.247 W002.16.35.277
N053.21.17.919 W002.16.35.552
N053.21.17.635 W002.16.35.558
N053.21.17.489 W002.16.35.504
N053.21.17.361 W002.16.35.438

; k5_b grass
REGIONNAME Manchester
smrCCgrass N053.21.17.228 W002.16.42.897
N053.21.17.176 W002.16.42.737
N053.21.17.134 W002.16.40.519
N053.21.17.436 W002.16.39.660
N053.21.17.836 W002.16.38.633
N053.21.18.317 W002.16.37.512
N053.21.19.093 W002.16.35.927
N053.21.19.551 W002.16.35.001
N053.21.19.991 W002.16.34.192
N053.21.20.368 W002.16.33.506
N053.21.21.057 W002.16.32.515
N053.21.21.296 W002.16.32.183
N053.21.21.532 W002.16.32.026
N053.21.21.725 W002.16.31.973
N053.21.21.950 W002.16.32.032
N053.21.22.232 W002.16.32.200
N053.21.22.449 W002.16.32.648
N053.21.22.504 W002.16.33.023
N053.21.22.509 W002.16.33.457
N053.21.22.050 W002.16.34.839
N053.21.20.974 W002.16.36.723
N053.21.21.005 W002.16.36.781

; b_c grass
REGIONNAME Manchester
smrCCgrass N053.21.17.771 W002.16.43.797
N053.21.22.267 W002.16.36.499
N053.21.22.548 W002.16.36.488
N053.21.23.334 W002.16.35.137
N053.21.23.481 W002.16.34.966
N053.21.23.636 W002.16.34.827
N053.21.23.797 W002.16.34.780
N053.21.23.996 W002.16.34.734
N053.21.24.192 W002.16.34.821
N053.21.25.155 W002.16.35.437
N053.21.25.318 W002.16.35.604
N053.21.25.455 W002.16.35.863
N053.21.25.535 W002.16.36.198
N053.21.25.589 W002.16.36.466
N053.21.25.532 W002.16.36.902
N053.21.25.415 W002.16.37.266
N053.21.23.465 W002.16.41.326
N053.21.23.340 W002.16.41.383
N053.21.22.795 W002.16.42.372
N053.21.22.519 W002.16.42.566
N053.21.21.907 W002.16.43.439
N053.21.20.641 W002.16.43.753
N053.21.20.550 W002.16.43.923
N053.21.20.498 W002.16.43.969
N053.21.20.445 W002.16.43.966
N053.21.20.382 W002.16.43.963
N053.21.20.310 W002.16.43.928
N053.21.20.225 W002.16.43.901
N053.21.20.134 W002.16.43.920
N053.21.18.782 W002.16.44.059
N053.21.18.549 W002.16.44.021
N053.21.18.328 W002.16.43.965
N053.21.18.096 W002.16.43.889

; d_f_23L grass
REGIONNAME Manchester
smrCCgrass N053.21.18.084 W002.16.24.207
N053.21.21.805 W002.16.16.447
N053.21.22.621 W002.16.17.698
N053.21.23.079 W002.16.16.813
N053.21.24.193 W002.16.18.526
N053.21.24.853 W002.16.20.020
N053.21.24.936 W002.16.20.501
N053.21.24.916 W002.16.20.922
N053.21.24.725 W002.16.21.600
N053.21.24.586 W002.16.22.026
N053.21.24.416 W002.16.22.634
N053.21.22.689 W002.16.26.280
N053.21.21.718 W002.16.27.588
N053.21.21.552 W002.16.27.704
N053.21.21.340 W002.16.27.764
N053.21.21.056 W002.16.27.675
N053.21.20.760 W002.16.27.413
N053.21.20.007 W002.16.26.710
N053.21.18.983 W002.16.25.568
N053.21.18.084 W002.16.24.207

; f_g_disused_23L grass
REGIONNAME Manchester
smrCCgrass N053.21.22.748 W002.16.14.489
N053.21.27.769 W002.16.04.111
N053.21.28.733 W002.16.05.601
N053.21.29.102 W002.16.06.700
N053.21.29.306 W002.16.08.635
N053.21.29.289 W002.16.08.946
N053.21.28.279 W002.16.12.273
N053.21.28.289 W002.16.12.636
N053.21.28.381 W002.16.12.921
N053.21.28.410 W002.16.13.165
N053.21.28.409 W002.16.13.406
N053.21.28.359 W002.16.13.720
N053.21.27.941 W002.16.15.340
N053.21.27.508 W002.16.16.381
N053.21.27.125 W002.16.16.990
N053.21.26.538 W002.16.17.675
N053.21.26.388 W002.16.17.913
N053.21.26.259 W002.16.17.990
N053.21.25.853 W002.16.18.114
N053.21.25.333 W002.16.17.722
N053.21.24.730 W002.16.17.157
N053.21.24.121 W002.16.16.477
N053.21.23.593 W002.16.15.816
N053.21.22.748 W002.16.14.489

; g_h_23L grass
REGIONNAME Manchester
smrCCgrass N053.21.28.278 W002.16.03.025
N053.21.29.114 W002.16.01.282
N053.21.30.695 W002.16.01.695
N053.21.31.018 W002.16.01.855
N053.21.31.383 W002.16.02.092
N053.21.32.012 W002.16.02.635
N053.21.32.227 W002.16.03.001
N053.21.32.292 W002.16.03.449
N053.21.32.135 W002.16.04.938
N053.21.31.982 W002.16.05.261
N053.21.32.019 W002.16.05.320
N053.21.31.735 W002.16.05.979
N053.21.31.801 W002.16.06.038
N053.21.31.454 W002.16.06.757
N053.21.31.236 W002.16.06.788
N053.21.30.992 W002.16.06.632

; h_j_m_23L grass
REGIONNAME Manchester
smrCCgrass N053.21.29.793 W002.15.59.960
N053.21.32.416 W002.15.54.471
N053.21.32.549 W002.15.54.623
N053.21.32.975 W002.15.53.692
N053.21.32.993 W002.15.53.547
N053.21.32.951 W002.15.53.498
N053.21.32.915 W002.15.53.457
N053.21.35.530 W002.15.48.044
N053.21.35.652 W002.15.48.185
N053.21.36.160 W002.15.47.195
N053.21.36.163 W002.15.47.062
N053.21.36.160 W002.15.46.856
N053.21.36.141 W002.15.46.765
N053.21.37.944 W002.15.43.062
N053.21.38.496 W002.15.42.918
N053.21.38.929 W002.15.43.418
N053.21.39.288 W002.15.43.922
N053.21.39.549 W002.15.44.354
N053.21.39.793 W002.15.44.813
N053.21.40.226 W002.15.45.814
N053.21.40.400 W002.15.46.596
N053.21.40.123 W002.15.47.726
N053.21.39.787 W002.15.48.691
N053.21.38.660 W002.15.51.136
N053.21.38.689 W002.15.51.346
N053.21.35.687 W002.15.57.572
N053.21.35.629 W002.15.57.493
N053.21.34.867 W002.15.59.109
N053.21.34.822 W002.15.59.043
N053.21.34.318 W002.15.59.973
N053.21.33.997 W002.16.00.375
N053.21.33.714 W002.16.00.587
N053.21.33.255 W002.16.00.669
N053.21.32.556 W002.16.00.589
N053.21.31.006 W002.16.00.239
N053.21.31.004 W002.16.00.325

; 23L_j grass
REGIONNAME Manchester
smrCCgrass N053.21.43.540 W002.15.31.555
N053.21.45.656 W002.15.29.723
N053.21.45.789 W002.15.30.252
N053.21.45.835 W002.15.30.550
N053.21.45.877 W002.15.31.223
N053.21.45.869 W002.15.32.154
N053.21.45.606 W002.15.33.390
N053.21.45.168 W002.15.34.822
N053.21.44.830 W002.15.35.888
N053.21.41.975 W002.15.41.772
N053.21.41.767 W002.15.41.520
N053.21.41.558 W002.15.41.248
N053.21.41.320 W002.15.40.887
N053.21.41.118 W002.15.40.677
N053.21.40.958 W002.15.40.592
N053.21.40.807 W002.15.40.553
N053.21.40.624 W002.15.40.579
N053.21.40.463 W002.15.40.695
N053.21.40.338 W002.15.40.820
N053.21.40.228 W002.15.41.009
N053.21.40.057 W002.15.41.314
N053.21.39.361 W002.15.41.421
N053.21.39.149 W002.15.41.420
N053.21.39.004 W002.15.41.299
N053.21.38.851 W002.15.41.140
N053.21.39.346 W002.15.40.112
N053.21.39.492 W002.15.40.290
N053.21.40.099 W002.15.39.054
N053.21.39.982 W002.15.38.899
N053.21.43.540 W002.15.31.555

;g3 grass
REGIONNAME Manchester
smrCCgrass N053.21.39.708 W002.15.55.118
N053.21.38.802 W002.15.53.830
N053.21.39.216 W002.15.52.753
N053.21.39.151 W002.15.52.591
N053.21.39.873 W002.15.51.156
N053.21.39.832 W002.15.50.979
N053.21.41.612 W002.15.47.437
N053.21.44.363 W002.15.46.984
N053.21.44.805 W002.15.46.831
N053.21.45.149 W002.15.46.352
N053.21.44.429 W002.15.49.357
N053.21.44.254 W002.15.49.157
N053.21.43.247 W002.15.47.816

;je_jf grass
REGIONNAME Manchester
smrCCgrass N053.21.34.170 W002.16.22.882
N053.21.34.185 W002.16.21.402
N053.21.34.070 W002.16.21.372
N053.21.34.060 W002.16.21.312
N053.21.30.667 W002.16.20.590
N053.21.30.535 W002.16.20.628
N053.21.30.358 W002.16.20.772
N053.21.30.201 W002.16.21.016
N053.21.30.109 W002.16.21.306
N053.21.30.086 W002.16.21.631
N053.21.30.099 W002.16.21.947
N053.21.30.167 W002.16.22.144
N053.21.30.282 W002.16.22.448
N053.21.30.408 W002.16.22.669
N053.21.30.560 W002.16.22.745
N053.21.30.692 W002.16.22.755
N053.21.34.170 W002.16.22.882

;b_k_loop grass
REGIONNAME Manchester
smrCCgrass N053.21.22.946 W002.16.29.471
N053.21.23.012 W002.16.28.679
N053.21.23.485 W002.16.27.085
N053.21.24.488 W002.16.24.850
N053.21.25.430 W002.16.23.410
N053.21.26.109 W002.16.22.661
N053.21.24.537 W002.16.29.722
N053.21.24.305 W002.16.30.128
N053.21.24.122 W002.16.30.331
N053.21.23.882 W002.16.30.509
N053.21.23.552 W002.16.30.603
N053.21.23.319 W002.16.30.510
N053.21.23.145 W002.16.30.375
N053.21.23.059 W002.16.30.179
N053.21.22.983 W002.16.29.950

;d_south grass
REGIONNAME Manchester
smrCCgrass N053.21.46.967 W002.16.53.753
N053.21.45.924 W002.16.51.920
N053.21.46.318 W002.16.51.288
N053.21.46.476 W002.16.51.493
N053.21.46.663 W002.16.51.113
N053.21.46.801 W002.16.51.298
N053.21.47.135 W002.16.50.754
N053.21.47.315 W002.16.50.476
N053.21.47.994 W002.16.49.881
N053.21.48.670 W002.16.48.868
N053.21.49.626 W002.16.47.526
N053.21.50.415 W002.16.46.729
N053.21.50.697 W002.16.46.620
N053.21.50.923 W002.16.46.596
N053.21.51.125 W002.16.46.676
N053.21.51.053 W002.16.46.967
N053.21.50.945 W002.16.47.183
N053.21.49.380 W002.16.49.685
N053.21.50.240 W002.16.51.133
N053.21.49.623 W002.16.52.186
N053.21.48.775 W002.16.50.714

;d_centre grass
REGIONNAME Manchester
smrCCgrass N053.21.50.250 W002.16.53.277
N053.21.50.875 W002.16.52.249
N053.21.58.715 W002.17.05.513
N053.22.00.664 W002.17.02.390
N053.22.00.846 W002.17.02.074
N053.22.00.925 W002.17.01.937
N053.22.01.407 W002.17.02.678
N053.22.01.349 W002.17.03.008
N053.22.01.339 W002.17.03.340
N053.22.01.397 W002.17.03.476
N053.22.01.285 W002.17.03.635
N053.22.01.366 W002.17.03.811
N053.22.00.470 W002.17.05.414
N053.22.00.583 W002.17.05.565
N053.21.59.690 W002.17.07.022
N053.21.57.328 W002.17.10.871
N053.21.57.178 W002.17.10.786
N053.21.57.028 W002.17.10.585
N053.21.56.809 W002.17.10.195
N053.21.56.739 W002.17.09.926
N053.21.58.386 W002.17.07.024

;d_north grass
REGIONNAME Manchester
smrCCgrass N053.21.58.301 W002.17.13.573
N053.21.57.715 W002.17.12.769
N053.21.59.751 W002.17.09.254
N053.21.59.774 W002.17.08.983
N053.22.00.177 W002.17.08.269
N053.22.00.626 W002.17.07.632
N053.22.01.781 W002.17.06.085
N053.22.02.071 W002.17.05.718
N053.22.02.592 W002.17.05.390
N053.22.02.823 W002.17.05.468
N053.22.03.261 W002.17.06.165
N053.22.01.083 W002.17.09.607
N053.22.05.529 W002.17.17.144
N053.22.05.051 W002.17.17.281
N053.22.04.839 W002.17.17.321
N053.22.04.578 W002.17.17.271
N053.22.00.420 W002.17.10.184

;b_a_triangle grass
REGIONNAME Manchester
smrCCgrass N053.21.11.803 W002.16.53.669
N053.21.12.612 W002.16.52.086
N053.21.15.576 W002.16.47.335
N053.21.15.672 W002.16.47.434
N053.21.15.642 W002.16.52.087
N053.21.15.556 W002.16.52.336
N053.21.15.353 W002.16.52.782
N053.21.15.071 W002.16.53.083
N053.21.14.828 W002.16.53.215

;c_b_a grass
REGIONNAME Manchester
smrCCgrass N053.21.17.199 W002.16.51.701
N053.21.17.109 W002.16.51.340
N053.21.17.103 W002.16.50.730
N053.21.17.061 W002.16.47.375
N053.21.17.074 W002.16.46.546
N053.21.17.128 W002.16.46.372
N053.21.17.134 W002.16.46.361
N053.21.17.235 W002.16.45.983
N053.21.17.286 W002.16.45.897
N053.21.21.075 W002.16.45.110
N053.21.21.174 W002.16.45.112
N053.21.21.275 W002.16.45.229
N053.21.21.307 W002.16.45.390
N053.21.21.310 W002.16.45.574
N053.21.21.277 W002.16.45.723
N053.21.21.230 W002.16.45.918
N053.21.19.539 W002.16.49.343
N053.21.19.346 W002.16.49.688
N053.21.18.569 W002.16.50.862
N053.21.17.442 W002.16.52.003
N053.21.17.357 W002.16.51.955

; c2_d4_a5 grass
REGIONNAME Manchester
smrCCgrass N053.21.24.918 W002.16.42.001
N053.21.24.888 W002.16.41.677
N053.21.24.882 W002.16.41.466
N053.21.24.925 W002.16.41.249
N053.21.25.799 W002.16.38.816
N053.21.26.025 W002.16.38.385
N053.21.26.252 W002.16.37.954
N053.21.26.367 W002.16.37.761
N053.21.26.465 W002.16.37.761
N053.21.26.890 W002.16.37.290
N053.21.27.134 W002.16.37.177
N053.21.27.374 W002.16.37.220
N053.21.27.710 W002.16.37.374
N053.21.28.201 W002.16.37.881
N053.21.28.850 W002.16.38.824
N053.21.29.167 W002.16.39.403
N053.21.29.422 W002.16.39.888
N053.21.29.596 W002.16.40.461
N053.21.29.776 W002.16.41.050
N053.21.29.805 W002.16.41.499
N053.21.29.628 W002.16.41.839
N053.21.28.148 W002.16.42.593
N053.21.26.726 W002.16.42.852
N053.21.26.437 W002.16.42.590
N053.21.25.363 W002.16.42.524
N053.21.25.210 W002.16.42.487
N053.21.25.099 W002.16.42.325

; stand101_d grass
REGIONNAME Manchester
smrCCgrass N053.21.30.422 W002.16.39.593
N053.21.29.755 W002.16.38.434
N053.21.29.653 W002.16.38.134
N053.21.29.579 W002.16.37.815
N053.21.29.561 W002.16.37.493
N053.21.29.572 W002.16.37.137
N053.21.29.626 W002.16.36.812
N053.21.29.737 W002.16.36.552
N053.21.29.891 W002.16.36.350
N053.21.30.348 W002.16.36.251
N053.21.30.607 W002.16.36.144
N053.21.30.902 W002.16.36.152
N053.21.31.013 W002.16.36.165
N053.21.31.870 W002.16.37.574
N053.21.31.721 W002.16.37.598
N053.21.31.632 W002.16.38.134
N053.21.32.410 W002.16.39.552
N053.21.32.918 W002.16.39.721
N053.21.33.020 W002.16.39.706
N053.21.33.129 W002.16.39.659
N053.21.33.341 W002.16.40.087
N053.21.33.496 W002.16.40.397
N053.21.33.572 W002.16.40.636
N053.21.33.655 W002.16.40.889
N053.21.33.720 W002.16.41.198
N053.21.33.704 W002.16.41.389
N053.21.33.646 W002.16.41.509
N053.21.33.588 W002.16.41.606
N053.21.32.489 W002.16.41.640
N053.21.32.047 W002.16.41.537
N053.21.31.874 W002.16.41.445
N053.21.31.711 W002.16.41.334
N053.21.31.434 W002.16.41.039
N053.21.30.985 W002.16.40.458

; 101_100_d grass
REGIONNAME Manchester
smrCCgrass N053.21.34.437 W002.16.40.865
N053.21.33.697 W002.16.39.553
N053.21.34.214 W002.16.39.440
N053.21.33.039 W002.16.37.351
N053.21.32.508 W002.16.37.434
N053.21.32.112 W002.16.36.688
N053.21.32.074 W002.16.36.561
N053.21.32.097 W002.16.36.371
N053.21.32.092 W002.16.36.229
N053.21.32.125 W002.16.36.061
N053.21.32.167 W002.16.35.935
N053.21.35.034 W002.16.35.445
N053.21.35.198 W002.16.35.674
N053.21.35.351 W002.16.35.905
N053.21.35.439 W002.16.36.168
N053.21.35.501 W002.16.36.923
N053.21.35.149 W002.16.36.929
N053.21.35.273 W002.16.39.308
N053.21.35.743 W002.16.39.177
N053.21.35.775 W002.16.39.563
N053.21.35.727 W002.16.39.982
N053.21.35.711 W002.16.40.304
N053.21.35.687 W002.16.40.613
N053.21.35.631 W002.16.40.931
N053.21.35.447 W002.16.41.136
N053.21.35.256 W002.16.41.228
N053.21.35.131 W002.16.41.286
N053.21.35.007 W002.16.41.417
N053.21.34.864 W002.16.41.433
N053.21.34.774 W002.16.41.314
N053.21.34.614 W002.16.41.096
N053.21.34.550 W002.16.40.986

; stand100_d grass
REGIONNAME Manchester
smrCCgrass N053.21.36.625 W002.16.40.467
N053.21.36.379 W002.16.39.160
N053.21.36.846 W002.16.39.048
N053.21.37.523 W002.16.38.996
N053.21.37.267 W002.16.36.987
N053.21.36.328 W002.16.36.864
N053.21.36.422 W002.16.35.613
N053.21.36.506 W002.16.35.473
N053.21.36.607 W002.16.35.388
N053.21.36.825 W002.16.35.382
N053.21.37.587 W002.16.35.476
N053.21.37.893 W002.16.35.729
N053.21.38.015 W002.16.36.006
N053.21.38.108 W002.16.36.316
N053.21.38.155 W002.16.36.496
N053.21.38.545 W002.16.39.054
N053.21.38.541 W002.16.39.560
N053.21.38.458 W002.16.39.840
N053.21.38.314 W002.16.40.199
N053.21.38.301 W002.16.40.222
N053.21.38.039 W002.16.40.429
N053.21.36.948 W002.16.41.012
N053.21.36.819 W002.16.40.890
N053.21.36.705 W002.16.40.676
N053.21.36.650 W002.16.40.499

; fire_south_triangle grass
REGIONNAME Manchester
smrCCgrass N053.20.34.791 W002.17.13.570
N053.20.34.720 W002.17.12.983
N053.20.34.623 W002.17.12.475
N053.20.34.521 W002.17.11.998
N053.20.34.420 W002.17.11.651
N053.20.34.279 W002.17.11.332
N053.20.34.169 W002.17.11.012
N053.20.34.040 W002.17.10.714
N053.20.34.265 W002.17.10.870
N053.20.34.556 W002.17.11.029
N053.20.34.838 W002.17.11.198
N053.20.35.232 W002.17.11.293
N053.20.35.542 W002.17.11.330
N053.20.35.875 W002.17.11.382

; bz1_v_dz1_rwy grass
REGIONNAME Manchester
smrCCgrass N053.21.00.794 W002.16.49.078
N053.20.59.599 W002.16.47.362
N053.20.59.285 W002.16.46.623
N053.20.59.105 W002.16.46.187
N053.20.58.989 W002.16.45.773
N053.20.58.929 W002.16.45.398
N053.20.58.979 W002.16.44.882
N053.20.59.396 W002.16.43.419
N053.21.00.328 W002.16.41.207
N053.21.04.083 W002.16.33.407
N053.21.08.897 W002.16.23.471
N053.21.09.898 W002.16.21.706
N053.21.09.975 W002.16.21.706
N053.21.10.075 W002.16.21.676
N053.21.10.155 W002.16.21.680
N053.21.10.227 W002.16.21.699
N053.21.10.306 W002.16.21.752
N053.21.10.943 W002.16.22.542
N053.21.11.048 W002.16.22.709
N053.21.11.091 W002.16.22.905
N053.21.11.103 W002.16.23.185
N053.21.10.930 W002.16.25.425
N053.21.10.901 W002.16.25.554
N053.21.10.811 W002.16.25.769
N053.21.10.692 W002.16.25.887
N053.21.10.580 W002.16.25.911
N053.21.10.507 W002.16.25.803
N053.21.10.444 W002.16.25.717
N053.21.10.376 W002.16.25.857
N053.21.10.498 W002.16.26.090
N053.21.10.519 W002.16.26.214
N053.21.10.518 W002.16.26.334
N053.21.10.468 W002.16.26.467
N053.21.10.563 W002.16.26.590
N053.21.11.027 W002.16.25.631
N053.21.11.237 W002.16.22.968
N053.21.11.314 W002.16.22.810
N053.21.11.253 W002.16.22.670
N053.21.11.257 W002.16.22.564
N053.21.11.271 W002.16.22.416
N053.21.11.348 W002.16.22.210
N053.21.11.265 W002.16.22.096
N053.21.11.138 W002.16.22.289
N053.21.11.080 W002.16.22.330
N053.21.10.960 W002.16.22.310
N053.21.10.459 W002.16.21.713
N053.21.10.398 W002.16.21.525
N053.21.10.371 W002.16.21.393
N053.21.10.355 W002.16.21.251
N053.21.10.367 W002.16.21.020
N053.21.10.390 W002.16.20.836
N053.21.10.607 W002.16.20.553
N053.21.10.949 W002.16.20.194
N053.21.11.405 W002.16.19.881
N053.21.11.940 W002.16.19.736
N053.21.12.420 W002.16.19.687
