;Outer Border
REGIONNAME Manchester
N053.21.24.441 W002.15.58.227
N053.21.24.479 W002.15.58.391
N053.21.26.522 W002.15.59.066
N053.21.30.258 W002.15.51.231
N053.21.30.111 W002.15.51.027
N053.21.30.505 W002.15.50.242
N053.21.30.638 W002.15.50.439
N053.21.32.411 W002.15.46.723
N053.21.32.059 W002.15.46.250
N053.21.32.131 W002.15.46.095
N053.21.32.481 W002.15.46.577
N053.21.33.061 W002.15.45.365
N053.21.32.942 W002.15.45.172
N053.21.33.707 W002.15.43.604
N053.21.33.838 W002.15.43.776
N053.21.36.373 W002.15.38.462
N053.21.36.832 W002.15.37.526
N053.21.36.716 W002.15.37.374
N053.21.37.286 W002.15.36.235
N053.21.37.380 W002.15.36.358
N053.21.44.647 W002.15.21.467
N053.21.46.519 W002.15.24.007
N053.21.46.212 W002.15.25.910
N053.21.45.642 W002.15.26.957
N053.21.46.518 W002.15.28.784
N053.21.46.821 W002.15.30.140
N053.21.46.710 W002.15.32.773
N053.21.46.317 W002.15.34.508
N053.21.46.135 W002.15.35.805
N053.21.46.220 W002.15.36.233
N053.21.46.857 W002.15.37.135
N053.21.46.935 W002.15.37.918
N053.21.46.956 W002.15.38.289
N053.21.47.285 W002.15.38.696
N053.21.47.352 W002.15.39.496
N053.21.47.087 W002.15.40.018
N053.21.47.093 W002.15.40.053
N053.21.47.055 W002.15.40.474
N053.21.46.907 W002.15.40.989
N053.21.46.908 W002.15.41.190
N053.21.46.933 W002.15.41.263
N053.21.46.974 W002.15.41.314
N053.21.46.811 W002.15.41.847
N053.21.46.753 W002.15.41.816
N053.21.46.692 W002.15.41.843
N053.21.46.584 W002.15.41.939
N053.21.46.262 W002.15.42.931
N053.21.46.290 W002.15.43.047
N053.21.46.457 W002.15.43.214
N053.21.46.352 W002.15.43.562
N053.21.46.172 W002.15.43.395
N053.21.46.106 W002.15.43.419
N053.21.45.151 W002.15.46.349
N053.21.44.808 W002.15.46.829
N053.21.44.371 W002.15.46.984
N053.21.41.612 W002.15.47.434
N053.21.39.831 W002.15.50.983
N053.21.39.874 W002.15.51.155
N053.21.39.152 W002.15.52.591
N053.21.39.215 W002.15.52.754
N053.21.38.801 W002.15.53.825
N053.21.39.709 W002.15.55.118
N053.21.43.246 W002.15.47.816
N053.21.44.255 W002.15.49.157
N053.21.44.430 W002.15.49.359
N053.21.43.701 W002.15.50.894
N053.21.43.726 W002.15.51.105
N053.21.44.919 W002.15.52.745
N053.21.44.723 W002.15.53.606
N053.21.44.375 W002.15.54.335
N053.21.42.458 W002.16.02.349
N053.21.41.745 W002.16.03.400
N053.21.37.944 W002.16.09.620
N053.21.35.748 W002.16.13.281
N053.21.33.414 W002.16.13.148
N053.21.33.363 W002.16.13.212
N053.21.32.972 W002.16.13.677
N053.21.33.021 W002.16.13.848
N053.21.33.350 W002.16.14.153
N053.21.33.509 W002.16.14.725
N053.21.33.825 W002.16.14.567
N053.21.34.049 W002.16.14.092
N053.21.36.621 W002.16.14.151
N053.21.36.621 W002.16.14.604
N053.21.36.783 W002.16.14.866
N053.21.38.586 W002.16.15.005
N053.21.38.881 W002.16.15.535
N053.21.38.865 W002.16.16.066
N053.21.39.928 W002.16.17.847
N053.21.39.830 W002.16.27.200
N053.21.31.154 W002.16.28.690
N053.21.31.198 W002.16.29.570
N053.21.39.975 W002.16.28.026
N053.21.39.980 W002.16.28.565
N053.21.39.845 W002.16.28.697
N053.21.39.842 W002.16.29.375
N053.21.40.930 W002.16.30.470
N053.21.41.029 W002.16.30.674
N053.21.41.093 W002.16.30.933
N053.21.41.100 W002.16.31.168
N053.21.41.108 W002.16.31.325
N053.21.41.134 W002.16.31.455
N053.21.41.182 W002.16.31.606
N053.21.41.237 W002.16.31.727
N053.21.41.205 W002.16.31.866
N053.21.42.284 W002.16.32.952
N053.21.43.832 W002.16.41.983
N053.21.43.809 W002.16.42.291
N053.21.43.925 W002.16.43.112
N053.21.44.287 W002.16.43.644
N053.21.45.138 W002.16.43.262
N053.21.45.270 W002.16.42.589
N053.21.45.142 W002.16.41.726
N053.21.44.779 W002.16.41.156
N053.21.44.521 W002.16.41.216
N053.21.43.120 W002.16.32.407
N053.21.44.191 W002.16.31.360
N053.21.49.770 W002.16.31.613
N053.21.50.315 W002.16.32.509
N053.21.51.754 W002.16.34.867
N053.21.56.940 W002.16.43.527
N053.22.08.175 W002.17.03.024
N053.22.11.176 W002.17.08.067
N053.22.05.671 W002.17.17.338
N053.22.05.540 W002.17.17.139
N053.22.04.834 W002.17.17.330
N053.22.04.569 W002.17.17.264
N053.22.02.464 W002.17.20.852
N053.22.03.360 W002.17.22.427
N053.22.03.191 W002.17.22.746
N053.22.03.427 W002.17.23.115
N053.22.07.060 W002.17.24.423
N053.22.03.954 W002.17.29.385
N053.22.01.902 W002.17.25.963
N053.22.01.634 W002.17.25.966
N053.22.01.370 W002.17.26.140
N053.22.00.833 W002.17.25.466
N053.21.59.233 W002.17.27.993
N053.21.59.084 W002.17.27.828
N053.21.57.682 W002.17.27.192
N053.21.56.632 W002.17.25.294
N053.21.55.814 W002.17.24.880
N053.21.54.792 W002.17.23.106
N053.21.55.081 W002.17.22.622
N053.21.52.746 W002.17.18.510
N053.21.52.994 W002.17.17.985
N053.21.36.130 W002.16.49.344
N053.21.31.268 W002.16.50.151
N053.21.30.350 W002.16.50.347
N053.21.29.766 W002.16.50.483
N053.21.27.567 W002.16.48.224
N053.21.28.408 W002.16.46.140
N053.21.28.386 W002.16.45.952
N053.21.25.317 W002.16.46.508
N053.21.23.366 W002.16.46.825
N053.21.22.453 W002.16.48.751
N053.21.22.559 W002.16.51.305
N053.21.22.479 W002.16.52.208
N053.21.22.480 W002.16.52.443
N053.21.21.812 W002.16.52.581
N053.21.21.873 W002.16.53.422
N053.21.20.221 W002.16.54.708
N053.21.21.196 W002.16.58.197
N053.21.18.705 W002.17.00.314
N053.21.17.186 W002.16.56.207
N053.21.18.159 W002.16.55.314
N053.21.18.085 W002.16.55.079
N053.21.16.629 W002.16.53.881
N053.21.15.349 W002.16.54.362
N053.21.13.523 W002.16.54.698
N053.21.12.297 W002.16.55.283
N053.21.11.292 W002.16.55.966
N053.21.10.465 W002.16.56.741
N053.21.09.600 W002.16.57.727
N053.21.08.883 W002.16.58.765
N053.21.08.099 W002.17.00.135
N053.21.08.129 W002.17.00.189
N053.21.08.300 W002.17.00.168
N053.21.10.016 W002.16.59.655
N053.21.10.050 W002.16.59.971
N053.21.08.133 W002.17.00.582
N053.21.07.953 W002.17.00.676
N053.21.07.870 W002.17.00.647
N053.20.59.245 W002.17.18.475
N053.20.59.655 W002.17.19.600
N053.20.59.471 W002.17.19.829
N053.20.59.111 W002.17.18.852
N053.20.58.872 W002.17.19.220
N053.20.56.951 W002.17.21.696
N053.20.55.982 W002.17.23.422
N053.20.54.191 W002.17.26.725
N053.20.52.604 W002.17.29.827
N053.20.51.270 W002.17.32.600
N053.20.50.381 W002.17.34.367
N053.20.49.542 W002.17.35.608
N053.20.48.639 W002.17.36.389
N053.20.48.695 W002.17.38.606
N053.20.48.590 W002.17.38.678
N053.20.48.525 W002.17.36.458
N053.20.48.206 W002.17.36.640
N053.20.47.733 W002.17.36.851
N053.20.47.213 W002.17.37.006
N053.20.46.268 W002.17.38.954
N053.20.45.642 W002.17.40.255
N053.20.45.468 W002.17.40.290
N053.20.47.052 W002.17.37.031
N053.20.46.173 W002.17.37.011
N053.20.45.231 W002.17.36.729
N053.20.44.773 W002.17.36.423
N053.20.44.270 W002.17.36.100
N053.20.43.580 W002.17.35.402
N053.20.43.023 W002.17.34.744
N053.20.42.820 W002.17.35.140
N053.20.41.653 W002.17.33.569
N053.20.41.861 W002.17.33.092
N053.20.41.330 W002.17.32.351
N053.20.45.337 W002.17.24.029
N053.20.44.088 W002.17.22.577
N053.20.41.421 W002.17.19.714
N053.20.41.543 W002.17.19.417
N053.20.45.482 W002.17.23.723
N053.20.52.715 W002.17.08.755
N053.20.52.396 W002.17.08.324
N053.20.52.468 W002.17.08.178
N053.20.52.795 W002.17.08.597
N053.20.55.866 W002.17.02.181
N053.20.55.773 W002.17.02.048
N053.20.56.237 W002.17.01.122
N053.20.56.347 W002.17.01.258
N053.20.57.271 W002.16.59.300
N053.20.56.964 W002.16.58.891
N053.20.57.036 W002.16.58.732
N053.20.57.342 W002.16.59.159
N053.21.00.006 W002.16.53.524
N053.20.59.405 W002.16.51.925
N053.21.00.265 W002.16.50.223
N053.20.59.123 W002.16.48.761
N053.20.58.616 W002.16.48.286
N053.20.58.145 W002.16.47.921
N053.20.57.723 W002.16.47.898
N053.20.57.350 W002.16.48.186
N053.20.56.698 W002.16.49.012
N053.20.55.939 W002.16.50.365
N053.20.49.766 W002.17.03.078
N053.20.46.470 W002.17.05.182
N053.20.46.401 W002.17.05.267
N053.20.46.342 W002.17.05.377
N053.20.46.304 W002.17.05.574
N053.20.46.332 W002.17.06.001
N053.20.46.326 W002.17.06.356
N053.20.46.286 W002.17.06.678
N053.20.46.164 W002.17.07.039
N053.20.46.049 W002.17.07.197
N053.20.45.499 W002.17.07.667
N053.20.45.160 W002.17.08.016
N053.20.45.076 W002.17.07.833
N053.20.45.459 W002.17.07.452
N053.20.45.778 W002.17.07.215
N053.20.45.957 W002.17.07.059
N053.20.46.089 W002.17.06.853
N053.20.46.187 W002.17.06.552
N053.20.46.207 W002.17.06.143
N053.20.46.124 W002.17.05.850
N053.20.45.908 W002.17.05.577
N053.20.45.833 W002.17.05.560
N053.20.43.184 W002.17.07.461
N053.20.41.555 W002.17.08.608
N053.20.39.835 W002.17.10.166
N053.20.38.580 W002.17.11.626
N053.20.37.719 W002.17.12.769
N053.20.02.372 W002.18.25.857
N053.20.02.323 W002.18.26.844
N053.20.02.471 W002.18.27.424
N053.20.02.545 W002.18.28.068
N053.20.02.485 W002.18.28.698
N053.20.02.387 W002.18.29.125
N053.20.02.297 W002.18.29.483
N053.20.02.488 W002.18.29.966
N053.20.02.934 W002.18.30.806
N053.20.03.467 W002.18.31.678
N053.20.03.781 W002.18.32.190
N053.20.04.031 W002.18.32.643
N053.20.04.261 W002.18.33.249
N053.20.04.380 W002.18.33.962
N053.20.04.427 W002.18.34.671
N053.20.04.376 W002.18.35.327
N053.20.04.242 W002.18.35.957
N053.20.04.018 W002.18.36.534
N053.20.02.683 W002.18.39.293
