;Grass BACKGROUND
N058.27.13.238 W003.05.23.219
N058.27.13.082 W003.05.23.656
N058.27.12.789 W003.05.23.288

;South Apron
REGIONNAME Wick 
smrApron N058.27.10.672 W003.05.34.932
N058.27.10.454 W003.05.35.197
N058.27.10.295 W003.05.35.463
N058.27.10.196 W003.05.35.624
N058.27.10.126 W003.05.35.805
N058.27.10.111 W003.05.35.899
N058.27.10.116 W003.05.36.099
N058.27.10.170 W003.05.36.298
N058.27.10.537 W003.05.36.525
N058.27.10.691 W003.05.36.611
N058.27.10.791 W003.05.36.630
N058.27.10.880 W003.05.36.592
N058.27.10.980 W003.05.36.506
N058.27.11.079 W003.05.36.468
N058.27.11.184 W003.05.36.468
N058.27.11.308 W003.05.36.506
N058.27.11.382 W003.05.36.611
N058.27.11.452 W003.05.36.658
N058.27.11.527 W003.05.36.763
N058.27.11.606 W003.05.36.905
N058.27.11.636 W003.05.37.067
N058.27.11.656 W003.05.37.295
N058.27.11.647 W003.05.37.428
N058.27.11.612 W003.05.37.629
N058.27.11.572 W003.05.37.819
N058.27.11.493 W003.05.38.001
N058.27.11.413 W003.05.38.134
N058.27.11.323 W003.05.38.191
N058.27.11.229 W003.05.38.239
N058.27.11.144 W003.05.38.230
N058.27.11.029 W003.05.38.172
N058.27.10.929 W003.05.38.086
N058.27.10.845 W003.05.37.953
N058.27.10.790 W003.05.37.791
N058.27.10.750 W003.05.37.629
N058.27.10.696 W003.05.37.571
N058.27.10.595 W003.05.37.480
N058.27.10.368 W003.05.37.308
N058.27.10.159 W003.05.37.159
N058.27.10.034 W003.05.37.101
N058.27.09.938 W003.05.37.101
N058.27.09.873 W003.05.37.101
N058.27.09.765 W003.05.37.159
N058.27.09.688 W003.05.37.262
N058.27.09.617 W003.05.37.377
N058.27.09.451 W003.05.38.216
N058.27.08.925 W003.05.37.963
N058.27.07.875 W003.05.37.274
N058.27.07.703 W003.05.37.113
N058.27.07.613 W003.05.36.987
N058.27.07.566 W003.05.36.803
N058.27.07.531 W003.05.36.551
N058.27.07.036 W003.05.36.233
N058.27.07.084 W003.05.35.947
N058.27.07.204 W003.05.35.947
N058.27.07.275 W003.05.35.810
N058.27.07.466 W003.05.34.796
N058.27.08.476 W003.05.35.390
N058.27.08.388 W003.05.35.858
N058.27.08.368 W003.05.36.064
N058.27.08.441 W003.05.36.243
N058.27.08.559 W003.05.36.384
N058.27.08.735 W003.05.36.497
N058.27.08.927 W003.05.36.601
N058.27.09.079 W003.05.36.648
N058.27.09.241 W003.05.36.619
N058.27.09.383 W003.05.36.563
N058.27.09.611 W003.05.35.435
N058.27.10.305 W003.05.31.210
N058.27.10.648 W003.05.31.346
N058.27.10.586 W003.05.31.678
N058.27.10.581 W003.05.31.932
N058.27.10.622 W003.05.32.137
N058.27.10.694 W003.05.32.410
N058.27.10.780 W003.05.32.625
N058.27.10.923 W003.05.32.859
N058.27.11.102 W003.05.32.956
N058.27.11.286 W003.05.32.888
N058.27.11.408 W003.05.32.849
N058.27.11.673 W003.05.33.688

;North Apron
REGIONNAME Wick 
smrApron N058.27.26.425 W003.05.19.498
N058.27.28.283 W003.05.05.685
N058.27.28.754 W003.05.02.175
N058.27.28.801 W003.05.01.816
N058.27.28.790 W003.05.01.472
N058.27.28.776 W003.05.01.239
N058.27.28.713 W003.05.00.979
N058.27.28.643 W003.05.00.839
N058.27.28.536 W003.05.00.677
N058.27.28.334 W003.05.00.466
N058.27.28.165 W003.05.00.269
N058.27.27.933 W003.05.00.072
N058.27.27.653 W003.04.59.903
N058.27.27.444 W003.04.59.791
N058.27.27.204 W003.04.59.679
N058.27.27.025 W003.04.59.623
N058.27.27.101 W003.04.58.680
N058.27.27.315 W003.04.58.715
N058.27.27.703 W003.04.58.887
N058.27.28.055 W003.04.59.074
N058.27.28.375 W003.04.59.231
N058.27.28.677 W003.04.59.559
N058.27.29.054 W003.05.00.075
N058.27.29.529 W003.05.00.826
N058.27.30.069 W003.05.01.703
N058.27.30.453 W003.05.02.407
N058.27.30.681 W003.05.02.861
N058.27.30.902 W003.05.03.408
N058.27.31.073 W003.05.03.955
N058.27.30.535 W003.05.04.533
N058.27.30.445 W003.05.04.424
N058.27.30.306 W003.05.04.408
N058.27.30.159 W003.05.04.486
N058.27.30.020 W003.05.04.690
N058.27.29.946 W003.05.04.940
N058.27.29.135 W003.05.11.078
N058.27.27.598 W003.05.22.516
N058.27.27.456 W003.05.23.471
N058.27.26.254 W003.05.20.407

;SW Grass Island
REGIONNAME Wick 
smrGreen N058.27.20.221 W003.06.05.530
N058.27.20.393 W003.06.05.721
N058.27.20.493 W003.06.05.912
N058.27.20.548 W003.06.06.156
N058.27.20.585 W003.06.06.400
N058.27.20.531 W003.06.06.714
N058.27.19.790 W003.06.12.487
N058.27.19.636 W003.06.12.876
N058.27.19.518 W003.06.13.036
N058.27.19.291 W003.06.13.180
N058.27.19.054 W003.06.13.219
N058.27.18.690 W003.06.13.171
N058.27.18.398 W003.06.13.051
N058.27.18.116 W003.06.12.790
N058.27.17.925 W003.06.12.458
N058.27.11.163 W003.06.00.468
N058.27.10.710 W003.05.59.317
N058.27.10.391 W003.05.58.378
N058.27.10.097 W003.05.57.299
N058.27.09.768 W003.05.55.635
N058.27.09.500 W003.05.54.090
N058.27.09.269 W003.05.52.735
N058.27.09.222 W003.05.52.058
N058.27.09.382 W003.05.51.640
N058.27.09.603 W003.05.51.386
N058.27.22.153 W003.05.51.343

;Runway
REGIONNAME Wick 
smrDarkApron N058.27.48.605 W003.06.20.579
N058.27.49.707 W003.06.19.026
N058.27.14.342 W003.04.48.897
N058.27.13.101 W003.04.50.576

;Buildings
;Small Hangar
REGIONNAME Wick 
smrBuilding N058.27.11.717 W003.05.37.242
N058.27.12.884 W003.05.35.729
N058.27.12.476 W003.05.34.647
N058.27.11.281 W003.05.36.161

;Large Western Hangar
REGIONNAME Wick 
smrBuilding N058.27.08.566 W003.05.35.749
N058.27.07.054 W003.05.34.794
N058.27.07.975 W003.05.29.340
N058.27.09.449 W003.05.30.189

;Large Eastern Hangar
REGIONNAME Wick 
smrBuilding N058.27.10.279 W003.05.27.482
N058.27.11.909 W003.05.22.820
N058.27.10.580 W003.05.21.158
N058.27.08.950 W003.05.25.806

;Small Building
REGIONNAME Wick 
smrBuilding N058.27.11.089 W003.05.18.421
N058.27.10.885 W003.05.17.975
N058.27.11.170 W003.05.17.535
N058.27.11.436 W003.05.18.120
N058.27.11.257 W003.05.18.393
N058.27.11.206 W003.05.18.246

;Terminal Building
REGIONNAME Wick 
smrBuilding N058.27.11.674 W003.05.17.470
N058.27.12.433 W003.05.16.284
N058.27.12.374 W003.05.16.137
N058.27.12.451 W003.05.16.011
N058.27.12.513 W003.05.16.151
N058.27.12.909 W003.05.15.521
N058.27.12.506 W003.05.14.590
N058.27.11.283 W003.05.16.529

;Tower/Fire Station
REGIONNAME Wick 
smrBuilding N058.27.12.633 W003.05.13.705
N058.27.13.098 W003.05.12.928
N058.27.12.325 W003.05.11.168
N058.27.11.881 W003.05.11.829
