;Grass BACKGROUND
N058.27.25.676 W003.04.58.653
N058.27.25.928 W003.04.58.768
N058.27.26.597 W003.04.58.699
N058.27.27.230 W003.04.58.859
N058.27.27.958 W003.04.59.155
N058.27.28.627 W003.04.59.680
N058.27.30.219 W003.05.02.372
N058.27.31.055 W003.05.03.948
N058.27.31.155 W003.05.04.259
N058.27.31.363 W003.05.05.101
N058.27.38.359 W003.05.34.471
N058.27.39.028 W003.05.37.433
N058.27.39.357 W003.05.38.686
N058.27.39.675 W003.05.39.571
N058.27.39.946 W003.05.40.327
N058.27.46.084 W003.05.52.424
N058.27.47.689 W003.05.55.655
N058.27.48.203 W003.05.56.806
N058.27.51.108 W003.06.04.172
N058.27.51.429 W003.06.04.933
N058.27.51.722 W003.06.05.777
N058.27.51.949 W003.06.06.551
N058.27.52.165 W003.06.07.544
N058.27.52.308 W003.06.08.401
N058.27.52.380 W003.06.09.178
N058.27.52.403 W003.06.10.083
N058.27.52.395 W003.06.10.935
N058.27.52.366 W003.06.11.920
N058.27.52.308 W003.06.12.701
N058.27.52.196 W003.06.13.465
N058.27.52.081 W003.06.14.072
N058.27.51.936 W003.06.14.733
N058.27.51.742 W003.06.15.422
N058.27.51.620 W003.06.15.815
N058.27.51.410 W003.06.16.383
N058.27.51.095 W003.06.17.087
N058.27.50.894 W003.06.17.502
N058.27.50.464 W003.06.18.196
N058.27.49.705 W003.06.19.374
N058.27.48.536 W003.06.16.793

;Disused Southern Taxiways
REGIONNAME Wick 
smrBBdisused N058.27.10.312 W003.05.31.215
N058.27.10.364 W003.05.30.809
N058.27.10.531 W003.05.29.887
N058.27.10.780 W003.05.29.050
N058.27.10.973 W003.05.28.458
N058.27.12.793 W003.05.23.280
N058.27.13.087 W003.05.23.641
N058.27.12.898 W003.05.24.144
N058.27.12.862 W003.05.24.345
N058.27.12.816 W003.05.24.590
N058.27.12.812 W003.05.24.678
N058.27.12.826 W003.05.24.818
N058.27.12.859 W003.05.24.941
N058.27.12.933 W003.05.25.064
N058.27.13.017 W003.05.25.169
N058.27.13.068 W003.05.25.301
N058.27.13.078 W003.05.25.477
N058.27.13.059 W003.05.25.645
N058.27.12.911 W003.05.26.104
N058.27.12.662 W003.05.25.794
N058.27.12.689 W003.05.25.732
N058.27.12.726 W003.05.25.609
N058.27.12.758 W003.05.25.433
N058.27.12.600 W003.05.25.222
N058.27.11.897 W003.05.27.176
N058.27.12.347 W003.05.27.742
N058.27.12.059 W003.05.28.530
N058.27.11.623 W003.05.27.994
N058.27.11.307 W003.05.28.750
N058.27.10.988 W003.05.29.591
N058.27.10.812 W003.05.30.257
N058.27.10.743 W003.05.30.717
N058.27.10.643 W003.05.31.342
N058.27.10.371 W003.05.32.177
N058.27.09.458 W003.05.38.172
N058.27.09.119 W003.05.40.495
N058.27.09.075 W003.05.41.034
N058.27.09.063 W003.05.41.584
N058.27.09.100 W003.05.41.955
N058.27.09.157 W003.05.42.183
N058.27.09.238 W003.05.42.375
N058.27.09.407 W003.05.42.569
N058.27.10.870 W003.05.42.608
N058.27.10.884 W003.05.41.995
N058.27.11.852 W003.05.42.071
N058.27.11.833 W003.05.44.196
N058.27.10.865 W003.05.44.206
N058.27.10.875 W003.05.43.581
N058.27.09.302 W003.05.43.461
N058.27.09.124 W003.05.43.473
N058.27.09.023 W003.05.43.588
N058.27.08.922 W003.05.43.759
N058.27.08.886 W003.05.44.067
N058.27.08.800 W003.05.46.046
N058.27.08.820 W003.05.47.327
N058.27.08.865 W003.05.47.930
N058.27.08.923 W003.05.48.153
N058.27.09.026 W003.05.48.486
N058.27.09.148 W003.05.48.623
N058.27.09.282 W003.05.48.723
N058.27.22.514 W003.05.48.723
N058.27.25.972 W003.05.23.190
N058.27.25.991 W003.05.22.759
N058.27.27.419 W003.05.25.991
N058.27.27.139 W003.05.26.122
N058.27.27.095 W003.05.26.146
N058.27.27.052 W003.05.26.241
N058.27.24.025 W003.05.48.798
N058.27.35.566 W003.05.48.836
N058.27.36.261 W003.05.48.853
N058.27.37.592 W003.05.51.559
N058.27.37.148 W003.05.51.595
N058.27.23.627 W003.05.51.528
N058.27.21.609 W003.06.06.191
N058.27.21.519 W003.06.06.179
N058.27.21.410 W003.06.06.179
N058.27.21.294 W003.06.06.191
N058.27.21.198 W003.06.06.264
N058.27.21.101 W003.06.06.472
N058.27.21.011 W003.06.06.740
N058.27.20.364 W003.06.11.512
N058.27.20.325 W003.06.11.906
N058.27.20.344 W003.06.12.165
N058.27.20.447 W003.06.12.524
N058.27.20.596 W003.06.12.758
N058.27.20.751 W003.06.12.807
N058.27.21.193 W003.06.12.707
N058.27.24.295 W003.06.11.541
N058.27.24.512 W003.06.11.469
N058.27.24.608 W003.06.11.359
N058.27.24.704 W003.06.11.188
N058.27.24.819 W003.06.10.882
N058.27.24.845 W003.06.10.600
N058.27.24.699 W003.06.08.971
N058.27.24.603 W003.06.08.836
N058.27.24.532 W003.06.08.627
N058.27.24.436 W003.06.08.369
N058.27.24.436 W003.06.08.039
N058.27.24.520 W003.06.07.783
N058.27.24.660 W003.06.07.625
N058.27.24.814 W003.06.07.516
N058.27.24.987 W003.06.07.540
N058.27.25.127 W003.06.07.662
N058.27.25.217 W003.06.07.872
N058.27.25.273 W003.06.08.217
N058.27.25.280 W003.06.08.511
N058.27.25.222 W003.06.08.743
N058.27.25.159 W003.06.08.999
N058.27.25.203 W003.06.09.648
N058.27.25.248 W003.06.10.088
N058.27.25.317 W003.06.10.445
N058.27.25.431 W003.06.10.753
N058.27.25.570 W003.06.10.926
N058.27.25.747 W003.06.10.952
N058.27.26.166 W003.06.10.760
N058.27.26.528 W003.06.10.550
N058.27.28.085 W003.06.09.606
N058.27.28.155 W003.06.09.472
N058.27.28.174 W003.06.09.351
N058.27.28.167 W003.06.09.085
N058.27.28.154 W003.06.08.855
N058.27.28.071 W003.06.08.285
N058.27.27.988 W003.06.07.969
N058.27.27.937 W003.06.07.811
N058.27.27.866 W003.06.07.713
N058.27.27.764 W003.06.07.531
N058.27.27.693 W003.06.07.324
N058.27.27.674 W003.06.07.031
N058.27.27.718 W003.06.06.726
N058.27.27.859 W003.06.06.470
N058.27.27.987 W003.06.06.410
N058.27.28.191 W003.06.06.399
N058.27.28.319 W003.06.06.472
N058.27.28.427 W003.06.06.704
N058.27.28.472 W003.06.06.972
N058.27.28.472 W003.06.07.275
N058.27.28.447 W003.06.07.518
N058.27.28.389 W003.06.07.834
N058.27.28.434 W003.06.08.029
N058.27.28.478 W003.06.08.284
N058.27.28.580 W003.06.08.732
N058.27.28.714 W003.06.09.167
N058.27.29.702 W003.06.08.559
N058.27.29.791 W003.06.08.414
N058.27.29.873 W003.06.08.208
N058.27.29.930 W003.06.08.039
N058.27.29.974 W003.06.07.712
N058.27.30.006 W003.06.07.349
N058.27.29.146 W003.06.03.841
N058.27.29.051 W003.06.03.548
N058.27.28.955 W003.06.03.304
N058.27.28.866 W003.06.03.241
N058.27.28.746 W003.06.03.118
N058.27.28.656 W003.06.02.994
N058.27.28.586 W003.06.02.786
N058.27.28.542 W003.06.02.505
N058.27.28.523 W003.06.02.201
N058.27.28.580 W003.06.01.934
N058.27.28.657 W003.06.01.730
N058.27.28.803 W003.06.01.576
N058.27.28.994 W003.06.01.495
N058.27.29.127 W003.06.01.547
N058.27.29.241 W003.06.01.732
N058.27.29.342 W003.06.01.953
N058.27.29.399 W003.06.02.257
N058.27.29.387 W003.06.02.536
N058.27.29.349 W003.06.02.789
N058.27.29.369 W003.06.03.048
N058.27.30.261 W003.06.06.717
N058.27.30.381 W003.06.07.044
N058.27.30.533 W003.06.07.347
N058.27.30.646 W003.06.07.661
N058.27.32.247 W003.06.06.218
N058.27.32.336 W003.06.06.051
N058.27.32.399 W003.06.05.835
N058.27.32.405 W003.06.05.547
N058.27.32.373 W003.06.05.269
N058.27.31.825 W003.06.02.831
N058.27.31.749 W003.06.02.592
N058.27.31.680 W003.06.02.388
N058.27.31.591 W003.06.02.256
N058.27.31.446 W003.06.02.087
N058.27.31.352 W003.06.01.848
N058.27.31.289 W003.06.01.585
N058.27.31.289 W003.06.01.284
N058.27.31.365 W003.06.00.972
N058.27.31.498 W003.06.00.783
N058.27.31.687 W003.06.00.656
N058.27.31.838 W003.06.00.672
N058.27.31.983 W003.06.00.785
N058.27.32.096 W003.06.01.013
N058.27.32.178 W003.06.01.299
N058.27.32.184 W003.06.01.585
N058.27.32.134 W003.06.01.881
N058.27.32.058 W003.06.02.107
N058.27.32.663 W003.06.04.536
N058.27.32.777 W003.06.04.886
N058.27.32.890 W003.06.05.140
N058.27.32.991 W003.06.05.262
N058.27.33.173 W003.06.05.347
N058.27.36.290 W003.06.02.562
N058.27.36.352 W003.06.02.442
N058.27.36.396 W003.06.02.202
N058.27.36.441 W003.06.01.961
N058.27.36.459 W003.06.01.721
N058.27.36.434 W003.06.01.565
N058.27.36.125 W003.06.00.432
N058.27.35.968 W003.06.00.385
N058.27.35.836 W003.06.00.220
N058.27.35.748 W003.06.00.030
N058.27.35.673 W003.05.59.698
N058.27.35.679 W003.05.59.302
N058.27.35.742 W003.05.59.039
N058.27.35.829 W003.05.58.787
N058.27.35.973 W003.05.58.608
N058.27.36.205 W003.05.58.512
N058.27.36.387 W003.05.58.632
N058.27.36.556 W003.05.58.895
N058.27.36.670 W003.05.59.226
N058.27.36.670 W003.05.59.583
N058.27.36.608 W003.05.59.821
N058.27.36.577 W003.06.00.071
N058.27.36.602 W003.06.00.250
N058.27.36.792 W003.06.00.952
N058.27.36.900 W003.06.01.264
N058.27.36.988 W003.06.01.432
N058.27.37.132 W003.06.01.565
N058.27.37.270 W003.06.01.649
N058.27.39.457 W003.05.59.570
N058.27.39.684 W003.05.59.341
N058.27.39.766 W003.05.59.196
N058.27.39.836 W003.05.58.979
N058.27.39.905 W003.05.58.666
N058.27.39.987 W003.05.58.111
N058.27.40.498 W003.05.59.526
N058.27.35.724 W003.06.04.020
N058.27.35.655 W003.06.04.129
N058.27.35.623 W003.06.04.346
N058.27.35.642 W003.06.04.588
N058.27.35.712 W003.06.04.781
N058.27.35.977 W003.06.05.216
N058.27.40.954 W003.06.17.710
N058.27.41.763 W003.06.19.601
N058.27.42.199 W003.06.20.475
N058.27.42.715 W003.06.21.254
N058.27.43.071 W003.06.21.645
N058.27.43.435 W003.06.21.938
N058.27.43.862 W003.06.22.232
N058.27.44.406 W003.06.22.465
N058.27.44.860 W003.06.22.601
N058.27.45.226 W003.06.22.626
N058.27.45.579 W003.06.22.566
N058.27.46.035 W003.06.22.408
N058.27.46.407 W003.06.22.221
N058.27.46.759 W003.06.22.002
N058.27.47.188 W003.06.21.648
N058.27.47.572 W003.06.21.244
N058.27.47.816 W003.06.20.840
N058.27.47.995 W003.06.20.460
N058.27.48.098 W003.06.20.055
N058.27.48.156 W003.06.19.527
N058.27.48.137 W003.06.18.839
N058.27.49.184 W003.06.18.469
N058.27.49.713 W003.06.19.379
N058.27.48.651 W003.06.20.820
N058.27.48.322 W003.06.21.274
N058.27.47.987 W003.06.21.739
N058.27.47.473 W003.06.22.290
N058.27.46.978 W003.06.22.742
N058.27.46.586 W003.06.22.961
N058.27.46.221 W003.06.23.191
N058.27.45.856 W003.06.23.324
N058.27.45.414 W003.06.23.383
N058.27.44.974 W003.06.23.381
N058.27.44.434 W003.06.23.276
N058.27.44.010 W003.06.23.114
N058.27.43.344 W003.06.22.731
N058.27.42.757 W003.06.22.252
N058.27.42.374 W003.06.21.788
N058.27.42.125 W003.06.21.409
N058.27.41.743 W003.06.20.811
N058.27.41.432 W003.06.20.165
N058.27.39.218 W003.06.14.548
N058.27.36.376 W003.06.07.395
N058.27.36.016 W003.06.06.517
N058.27.35.832 W003.06.06.097
N058.27.35.662 W003.06.05.773
N058.27.35.479 W003.06.05.527
N058.27.35.302 W003.06.05.309
N058.27.35.087 W003.06.05.224
N058.27.34.872 W003.06.05.152
N058.27.34.639 W003.06.05.164
N058.27.34.456 W003.06.05.223
