Sector,Latitude,Longitude,Latitude_DMS,Longitude_DMS
PRESTWICK GRAMPIAN_1,57.164444,-1.896389,N057.09.52.000,W001.53.47.000
PRESTWICK GRAMPIAN_1,56.245556,-1.552222,N056.14.44.000,W001.33.08.000
PRESTWICK GRAMPIAN_1,55.450000,-1.173056,N055.27.00.000,W001.10.23.000
PRESTWICK GRAMPIAN_1,55.598333,-3.496086,N055.35.54.000,W003.29.45.909
PRESTWICK GRAMPIAN_1,55.684146,-5.324884,N055.41.02.926,W005.19.29.582
PRESTWICK GRAMPIAN_1,57.252576,-6.068226,N057.15.09.272,W006.04.05.614
PRESTWICK GRAMPIAN_1,57.658211,-6.271991,N057.39.29.561,W006.16.19.167
PRESTWICK BORDERS_1,55.684146,-5.324884,N055.41.02.926,W005.19.29.582
PRESTWICK BORDERS_1,55.598333,-3.496086,N055.35.54.000,W003.29.45.909
PRESTWICK BORDERS_1,55.450000,-1.173056,N055.27.00.000,W001.10.23.000
PRESTWICK BORDERS_1,55.099261,-0.760666,N055.05.57.338,W000.45.38.396
PRESTWICK BORDERS_1,55.000000,-0.645557,N055.00.00.000,W000.38.44.006
PRESTWICK BORDERS_1,54.028056,0.455278,N054.01.41.000,E000.27.19.000
PRESTWICK BORDERS_1,54.028889,0.246311,N054.01.44.000,E000.14.46.720
PRESTWICK BORDERS_1,54.030236,-0.830237,N054.01.48.849,W000.49.48.852
PRESTWICK BORDERS_1,54.021066,-1.662161,N054.01.15.839,W001.39.43.781
PRESTWICK BORDERS_1,54.020104,-1.743186,N054.01.12.374,W001.44.35.468
PRESTWICK BORDERS_1,54.019466,-1.977633,N054.01.10.077,W001.58.39.479
PRESTWICK BORDERS_1,54.018912,-2.018912,N054.01.08.083,W002.01.08.083
PRESTWICK BORDERS_1,54.016111,-2.289656,N054.00.58.000,W002.17.22.760
PRESTWICK BORDERS_1,54.012400,-2.435753,N054.00.44.640,W002.26.08.710
PRESTWICK BORDERS_1,54.002778,-2.808889,N054.00.10.000,W002.48.32.000
PRESTWICK BORDERS_1,54.000000,-3.227081,N054.00.00.000,W003.13.37.492
PRESTWICK BORDERS_1,-357023.496645,6011252.502837,S357023.29.47.923,E6011252.30.10.212
PRESTWICK BORDERS_1,-372738.371569,6011251.850393,S372738.22.17.648,E6011251.51.01.416
PRESTWICK BORDERS_1,53.999994,-3.368963,N053.59.59.979,W003.22.08.267
PRESTWICK BORDERS_1,55.163321,-5.078001,N055.09.47.956,W005.04.40.805
PRESTWICK BORDERS_1,55.684146,-5.324884,N055.41.02.926,W005.19.29.582
PRESTWICK TYNE FIS,56.601382,3.608598,N056.36.04.974,E003.36.30.952
PRESTWICK TYNE FIS,56.417222,5.000000,N056.25.02.000,E005.00.00.000
PRESTWICK TYNE FIS,55.500000,5.000000,N055.30.00.000,E005.00.00.000
PRESTWICK TYNE FIS,55.429753,3.765946,N055.25.47.111,E003.45.57.406
PRESTWICK TYNE FIS,55.854444,3.500000,N055.51.16.000,E003.30.00.000
PRESTWICK TYNE FIS,56.509722,3.500000,N056.30.35.000,E003.30.00.000
PRESTWICK TYNE FIS,56.601382,3.608598,N056.36.04.974,E003.36.30.952
