;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.25.159 W007.09.17.850
N055.02.24.652 W007.09.17.858
N055.02.24.611 W007.09.17.717
N055.02.24.553 W007.09.17.381
N055.02.24.494 W007.09.16.653
N055.02.24.517 W007.09.15.995
N055.02.24.593 W007.09.15.361
N055.02.24.786 W007.09.14.554
N055.02.25.028 W007.09.13.536
N055.02.25.235 W007.09.12.753
N055.02.25.418 W007.09.12.275
N055.02.25.697 W007.09.11.688
N055.02.25.975 W007.09.11.171
N055.02.26.356 W007.09.10.544
N055.02.27.685 W007.09.08.927
N055.02.29.543 W007.09.06.727
N055.02.29.664 W007.09.05.012
N055.02.29.830 W007.09.04.832
N055.02.29.798 W007.09.05.466
N055.02.29.767 W007.09.06.131
N055.02.29.749 W007.09.06.437
N055.02.29.812 W007.09.06.460
N055.02.33.855 W007.09.01.971
N055.02.40.570 W007.08.54.364
N055.02.41.028 W007.08.53.847
N055.02.41.122 W007.08.53.714
N055.02.41.247 W007.08.53.494
N055.02.41.386 W007.08.53.244
N055.02.41.777 W007.08.52.194
N055.02.40.885 W007.08.58.135
N055.02.40.755 W007.08.57.265
N055.02.40.742 W007.08.57.109
N055.02.40.670 W007.08.56.913
N055.02.40.603 W007.08.56.733
N055.02.40.522 W007.08.56.545
N055.02.40.437 W007.08.56.396
N055.02.40.347 W007.08.56.326
N055.02.40.235 W007.08.56.271
N055.02.40.091 W007.08.56.271
N055.02.39.895 W007.08.56.338
N055.02.39.409 W007.08.56.684
N055.02.34.195 W007.09.02.442
N055.02.29.724 W007.09.07.503
N055.02.27.606 W007.09.09.949
N055.02.27.565 W007.09.10.122
N055.02.27.557 W007.09.10.266
N055.02.27.623 W007.09.10.410
N055.02.28.043 W007.09.09.892
N055.02.30.805 W007.09.14.609
N055.02.31.658 W007.09.15.914
N055.02.35.648 W007.09.22.430
N055.02.35.912 W007.09.22.789
N055.02.36.060 W007.09.22.919
N055.02.36.266 W007.09.22.861
N055.02.36.678 W007.09.22.185
N055.02.37.503 W007.09.24.926
N055.02.37.524 W007.09.25.202
N055.02.37.528 W007.09.25.319
N055.02.37.566 W007.09.25.478
N055.02.37.620 W007.09.25.609
N055.02.42.469 W007.09.33.211
N055.02.44.522 W007.09.36.533
N055.02.48.714 W007.09.34.237
N055.02.48.873 W007.09.33.975
N055.02.48.964 W007.09.33.699
N055.02.49.010 W007.09.33.321
N055.02.49.018 W007.09.32.965
N055.02.48.411 W007.09.29.361
N055.02.47.707 W007.09.25.284
N055.02.47.695 W007.09.25.167
N055.02.47.002 W007.09.20.808
N055.02.46.923 W007.09.20.568
N055.02.46.860 W007.09.20.386
N055.02.46.756 W007.09.20.154
N055.02.46.615 W007.09.19.986
N055.02.46.394 W007.09.19.914
N055.02.46.144 W007.09.19.866
N055.02.45.826 W007.09.19.962
N055.02.45.493 W007.09.19.793
N055.02.45.209 W007.09.19.490
N055.02.44.378 W007.09.19.991
N055.02.44.378 W007.09.20.948
N055.02.44.419 W007.09.21.086
N055.02.44.522 W007.09.21.350
N055.02.44.601 W007.09.21.654
N055.02.44.631 W007.09.22.043
N055.02.44.597 W007.09.22.313
N055.02.44.525 W007.09.22.564
N055.02.44.438 W007.09.22.729
