;DGX Perimeter
REGIONNAME St Athan
N051.24.36.816 W003.26.39.205
N051.24.36.562 W003.26.39.910
N051.24.33.222 W003.26.36.619
N051.24.33.458 W003.26.35.972
N051.24.32.942 W003.26.35.462
N051.24.32.809 W003.26.35.426
N051.24.32.683 W003.26.35.561
N051.24.32.545 W003.26.35.803
N051.24.32.062 W003.26.37.117
N051.24.31.906 W003.26.36.964
N051.24.32.460 W003.26.35.484
N051.24.32.503 W003.26.35.258
N051.24.32.491 W003.26.35.044
N051.24.32.387 W003.26.34.856
N051.24.31.845 W003.26.34.402
N051.24.32.463 W003.26.32.709
N051.24.32.671 W003.26.32.899
N051.24.32.927 W003.26.32.247
N051.24.32.933 W003.26.31.716
N051.24.32.762 W003.26.31.457
N051.24.30.878 W003.26.29.628
N051.24.30.630 W003.26.30.346
N051.24.29.481 W003.26.29.235
N051.24.29.444 W003.26.29.335
N051.24.29.270 W003.26.29.163
N051.24.28.509 W003.26.31.142
N051.24.28.071 W003.26.30.685
N051.24.27.701 W003.26.30.321
N051.24.28.414 W003.26.28.417
N051.24.28.546 W003.26.28.117
N051.24.28.715 W003.26.27.850
N051.24.29.587 W003.26.26.882
N051.24.29.682 W003.26.26.746
N051.24.29.788 W003.26.26.549
N051.24.29.875 W003.26.26.276
N051.24.29.925 W003.26.25.956
N051.24.30.094 W003.26.23.414
N051.24.30.099 W003.26.23.128
N051.24.30.084 W003.26.22.835
N051.24.29.989 W003.26.22.633
N051.24.29.863 W003.26.22.522
N051.24.29.708 W003.26.22.477
N051.24.27.134 W003.26.22.744
N051.24.26.683 W003.26.22.797
N051.24.26.256 W003.26.22.867
N051.24.25.323 W003.26.23.071

;Disused C Apron
REGIONNAME St Athan
smrTEdisused N051.24.37.025 W003.26.39.409
N051.24.37.790 W003.26.37.376
N051.24.37.857 W003.26.37.111
N051.24.37.872 W003.26.36.908
N051.24.37.878 W003.26.36.714
N051.24.37.866 W003.26.36.556
N051.24.37.817 W003.26.36.412
N051.24.37.741 W003.26.36.335
N051.24.37.692 W003.26.36.306
N051.24.37.512 W003.26.36.384
N051.24.37.422 W003.26.36.299
N051.24.37.395 W003.26.35.996
N051.24.36.312 W003.26.34.950
N051.24.35.035 W003.26.33.733
N051.24.35.321 W003.26.32.978
N051.24.35.394 W003.26.32.938
N051.24.35.486 W003.26.32.850
N051.24.35.684 W003.26.32.623
N051.24.35.882 W003.26.32.035
N051.24.35.646 W003.26.31.834
N051.24.36.562 W003.26.29.319
N051.24.36.888 W003.26.29.617
N051.24.36.926 W003.26.29.194
N051.24.36.924 W003.26.28.768
N051.24.36.833 W003.26.28.611
N051.24.34.421 W003.26.26.245
N051.24.34.315 W003.26.26.225
N051.24.34.197 W003.26.26.255
N051.24.34.050 W003.26.26.394
N051.24.33.843 W003.26.26.676
N051.24.34.004 W003.26.26.822
N051.24.33.049 W003.26.29.315
N051.24.32.897 W003.26.29.170
N051.24.32.731 W003.26.29.615
N051.24.32.731 W003.26.29.792
N051.24.32.695 W003.26.29.981
N051.24.32.683 W003.26.30.132
N051.24.32.680 W003.26.30.267
N051.24.32.697 W003.26.30.413
N051.24.32.734 W003.26.30.522
N051.24.30.740 W003.26.28.580
N051.24.30.964 W003.26.28.641
N051.24.31.070 W003.26.28.613
N051.24.31.194 W003.26.28.531
N051.24.31.343 W003.26.28.384
N051.24.31.492 W003.26.28.018
N051.24.32.589 W003.26.25.149
N051.24.32.631 W003.26.24.975
N051.24.32.654 W003.26.24.811
N051.24.32.682 W003.26.24.590
N051.24.32.640 W003.26.24.527
N051.24.32.608 W003.26.24.352
N051.24.32.445 W003.26.22.920
N051.24.32.401 W003.26.22.726
N051.24.32.343 W003.26.22.588
N051.24.32.265 W003.26.22.453
N051.24.32.182 W003.26.22.365
N051.24.33.680 W003.26.22.397
N051.24.35.724 W003.26.22.686
N051.24.37.595 W003.26.23.167
N051.24.36.125 W003.26.23.613
N051.24.35.576 W003.26.23.493
N051.24.35.230 W003.26.25.384
N051.24.36.880 W003.26.26.938
N051.24.36.729 W003.26.27.756
N051.24.37.155 W003.26.28.217
N051.24.37.317 W003.26.28.258
N051.24.37.474 W003.26.28.254
N051.24.37.619 W003.26.28.194
N051.24.37.720 W003.26.28.053
N051.24.37.827 W003.26.27.544
N051.24.37.804 W003.26.27.330
N051.24.37.708 W003.26.27.109
N051.24.38.348 W003.26.27.413
N051.24.38.222 W003.26.27.443
N051.24.38.146 W003.26.27.495
N051.24.38.075 W003.26.27.567
N051.24.38.010 W003.26.27.672
N051.24.37.951 W003.26.27.974
N051.24.37.951 W003.26.28.128
N051.24.37.978 W003.26.28.239
N051.24.38.200 W003.26.27.904
N051.24.38.572 W003.26.27.685
N051.24.38.861 W003.26.28.824
N051.24.38.480 W003.26.29.025
N051.24.38.422 W003.26.29.215
N051.24.38.304 W003.26.29.247
N051.24.38.308 W003.26.29.299
N051.24.37.492 W003.26.30.446
N051.24.37.335 W003.26.30.849
N051.24.37.334 W003.26.30.992
N051.24.37.373 W003.26.31.147
N051.24.37.902 W003.26.31.657
N051.24.38.055 W003.26.31.594
N051.24.38.909 W003.26.32.439
N051.24.38.470 W003.26.33.514
N051.24.39.097 W003.26.34.119
N051.24.39.166 W003.26.34.232
N051.24.39.212 W003.26.34.387
N051.24.39.220 W003.26.34.595
N051.24.39.158 W003.26.34.792
N051.24.38.824 W003.26.35.609
N051.24.38.723 W003.26.35.659
N051.24.38.602 W003.26.35.654
N051.24.38.062 W003.26.35.148
N051.24.37.984 W003.26.35.207
N051.24.37.934 W003.26.35.303
N051.24.37.914 W003.26.35.409
N051.24.37.916 W003.26.35.531
N051.24.37.950 W003.26.35.615
N051.24.38.133 W003.26.35.783
N051.24.38.250 W003.26.35.927
N051.24.38.373 W003.26.36.149
N051.24.38.459 W003.26.36.340
N051.24.38.518 W003.26.36.571
N051.24.38.570 W003.26.36.807
N051.24.38.593 W003.26.37.258
N051.24.38.566 W003.26.37.590
N051.24.38.649 W003.26.37.759
N051.24.38.706 W003.26.37.948
N051.24.38.732 W003.26.38.155
N051.24.38.734 W003.26.38.356
N051.24.38.847 W003.26.38.460
N051.24.38.302 W003.26.39.925
N051.24.38.195 W003.26.40.386
N051.24.38.107 W003.26.40.340
N051.24.38.068 W003.26.40.518
N051.24.38.020 W003.26.40.506
N051.24.37.981 W003.26.40.548
N051.24.37.587 W003.26.40.318
N051.24.37.668 W003.26.40.105
N051.24.37.605 W003.26.40.038

;Disused G 2
REGIONNAME St Athan
smrTEdisused N051.24.24.112 W003.25.42.608
N051.24.24.296 W003.25.42.426
N051.24.24.433 W003.25.42.269
N051.24.24.587 W003.25.42.068
N051.24.24.813 W003.25.41.775
N051.24.25.350 W003.25.41.044
N051.24.26.199 W003.25.41.392
N051.24.26.157 W003.25.41.447
N051.24.26.106 W003.25.41.535
N051.24.26.058 W003.25.41.657
N051.24.26.010 W003.25.41.805
N051.24.25.984 W003.25.41.934
N051.24.25.968 W003.25.42.096
N051.24.25.961 W003.25.42.305
N051.24.25.975 W003.25.42.465
N051.24.26.012 W003.25.42.672
N051.24.26.065 W003.25.42.822
N051.24.26.117 W003.25.42.934
