;DGX Perimeter
REGIONNAME St Athan
N051.24.07.707 W003.26.43.593
N051.24.07.555 W003.26.43.190
N051.24.07.424 W003.26.42.625
N051.24.07.373 W003.26.42.081
N051.24.07.358 W003.26.41.626
N051.24.07.373 W003.26.41.166
N051.24.07.434 W003.26.40.746
N051.24.14.206 W003.26.00.062
N051.24.14.673 W003.25.57.286
N051.24.15.111 W003.25.55.292
N051.24.15.488 W003.25.53.814
N051.24.15.946 W003.25.52.133
N051.24.16.893 W003.25.49.116
N051.24.17.291 W003.25.47.666
N051.24.17.623 W003.25.46.327
N051.24.17.938 W003.25.44.684
N051.24.21.783 W003.25.25.190
N051.24.23.303 W003.25.17.452
N051.24.23.440 W003.25.16.722
N051.24.23.582 W003.25.16.236
N051.24.23.775 W003.25.15.792
N051.24.23.990 W003.25.15.425
N051.24.24.299 W003.25.15.041
N051.24.24.701 W003.25.14.730
N051.24.25.066 W003.25.14.521
N051.24.25.473 W003.25.14.482
N051.24.25.765 W003.25.14.508
N051.24.26.056 W003.25.14.575
N051.24.26.327 W003.25.14.710
N051.24.26.627 W003.25.14.862
N051.24.26.266 W003.25.16.799
N051.24.26.312 W003.25.16.316
N051.24.26.213 W003.25.15.864
N051.24.26.027 W003.25.15.487
N051.24.25.803 W003.25.15.286
N051.24.25.537 W003.25.15.219
N051.24.25.204 W003.25.15.243
N051.24.24.935 W003.25.15.360
N051.24.24.635 W003.25.15.583
N051.24.24.373 W003.25.15.876
N051.24.24.190 W003.25.16.161
N051.24.24.018 W003.25.16.580
N051.24.23.867 W003.25.17.083
N051.24.23.778 W003.25.17.460
N051.24.18.703 W003.25.43.425
N051.24.18.422 W003.25.44.870
N051.24.18.047 W003.25.46.582
N051.24.17.753 W003.25.47.824
N051.24.17.432 W003.25.49.044
N051.24.17.097 W003.25.50.177
N051.24.16.169 W003.25.53.225
N051.24.15.428 W003.25.56.035
N051.24.14.916 W003.25.58.773
N051.24.07.885 W003.26.40.891
N051.24.07.840 W003.26.41.299
N051.24.07.827 W003.26.41.658
N051.24.07.843 W003.26.42.050
N051.24.07.912 W003.26.42.506
N051.24.08.058 W003.26.42.981
N051.24.08.196 W003.26.43.326
N051.24.08.309 W003.26.43.562
N051.24.08.435 W003.26.43.727
N051.24.08.592 W003.26.43.919
N051.24.08.724 W003.26.44.045
N051.24.08.834 W003.26.44.125
N051.24.08.957 W003.26.44.171
N051.24.09.094 W003.26.44.160
N051.24.09.214 W003.26.44.126
N051.24.09.323 W003.26.44.076
N051.24.09.445 W003.26.43.989
N051.24.09.560 W003.26.43.856
N051.24.09.645 W003.26.43.711
N051.24.09.696 W003.26.43.584
N051.24.09.759 W003.26.43.348
N051.24.09.404 W003.26.45.241
N051.24.08.956 W003.26.45.039

;Taxiway D
REGIONNAME St Athan
smrmiltaxiway N051.24.14.021 W003.26.19.983
N051.24.13.953 W003.26.19.815
N051.24.13.804 W003.26.19.419
N051.24.13.688 W003.26.19.027
N051.24.13.549 W003.26.18.386
N051.24.13.446 W003.26.17.848
N051.24.13.367 W003.26.17.239
N051.24.13.330 W003.26.16.494
N051.24.13.321 W003.26.15.206
N051.24.13.303 W003.26.13.593
N051.24.13.409 W003.26.09.740
N051.24.13.072 W003.26.09.706
N051.24.14.541 W003.26.00.931
N051.24.14.349 W003.26.02.745
N051.24.14.129 W003.26.05.834
N051.24.13.969 W003.26.08.084
N051.24.13.820 W003.26.14.324
N051.24.13.842 W003.26.16.355
N051.24.13.868 W003.26.16.903
N051.24.13.916 W003.26.17.418
N051.24.14.004 W003.26.17.956
N051.24.14.123 W003.26.18.461
N051.24.14.233 W003.26.18.918
N051.24.14.329 W003.26.19.143
N051.24.14.386 W003.26.19.221
N051.24.14.193 W003.26.20.256
N051.24.14.103 W003.26.20.140

;Taxiway H
REGIONNAME St Athan
smrmiltaxiway N051.24.20.621 W003.25.45.454
N051.24.20.464 W003.25.45.672
N051.24.20.327 W003.25.45.865
N051.24.20.181 W003.25.46.085
N051.24.20.051 W003.25.46.334
N051.24.19.893 W003.25.46.686
N051.24.19.777 W003.25.46.939
N051.24.19.609 W003.25.47.342
N051.24.19.418 W003.25.47.778
N051.24.15.851 W003.25.56.059
N051.24.15.637 W003.25.56.577
N051.24.15.412 W003.25.57.180
N051.24.15.221 W003.25.57.771
N051.24.15.085 W003.25.58.218
N051.24.14.889 W003.25.58.870
N051.24.15.423 W003.25.56.012
N051.24.16.159 W003.25.53.218
N051.24.16.199 W003.25.53.286
N051.24.16.292 W003.25.53.337
N051.24.16.379 W003.25.53.329
N051.24.16.432 W003.25.53.291
N051.24.18.938 W003.25.47.471
N051.24.19.245 W003.25.46.772
N051.24.19.476 W003.25.46.243
N051.24.19.687 W003.25.45.804
N051.24.19.977 W003.25.45.266
N051.24.20.354 W003.25.44.776
N051.24.20.725 W003.25.44.367
N051.24.21.094 W003.25.44.032
N051.24.20.833 W003.25.45.393
N051.24.20.777 W003.25.45.274

;Twy West of A4
REGIONNAME St Athan
smrmiltaxiway N051.24.17.558 W003.25.45.415
N051.24.17.453 W003.25.45.085
N051.24.17.238 W003.25.44.868
N051.24.17.074 W003.25.44.830
N051.24.16.963 W003.25.44.849
N051.24.16.863 W003.25.44.913
N051.24.16.797 W003.25.44.988
N051.24.16.195 W003.25.43.500
N051.24.16.695 W003.25.43.414
N051.24.17.251 W003.25.43.797
N051.24.17.669 W003.25.44.130
N051.24.17.788 W003.25.44.142
N051.24.17.887 W003.25.44.097
N051.24.17.994 W003.25.44.015
N051.24.18.079 W003.25.43.868
N051.24.18.159 W003.25.43.604
N051.24.17.637 W003.25.46.294
N051.24.17.654 W003.25.45.784

;A Loop West
REGIONNAME St Athan
smrmiltaxiway N051.24.22.213 W003.25.21.059
N051.24.22.042 W003.25.20.869
N051.24.21.835 W003.25.20.675
N051.24.21.595 W003.25.20.452
N051.24.21.493 W003.25.20.340
N051.24.21.414 W003.25.20.194
N051.24.21.307 W003.25.19.891
N051.24.21.282 W003.25.19.668
N051.24.21.285 W003.25.19.062
N051.24.21.278 W003.25.18.897
N051.24.21.220 W003.25.18.852
N051.24.21.013 W003.25.18.820
N051.24.21.141 W003.25.17.897
N051.24.21.942 W003.25.18.244
N051.24.21.892 W003.25.18.567
N051.24.21.791 W003.25.18.967
N051.24.21.675 W003.25.19.195
N051.24.21.675 W003.25.19.307
N051.24.21.728 W003.25.19.501
N051.24.21.839 W003.25.19.825
N051.24.21.974 W003.25.20.143
N051.24.22.082 W003.25.20.263
N051.24.22.203 W003.25.20.350
N051.24.22.745 W003.25.20.342
N051.24.22.523 W003.25.21.491

;A Loop East
REGIONNAME St Athan
smrmiltaxiway N051.24.22.601 W003.25.13.438
N051.24.22.227 W003.25.13.278
N051.24.22.513 W003.25.11.871
N051.24.22.610 W003.25.11.438
N051.24.22.776 W003.25.11.175
N051.24.22.920 W003.25.11.036
N051.24.23.070 W003.25.10.937
N051.24.23.212 W003.25.10.993
N051.24.23.351 W003.25.11.103
N051.24.23.736 W003.25.11.730
N051.24.23.897 W003.25.12.053
N051.24.24.665 W003.25.14.015
N051.24.24.754 W003.25.14.185
N051.24.24.843 W003.25.14.319
N051.24.24.940 W003.25.14.414
N051.24.25.127 W003.25.14.537
N051.24.24.960 W003.25.14.596
N051.24.24.275 W003.25.15.081
N051.24.24.344 W003.25.14.892
N051.24.24.398 W003.25.14.675
N051.24.24.422 W003.25.14.439
N051.24.24.416 W003.25.14.245
N051.24.24.356 W003.25.14.027
N051.24.23.544 W003.25.12.034
N051.24.23.411 W003.25.11.832
N051.24.23.253 W003.25.11.685
N051.24.23.155 W003.25.11.673
N051.24.23.061 W003.25.11.728
N051.24.22.939 W003.25.11.865
N051.24.22.855 W003.25.12.027
N051.24.22.729 W003.25.12.681

;Taxiway B
REGIONNAME St Athan
smrmiltaxiway N051.24.09.605 W003.26.27.161
N051.24.09.567 W003.26.26.974
N051.24.09.502 W003.26.26.792
N051.24.09.458 W003.26.26.683
N051.24.09.386 W003.26.26.547
N051.24.09.245 W003.26.26.379
N051.24.08.225 W003.26.25.001
N051.24.08.018 W003.26.24.766
N051.24.07.797 W003.26.24.567
N051.24.07.593 W003.26.24.404
N051.24.07.376 W003.26.24.270
N051.24.07.202 W003.26.24.179
N051.24.07.019 W003.26.24.108
N051.24.06.875 W003.26.24.039
N051.24.06.673 W003.26.23.896
N051.24.06.539 W003.26.23.735
N051.24.06.431 W003.26.23.556
N051.24.06.341 W003.26.23.367
N051.24.06.281 W003.26.23.160
N051.24.06.217 W003.26.22.886
N051.24.06.165 W003.26.22.533
N051.24.06.124 W003.26.22.268
N051.24.06.041 W003.26.22.011
N051.24.05.977 W003.26.21.869
N051.24.05.851 W003.26.21.671
N051.24.05.666 W003.26.21.489
N051.24.05.456 W003.26.21.312
N051.24.05.323 W003.26.21.232
N051.24.05.115 W003.26.21.171
N051.24.05.183 W003.26.20.604
N051.24.05.392 W003.26.20.677
N051.24.05.591 W003.26.20.778
N051.24.05.770 W003.26.20.891
N051.24.05.887 W003.26.20.998
N051.24.06.048 W003.26.21.199
N051.24.06.195 W003.26.21.421
N051.24.06.298 W003.26.21.612
N051.24.06.395 W003.26.21.835
N051.24.06.439 W003.26.21.923
N051.24.07.612 W003.26.23.514
N051.24.07.698 W003.26.23.580
N051.24.07.808 W003.26.23.589
N051.24.07.891 W003.26.23.540
N051.24.07.955 W003.26.23.440
N051.24.08.294 W003.26.22.768
N051.24.08.627 W003.26.23.244
N051.24.08.359 W003.26.23.790
N051.24.08.320 W003.26.23.884
N051.24.08.289 W003.26.24.032
N051.24.08.264 W003.26.24.219
N051.24.08.280 W003.26.24.400
N051.24.08.419 W003.26.24.553
N051.24.09.299 W003.26.25.718
N051.24.09.386 W003.26.25.801
N051.24.09.498 W003.26.25.865
N051.24.09.583 W003.26.25.904
N051.24.09.665 W003.26.25.903
N051.24.09.754 W003.26.25.850
N051.24.09.823 W003.26.25.782
N051.24.09.895 W003.26.25.677
N051.24.09.944 W003.26.25.585
N051.24.10.043 W003.26.25.123
N051.24.09.612 W003.26.27.694
N051.24.09.616 W003.26.27.411

;C Hangar 1
REGIONNAME St Athan
smrGDbuilding N051.24.29.269 W003.26.29.162
N051.24.29.444 W003.26.29.334
N051.24.29.481 W003.26.29.233
N051.24.32.507 W003.26.32.096
N051.24.32.439 W003.26.32.297
N051.24.32.534 W003.26.32.397
N051.24.31.645 W003.26.34.833
N051.24.28.338 W003.26.31.595

;C Hangar 2
REGIONNAME St Athan
smrGDbuilding N051.24.33.944 W003.26.26.949
N051.24.36.560 W003.26.29.320
N051.24.35.637 W003.26.31.874
N051.24.33.037 W003.26.29.345

;C Hangar 3
REGIONNAME St Athan
smrGDbuilding N051.24.38.097 W003.26.22.478
N051.24.38.167 W003.26.22.517
N051.24.38.215 W003.26.22.267
N051.24.42.504 W003.26.24.409
N051.24.42.460 W003.26.24.645
N051.24.42.593 W003.26.24.722
N051.24.41.919 W003.26.28.341
N051.24.37.433 W003.26.26.074

;K Hangar 1
REGIONNAME St Athan
smrGDbuilding N051.24.27.539 W003.26.10.503
N051.24.26.029 W003.26.09.808
N051.24.26.029 W003.26.09.808
N051.24.26.468 W003.26.07.286
N051.24.26.468 W003.26.07.286
N051.24.28.020 W003.26.08.072
N051.24.28.020 W003.26.08.072
N051.24.27.539 W003.26.10.503

;Big Disused Hangar
REGIONNAME St Athan
smrGDbuilding N051.24.42.310 W003.26.07.488
N051.24.42.072 W003.26.08.760
N051.24.41.093 W003.26.08.261
N051.24.41.326 W003.26.07.011
N051.24.40.998 W003.26.06.849
N051.24.41.022 W003.26.06.675
N051.24.40.454 W003.26.06.397
N051.24.40.423 W003.26.06.585
N051.24.35.579 W003.26.04.193
N051.24.35.511 W003.26.04.590
N051.24.34.537 W003.26.04.098
N051.24.34.363 W003.26.04.973
N051.24.33.512 W003.26.04.541
N051.24.33.753 W003.26.03.309
N051.24.33.525 W003.26.03.196
N051.24.34.007 W003.26.00.702
N051.24.33.736 W003.26.00.571
N051.24.34.539 W003.25.56.427
N051.24.34.767 W003.25.56.542
N051.24.35.283 W003.25.53.852
N051.24.41.859 W003.25.57.103
N051.24.41.816 W003.25.57.338
N051.24.42.140 W003.25.57.500
N051.24.45.331 W003.25.59.068
N051.24.43.606 W003.26.08.158

;Building 1
REGIONNAME St Athan
smrGDbuilding N051.24.37.862 W003.26.33.842
N051.24.37.677 W003.26.34.337
N051.24.36.994 W003.26.33.646
N051.24.37.177 W003.26.33.173

;Horizon Hangar
REGIONNAME St Athan
smrGDbuilding N051.24.10.966 W003.25.54.561
N051.24.10.975 W003.25.49.503
N051.24.12.999 W003.25.49.562
N051.24.12.925 W003.25.54.685

;Horizon Hangar 2
REGIONNAME St Athan
smrGDbuilding N051.24.13.456 W003.25.46.137
N051.24.16.098 W003.25.43.292
N051.24.17.033 W003.25.45.612
N051.24.14.398 W003.25.48.362

;Horizon Hangar 3
REGIONNAME St Athan
smrGDbuilding N051.24.21.625 W003.25.12.880
N051.24.23.234 W003.25.13.730
N051.24.22.398 W003.25.18.459
N051.24.21.619 W003.25.18.120
N051.24.20.767 W003.25.17.695

;C Hangar 4
REGIONNAME St Athan
smrGDbuilding N051.24.21.738 W003.26.29.876
N051.24.24.767 W003.26.28.723
N051.24.25.212 W003.26.31.637
N051.24.22.184 W003.26.32.766

;SAR Hangar
REGIONNAME St Athan
smrGDbuilding N051.24.02.456 W003.26.19.088
N051.24.03.706 W003.26.19.479
N051.24.03.381 W003.26.22.018
N051.24.02.123 W003.26.21.623

;Disused Building 1
REGIONNAME St Athan
smrGDbuilding N051.24.38.193 W003.25.51.098
N051.24.37.535 W003.25.50.782
N051.24.37.518 W003.25.50.867
N051.24.36.835 W003.25.50.536
N051.24.37.292 W003.25.48.296
N051.24.38.279 W003.25.48.759
N051.24.38.057 W003.25.49.912
N051.24.37.884 W003.25.49.823
N051.24.37.846 W003.25.50.020
N051.24.38.345 W003.25.50.276
N051.24.38.533 W003.25.49.309
N051.24.41.582 W003.25.50.815
N051.24.41.250 W003.25.52.705
N051.24.38.179 W003.25.51.199

;E Building 1
REGIONNAME St Athan
smrGDbuilding N051.24.38.463 W003.26.33.872
N051.24.38.977 W003.26.34.377
N051.24.38.674 W003.26.35.189
N051.24.38.156 W003.26.34.696

;E Building 2
REGIONNAME St Athan
smrGDbuilding N051.24.37.983 W003.26.39.450
N051.24.38.483 W003.26.38.133
N051.24.38.786 W003.26.38.418
N051.24.38.296 W003.26.39.764

;Runway 07-25 Full Length
REGIONNAME St Athan
smrGDtaxiway N051.24.08.946 W003.26.47.579
N051.24.27.076 W003.25.12.464
N051.24.28.470 W003.25.13.169
N051.24.10.358 W003.26.48.264

;Runway 07-25
REGIONNAME St Athan
smrGDrunway N051.24.09.825 W003.26.42.923
N051.24.26.613 W003.25.14.855
N051.24.28.034 W003.25.15.526
N051.24.11.261 W003.26.43.619
