EGTK Oxford SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.49.31.073 W001.07.15.606 N051.49.19.309 W001.06.58.779
                            N051.49.19.309 W001.06.58.779 N051.49.06.682 W001.06.43.674
                            N051.49.06.682 W001.06.43.674 N051.48.53.289 W001.06.30.406
                            N051.48.53.289 W001.06.30.406 N051.48.51.615 W001.06.28.978
                            N051.48.51.615 W001.06.28.978 N051.45.08.859 W001.07.38.187
                            N051.45.08.859 W001.07.38.187 N051.45.06.074 W001.07.41.810
                            N051.45.06.074 W001.07.41.810 N051.44.56.731 W001.08.02.223
                            N051.44.56.731 W001.08.02.223 N051.44.48.524 W001.08.23.876
                            N051.44.48.524 W001.08.23.876 N051.44.41.516 W001.08.46.602
                            N051.44.41.516 W001.08.46.602 N051.44.35.759 W001.09.10.230
                            N051.44.35.759 W001.09.10.230 N051.44.31.298 W001.09.34.578
                            N051.44.31.298 W001.09.34.578 N051.44.28.166 W001.09.59.463
                            N051.44.28.166 W001.09.59.463 N051.44.26.388 W001.10.24.694
                            N051.44.26.388 W001.10.24.694 N051.44.25.977 W001.10.50.080
                            N051.44.25.977 W001.10.50.080 N051.44.26.936 W001.11.15.427
                            N051.44.26.936 W001.11.15.427 N051.44.29.258 W001.11.40.542
                            N051.44.29.258 W001.11.40.542 N051.44.32.924 W001.12.05.235
                            N051.44.32.924 W001.12.05.235 N051.44.37.908 W001.12.29.317
                            N051.44.37.908 W001.12.29.317 N051.44.44.172 W001.12.52.605
                            N051.44.44.172 W001.12.52.605 N051.44.51.667 W001.13.14.922
                            N051.44.51.667 W001.13.14.922 N051.45.00.336 W001.13.36.099
                            N051.45.00.336 W001.13.36.099 N051.45.10.114 W001.13.55.972
                            N051.45.10.114 W001.13.55.972 N051.45.20.926 W001.14.14.393
                            N051.45.20.926 W001.14.14.393 N051.45.32.690 W001.14.31.220
                            N051.45.32.690 W001.14.31.220 N051.45.45.317 W001.14.46.325
                            N051.45.45.317 W001.14.46.325 N051.45.58.710 W001.14.59.593
                            N051.45.58.710 W001.14.59.593 N051.46.12.767 W001.15.10.924
                            N051.46.12.767 W001.15.10.924 N051.46.27.381 W001.15.20.232
                            N051.46.27.381 W001.15.20.232 N051.46.42.441 W001.15.27.444
                            N051.46.42.441 W001.15.27.444 N051.46.57.833 W001.15.32.507
                            N051.46.57.833 W001.15.32.507 N051.47.13.440 W001.15.35.381
                            N051.47.13.440 W001.15.35.381 N051.47.29.142 W001.15.36.046
                            N051.47.29.142 W001.15.36.046 N051.47.44.820 W001.15.34.496
                            N051.47.44.820 W001.15.34.496 N051.48.00.355 W001.15.30.742
                            N051.48.00.355 W001.15.30.742 N051.48.15.628 W001.15.24.814
