;- GATWICK HOLDING POINTS
N051.09.14.720:W000.10.46.440:EGKK Stands:135
N051.09.14.360:W000.10.49.000:EGKK Stands:136
N051.09.12.060:W000.10.29.360:EGKK Stands:140
N051.09.11.580:W000.10.32.830:EGKK Stands:141
N051.09.11.110:W000.10.36.290:EGKK Stands:142
N051.09.10.580:W000.10.40.130:EGKK Stands:143
N051.09.10.060:W000.10.43.880:EGKK Stands:144
N051.09.09.560:W000.10.47.560:EGKK Stands:145
N051.09.20.120:W000.11.05.460:EGKK Stands:150
N051.09.19.600:W000.11.09.210:EGKK Stands:151
N051.09.19.080:W000.11.12.970:EGKK Stands:152
N051.09.24.970:W000.11.01.880:EGKK Stands:153
N051.09.24.710:W000.11.04.500:EGKK Stands:154
N051.09.24.340:W000.11.07.180:EGKK Stands:155
N051.09.24.040:W000.11.10.090:EGKK Stands:156
N051.09.23.630:W000.11.13.210:EGKK Stands:157
N051.09.23.050:W000.11.17.260:EGKK Stands:158
N051.09.22.480:W000.11.20.100:EGKK Stands:159
N051.09.17.430:W000.11.02.010:EGKK Stands:160
N051.09.13.110:W000.11.01.430:EGKK Stands:161
N051.09.07.630:W000.11.16.080:EGKK Stands:170
N051.09.08.280:W000.11.10.310:EGKK Stands:171
N051.09.10.010:W000.11.16.910:EGKK Stands:172
N051.09.10.670:W000.11.11.140:EGKK Stands:173
N051.09.12.400:W000.11.17.750:EGKK Stands:174
N051.09.13.060:W000.11.11.970:EGKK Stands:175
N051.09.14.790:W000.11.18.580:EGKK Stands:176
N051.09.15.440:W000.11.12.800:EGKK Stands:177
N051.09.17.500:W000.11.19.520:EGKK Stands:178
N051.09.20.430:W000.11.20.190:EGKK Stands:180
