;EGR705
EGR705 N057.02.44.000 W003.04.27.000 N057.02.43.665 W003.04.17.405 ; Radial 5
EGR705 N057.02.43.665 W003.04.17.405 N057.02.42.982 W003.04.07.882 ; Radial 10
EGR705 N057.02.42.982 W003.04.07.882 N057.02.41.851 W003.03.58.504 ; Radial 15
EGR705 N057.02.41.851 W003.03.58.504 N057.02.40.279 W003.03.49.344 ; Radial 20
EGR705 N057.02.40.279 W003.03.49.344 N057.02.38.279 W003.03.40.471 ; Radial 25
EGR705 N057.02.38.279 W003.03.40.471 N057.02.35.865 W003.03.31.953 ; Radial 30
EGR705 N057.02.35.865 W003.03.31.953 N057.02.33.573 W003.03.23.854 ; Radial 35
EGR705 N057.02.33.573 W003.03.23.854 N057.02.29.875 W003.03.16.235 ; Radial 40
EGR705 N057.02.29.875 W003.03.16.235 N057.02.26.344 W003.03.09.157 ; Radial 45
EGR705 N057.02.26.344 W003.03.09.157 N057.02.22.490 W003.03.02.671 ; Radial 50
EGR705 N057.02.22.490 W003.03.02.671 N057.02.18.344 W003.02.56.827 ; Radial 55
EGR705 N057.02.18.344 W003.02.56.827 N057.02.13.936 W003.02.51.670 ; Radial 60
EGR705 N057.02.13.936 W003.02.51.670 N057.02.09.301 W003.02.47.240 ; Radial 65
EGR705 N057.02.09.301 W003.02.47.240 N057.02.04.473 W003.02.43.569 ; Radial 70
EGR705 N057.02.04.473 W003.02.43.569 N057.01.59.489 W003.02.40.685 ; Radial 75
EGR705 N057.01.59.489 W003.02.40.685 N057.01.54.387 W003.02.38.611 ; Radial 80
EGR705 N057.01.54.387 W003.02.38.611 N057.01.49.207 W003.02.37.362 ; Radial 85
EGR705 N057.01.49.207 W003.02.37.362 N057.01.43.986 W003.02.36.947 ; Radial 90
EGR705 N057.01.43.986 W003.02.36.947 N057.01.38.767 W003.02.37.370 ; Radial 95
EGR705 N057.01.38.767 W003.02.37.370 N057.01.33.587 W003.02.38.628 ; Radial 100
EGR705 N057.01.33.587 W003.02.38.628 N057.01.28.486 W003.02.40.710 ; Radial 105
EGR705 N057.01.28.486 W003.02.40.710 N057.01.23.504 W003.02.43.600 ; Radial 110
EGR705 N057.01.23.504 W003.02.43.600 N057.01.18.677 W003.02.47.277 ; Radial 115
EGR705 N057.01.18.677 W003.02.47.277 N057.01.14.439 W003.02.51.713 ; Radial 120
EGR705 N057.01.14.439 W003.02.51.713 N057.01.09.638 W003.02.56.873 ; Radial 125
EGR705 N057.01.09.638 W003.02.56.873 N057.01.05.494 W003.03.02.719 ; Radial 130
EGR705 N057.01.05.494 W003.03.02.719 N057.01.01.643 W003.03.09.206 ; Radial 135
EGR705 N057.01.01.643 W003.03.09.206 N057.00.58.114 W003.03.16.284 ; Radial 140
EGR705 N057.00.58.114 W003.03.16.284 N057.00.54.934 W003.03.23.900 ; Radial 145
EGR705 N057.00.54.934 W003.03.23.900 N057.00.52.128 W003.03.31.995 ; Radial 150
EGR705 N057.00.52.128 W003.03.31.995 N057.00.49.716 W003.03.40.509 ; Radial 155
EGR705 N057.00.49.716 W003.03.40.509 N057.00.47.717 W003.03.49.376 ; Radial 160
EGR705 N057.00.47.717 W003.03.49.376 N057.00.46.147 W003.03.58.529 ; Radial 165
EGR705 N057.00.46.147 W003.03.58.529 N057.00.45.170 W003.04.07.899 ; Radial 170
EGR705 N057.00.45.170 W003.04.07.899 N057.00.44.335 W003.04.17.413 ; Radial 175
EGR705 N057.00.44.335 W003.04.17.413 N057.00.44.107 W003.04.27.120 ; Radial 180
EGR705 N057.00.44.107 W003.04.27.120 N057.00.44.335 W003.04.36.588 ; Radial 185
EGR705 N057.00.44.335 W003.04.36.588 N057.00.45.170 W003.04.46.103 ; Radial 190
EGR705 N057.00.45.170 W003.04.46.103 N057.00.46.147 W003.04.55.472 ; Radial 195
EGR705 N057.00.46.147 W003.04.55.472 N057.00.47.717 W003.05.04.625 ; Radial 200
EGR705 N057.00.47.717 W003.05.04.625 N057.00.49.716 W003.05.13.492 ; Radial 205
EGR705 N057.00.49.716 W003.05.13.492 N057.00.52.128 W003.05.22.656 ; Radial 210
EGR705 N057.00.52.128 W003.05.22.656 N057.00.54.934 W003.05.30.102 ; Radial 215
EGR705 N057.00.54.934 W003.05.30.102 N057.00.58.114 W003.05.37.717 ; Radial 220
EGR705 N057.00.58.114 W003.05.37.717 N057.01.01.643 W003.05.44.796 ; Radial 225
EGR705 N057.01.01.643 W003.05.44.796 N057.01.05.494 W003.05.51.282 ; Radial 230
EGR705 N057.01.05.494 W003.05.51.282 N057.01.09.638 W003.05.57.128 ; Radial 235
EGR705 N057.01.09.638 W003.05.57.128 N057.01.14.439 W003.06.02.288 ; Radial 240
EGR705 N057.01.14.439 W003.06.02.288 N057.01.18.677 W003.06.06.724 ; Radial 245
EGR705 N057.01.18.677 W003.06.06.724 N057.01.23.504 W003.06.10.401 ; Radial 250
EGR705 N057.01.23.504 W003.06.10.401 N057.01.28.486 W003.06.13.292 ; Radial 255
EGR705 N057.01.28.486 W003.06.13.292 N057.01.33.587 W003.06.15.374 ; Radial 260
EGR705 N057.01.33.587 W003.06.15.374 N057.01.38.767 W003.06.16.631 ; Radial 265
EGR705 N057.01.38.767 W003.06.16.631 N057.01.43.986 W003.06.17.545 ; Radial 270
EGR705 N057.01.43.986 W003.06.17.545 N057.01.49.207 W003.06.16.640 ; Radial 275
EGR705 N057.01.49.207 W003.06.16.640 N057.01.54.387 W003.06.15.391 ; Radial 280
EGR705 N057.01.54.387 W003.06.15.391 N057.01.59.489 W003.06.13.316 ; Radial 285
EGR705 N057.01.59.489 W003.06.13.316 N057.02.04.473 W003.06.10.433 ; Radial 290
EGR705 N057.02.04.473 W003.06.10.433 N057.02.09.301 W003.06.06.762 ; Radial 295
EGR705 N057.02.09.301 W003.06.06.762 N057.02.13.936 W003.06.02.331 ; Radial 300
EGR705 N057.02.13.936 W003.06.02.331 N057.02.18.344 W003.05.57.174 ; Radial 305
EGR705 N057.02.18.344 W003.05.57.174 N057.02.22.490 W003.05.51.331 ; Radial 310
EGR705 N057.02.22.490 W003.05.51.331 N057.02.26.344 W003.05.44.845 ; Radial 315
EGR705 N057.02.26.344 W003.05.44.845 N057.02.29.875 W003.05.37.766 ; Radial 320
