;Airfield Boundary
N052.47.09.466 W002.39.55.390
N052.47.09.893 W002.39.54.949
N052.47.10.364 W002.39.54.559
N052.47.10.922 W002.39.54.242
N052.47.11.409 W002.39.54.044
N052.47.12.060 W002.39.53.920
N052.47.22.662 W002.39.53.940
N052.47.22.680 W002.39.53.766
N052.47.22.680 W002.39.53.618
N052.47.22.648 W002.39.53.457
N052.47.22.607 W002.39.53.290
N052.47.22.560 W002.39.53.115
N052.47.22.518 W002.39.52.900
N052.47.22.536 W002.39.52.679
N052.47.22.584 W002.39.52.527
N052.47.22.672 W002.39.52.386
N052.47.22.767 W002.39.52.317
N052.47.22.873 W002.39.52.295
N052.47.22.964 W002.39.52.308
N052.47.25.529 W002.39.52.230
N052.47.25.505 W002.39.51.716
N052.47.25.667 W002.39.51.705
N052.47.25.694 W002.39.50.374
N052.47.25.846 W002.39.50.391
N052.47.25.887 W002.39.49.128
N052.47.25.958 W002.39.49.134
N052.47.25.957 W002.39.49.059
N052.47.26.045 W002.39.49.054
N052.47.26.062 W002.39.48.798
N052.47.26.379 W002.39.48.791
N052.47.26.369 W002.39.49.091
N052.47.26.575 W002.39.49.086
N052.47.26.552 W002.39.51.270
N052.47.26.334 W002.39.51.253
N052.47.26.328 W002.39.51.809
N052.47.26.402 W002.39.51.796
N052.47.26.406 W002.39.52.048
N052.47.26.475 W002.39.52.053
N052.47.26.480 W002.39.52.596
N052.47.29.449 W002.39.52.785
N052.47.29.795 W002.39.52.233
N052.47.29.809 W002.39.51.456
N052.47.29.717 W002.39.51.179
N052.47.29.507 W002.39.51.153
N052.47.29.500 W002.39.49.280
N052.47.30.574 W002.39.49.334
N052.47.30.553 W002.39.49.873
N052.47.30.659 W002.39.49.869
N052.47.30.639 W002.39.52.551
N052.47.30.695 W002.39.52.825
N052.47.31.049 W002.39.53.247
N052.47.30.973 W002.39.53.481
N052.47.31.089 W002.39.53.588
N052.47.31.026 W002.39.53.786
N052.47.31.521 W002.39.54.247
N052.47.31.780 W002.39.54.220
N052.47.32.067 W002.39.53.290
N052.47.32.984 W002.39.54.149
N052.47.33.049 W002.39.53.923
N052.47.33.991 W002.39.54.745
N052.47.33.925 W002.39.54.949
N052.47.33.927 W002.39.55.094
N052.47.33.960 W002.39.55.223
N052.47.34.038 W002.39.55.356
N052.47.34.263 W002.39.55.560
N052.47.34.461 W002.39.55.620
N052.47.34.643 W002.39.55.628
N052.47.34.775 W002.39.55.604
N052.47.34.896 W002.39.55.474
N052.47.35.641 W002.39.53.098
N052.47.35.921 W002.39.52.379
N052.47.36.123 W002.39.51.866
N052.47.36.252 W002.39.51.506
N052.47.36.298 W002.39.51.254
N052.47.36.302 W002.39.51.142
N052.47.36.272 W002.39.51.058
N052.47.36.108 W002.39.50.552
N052.47.35.774 W002.39.50.192
N052.47.35.688 W002.39.50.177
N052.47.35.619 W002.39.50.235
N052.47.35.535 W002.39.50.320
N052.47.35.463 W002.39.50.428
N052.47.35.386 W002.39.50.561
N052.47.34.442 W002.39.49.702
N052.47.34.805 W002.39.48.582
N052.47.35.494 W002.39.47.249
N052.47.35.804 W002.39.46.792
N052.47.36.577 W002.39.48.251
N052.47.36.500 W002.39.48.389
N052.47.36.457 W002.39.48.519
N052.47.36.459 W002.39.48.640
N052.47.36.484 W002.39.48.778
N052.47.36.543 W002.39.48.935
N052.47.36.665 W002.39.49.095
N052.47.36.787 W002.39.49.203
N052.47.36.922 W002.39.49.321
N052.47.37.087 W002.39.49.397
N052.47.37.181 W002.39.49.418
N052.47.37.780 W002.39.50.480
N052.47.37.874 W002.39.50.573
N052.47.38.034 W002.39.50.629
N052.47.38.162 W002.39.50.639
N052.47.38.889 W002.39.50.386
N052.47.38.917 W002.39.50.317
N052.47.38.892 W002.39.50.227
N052.47.38.543 W002.39.49.547
N052.47.38.824 W002.39.49.188
N052.47.39.139 W002.39.49.778
N052.47.39.211 W002.39.49.879
N052.47.39.313 W002.39.49.953
N052.47.39.404 W002.39.49.992
N052.47.39.517 W002.39.49.983
N052.47.39.628 W002.39.49.811
N052.47.39.809 W002.39.49.435
N052.47.39.946 W002.39.48.916
N052.47.40.024 W002.39.48.590
N052.47.40.054 W002.39.48.254
N052.47.40.094 W002.39.47.866
N052.47.40.091 W002.39.47.599
N052.47.40.043 W002.39.47.368
N052.47.39.984 W002.39.47.190
N052.47.39.899 W002.39.47.057
N052.47.39.782 W002.39.47.002
N052.47.39.689 W002.39.47.007
N052.47.39.369 W002.39.45.960
N052.47.39.415 W002.39.45.829
N052.47.39.397 W002.39.45.659
N052.47.39.352 W002.39.45.429
N052.47.39.308 W002.39.45.225
N052.47.39.222 W002.39.45.026
N052.47.39.148 W002.39.44.888
N052.47.39.053 W002.39.44.749
N052.47.38.969 W002.39.44.702
N052.47.38.882 W002.39.44.722
N052.47.38.741 W002.39.44.868
N052.47.37.722 W002.39.43.123
N052.47.38.667 W002.39.41.765
N052.47.39.010 W002.39.41.964
N052.47.39.077 W002.39.42.011
N052.47.39.134 W002.39.42.009
N052.47.39.197 W002.39.42.007
N052.47.39.735 W002.39.41.530
N052.47.40.276 W002.39.43.262
N052.47.40.093 W002.39.43.346
N052.47.40.055 W002.39.43.423
N052.47.40.039 W002.39.43.525
N052.47.40.040 W002.39.43.645
N052.47.40.070 W002.39.43.801
N052.47.40.193 W002.39.44.235
N052.47.40.296 W002.39.44.378
N052.47.40.360 W002.39.44.468
N052.47.40.470 W002.39.44.569
N052.47.40.551 W002.39.44.618
N052.47.40.656 W002.39.44.632
N052.47.43.328 W002.39.42.499
N052.47.43.377 W002.39.42.335
N052.47.43.397 W002.39.42.118
N052.47.43.393 W002.39.41.842
N052.47.43.368 W002.39.41.628
N052.47.43.238 W002.39.41.214
N052.47.43.176 W002.39.41.124
N052.47.43.097 W002.39.41.061
N052.47.43.014 W002.39.41.059
N052.47.42.921 W002.39.41.082
N052.47.42.807 W002.39.41.132
N052.47.42.357 W002.39.39.561
N052.47.42.494 W002.39.39.443
N052.47.42.639 W002.39.39.290
N052.47.42.711 W002.39.39.144
N052.47.42.755 W002.39.38.990
N052.47.42.773 W002.39.38.836
N052.47.42.762 W002.39.38.683
N052.47.42.727 W002.39.38.555
N052.47.43.693 W002.39.37.812
N052.47.43.992 W002.39.38.786
N052.47.44.121 W002.39.39.090
N052.47.44.524 W002.39.39.924
N052.47.44.640 W002.39.40.178
N052.47.46.460 W002.39.45.868
N052.47.46.340 W002.39.46.099
N052.47.46.312 W002.39.46.192
N052.47.46.307 W002.39.46.331
N052.47.46.319 W002.39.46.437
N052.47.46.344 W002.39.46.633
N052.47.47.219 W002.39.49.193
N052.47.48.314 W002.39.49.595
N052.47.49.879 W002.39.50.110
N052.47.50.109 W002.39.50.143
N052.47.50.273 W002.39.50.163
N052.47.50.421 W002.39.50.146
N052.47.50.571 W002.39.50.042
N052.47.50.726 W002.39.49.824
N052.47.51.993 W002.39.48.011
N052.47.52.688 W002.39.46.910
N052.47.53.172 W002.39.46.096
N052.47.53.537 W002.39.45.395
N052.47.53.731 W002.39.44.974
N052.47.53.922 W002.39.44.575
N052.47.54.115 W002.39.44.030
N052.47.54.228 W002.39.43.527
N052.47.54.411 W002.39.42.341
N052.47.54.642 W002.39.40.828
N052.47.54.710 W002.39.40.119
N052.47.54.985 W002.39.40.212
N052.47.54.998 W002.39.40.339
N052.47.55.012 W002.39.40.535
N052.47.55.068 W002.39.40.732
N052.47.55.136 W002.39.40.891
N052.47.55.192 W002.39.40.962
N052.47.55.296 W002.39.40.946
N052.47.55.476 W002.39.40.843
N052.47.55.639 W002.39.40.718
N052.47.55.901 W002.39.40.604
N052.47.56.183 W002.39.40.518
N052.47.56.846 W002.39.40.297
N052.47.57.541 W002.39.40.127
N052.47.58.285 W002.39.39.967
N052.47.58.797 W002.39.39.894
N052.47.59.006 W002.39.39.899
N052.47.59.228 W002.39.39.919
N052.47.59.449 W002.39.39.988
N052.47.59.724 W002.39.40.078
N052.48.02.234 W002.39.41.188
N052.48.02.581 W002.39.41.373
N052.48.03.001 W002.39.41.619
N052.48.03.260 W002.39.41.796
