;Blue_Background
REGIONNAME Belfast City
smrBlue N054.40.39.960 W006.05.09.973
N054.37.06.266 W005.52.17.171
N054.37.06.448 W005.52.17.172
N054.37.06.605 W005.52.17.153
N054.37.06.855 W005.52.16.992
N054.37.07.531 W005.52.16.261
N054.37.25.715 W005.51.54.614
N054.37.25.848 W005.51.54.460
N054.37.26.096 W005.51.54.097
N054.37.26.261 W005.51.53.859
N054.37.26.371 W005.51.53.583
N054.37.26.415 W005.51.53.185
N054.37.26.512 W005.51.52.635
N054.37.26.678 W005.51.52.127
N054.37.26.887 W005.51.51.672
N054.37.27.110 W005.51.51.322
N054.37.27.334 W005.51.51.072
N054.37.27.527 W005.51.50.911
N054.37.27.684 W005.51.50.723
N054.37.27.792 W005.51.50.490
N054.37.27.829 W005.51.50.254
N054.37.27.847 W005.51.49.998
N054.37.27.846 W005.51.49.660
N054.37.27.827 W005.51.49.365
N054.37.28.403 W005.51.48.744
N054.37.30.214 W005.51.53.311
N054.37.30.059 W005.51.53.472
N054.37.29.962 W005.51.53.582
N054.37.29.851 W005.51.53.907
N054.37.29.808 W005.51.54.166
N054.37.29.764 W005.51.54.491
N054.37.29.683 W005.51.54.923
N054.37.29.516 W005.51.55.424
N054.37.29.250 W005.51.55.953
N054.37.28.987 W005.51.56.303
N054.37.28.651 W005.51.56.533
N054.37.28.330 W005.51.56.621
N054.37.27.942 W005.51.56.584
N054.37.27.709 W005.51.56.580
N054.37.27.460 W005.51.56.594
N054.37.27.238 W005.51.56.768
N054.37.27.067 W005.51.56.972
N054.37.08.718 W005.52.18.899

;Taxiway_A,_Main_Apron,_G.A_and_Victoria_Aprons
REGIONNAME Belfast City
black N054.36.38.995 W005.52.45.171
N054.36.38.868 W005.52.44.597
N054.36.38.786 W005.52.44.141
N054.36.38.704 W005.52.43.548
N054.36.38.674 W005.52.43.164
N054.36.38.496 W005.52.43.187
N054.36.38.482 W005.52.43.345
N054.36.38.236 W005.52.43.626
N054.36.37.965 W005.52.42.961
N054.36.38.329 W005.52.40.494
N054.36.37.769 W005.52.39.752
