;Airfield Boundary
N056.22.32.629 W002.52.53.028
N056.22.35.808 W002.53.00.962
N056.22.34.332 W002.53.02.866
N056.22.27.930 W002.52.55.410
N056.22.24.394 W002.52.53.933
N056.22.21.723 W002.52.50.273
N056.22.19.983 W002.52.46.527

;Taxiway NW
REGIONNAME Leuchars
smrMilTaxiway N056.22.24.898 W002.52.40.525
N056.22.26.154 W002.52.43.491
N056.22.25.396 W002.52.52.642
N056.22.25.475 W002.52.52.958
N056.22.25.565 W002.52.53.282
N056.22.25.654 W002.52.53.551
N056.22.25.910 W002.52.53.711
N056.22.26.234 W002.52.53.836
N056.22.26.608 W002.52.53.912
N056.22.27.020 W002.52.53.886
N056.22.27.413 W002.52.53.803
N056.22.27.731 W002.52.53.647
N056.22.28.015 W002.52.53.344
N056.22.28.285 W002.52.52.906
N056.22.28.463 W002.52.52.433
N056.22.28.584 W002.52.51.928
N056.22.32.575 W002.52.02.944
N056.22.32.448 W002.52.02.585
N056.22.32.267 W002.52.02.357
N056.22.32.064 W002.52.02.271
N056.22.31.645 W002.52.02.335
N056.22.33.959 W002.51.59.183
N056.22.33.853 W002.52.00.504
N056.22.33.914 W002.52.00.825
N056.22.34.002 W002.52.01.049
N056.22.34.170 W002.52.01.180
N056.22.34.362 W002.52.01.248
N056.22.34.573 W002.52.01.211
N056.22.34.804 W002.52.01.011
N056.22.35.041 W002.52.00.717
N056.22.35.364 W002.52.00.323
N056.22.35.607 W002.51.59.830
N056.22.35.901 W002.51.59.105
N056.22.36.142 W002.51.58.624
N056.22.36.416 W002.51.58.302
N056.22.36.737 W002.51.57.992
N056.22.43.078 W002.51.54.678
N056.22.43.601 W002.51.54.321
N056.22.44.077 W002.51.53.887
N056.22.45.609 W002.51.52.308
N056.22.45.981 W002.51.51.838
N056.22.46.432 W002.51.51.216
N056.22.46.867 W002.51.50.534
N056.22.47.164 W002.51.49.958
N056.22.47.340 W002.51.49.541
N056.22.47.476 W002.51.49.048
N056.22.49.398 W002.51.40.598
N056.22.49.418 W002.51.40.160
N056.22.49.402 W002.51.39.932
N056.22.49.339 W002.51.39.726
N056.22.49.214 W002.51.39.574
N056.22.49.039 W002.51.39.533
N056.22.48.789 W002.51.39.505
N056.22.50.197 W002.51.37.457
N056.22.50.498 W002.51.38.153
N056.22.47.849 W002.51.49.530
N056.22.47.723 W002.51.49.946
N056.22.47.589 W002.51.50.266
N056.22.47.315 W002.51.50.803
N056.22.46.982 W002.51.51.438
N056.22.46.632 W002.51.51.955
N056.22.46.047 W002.51.52.780
N056.22.45.442 W002.51.53.536
N056.22.44.924 W002.51.53.977
N056.22.44.382 W002.51.54.503
N056.22.43.736 W002.51.55.108
N056.22.43.407 W002.51.55.366
N056.22.42.779 W002.51.55.727
N056.22.37.167 W002.51.58.598
N056.22.36.872 W002.51.58.773
N056.22.36.660 W002.51.58.936
N056.22.36.502 W002.51.59.127
N056.22.36.341 W002.51.59.416
N056.22.36.195 W002.51.59.784
N056.22.34.903 W002.52.03.144
N056.22.34.179 W002.52.04.926
N056.22.33.938 W002.52.04.929
N056.22.33.789 W002.52.04.947
N056.22.33.710 W002.52.05.021
N056.22.33.646 W002.52.05.208
N056.22.33.604 W002.52.05.389
N056.22.33.745 W002.52.08.159
N056.22.33.584 W002.52.10.298
N056.22.32.908 W002.52.12.997
N056.22.32.124 W002.52.22.071
N056.22.32.483 W002.52.28.555
N056.22.32.705 W002.52.29.605
N056.22.33.786 W002.52.29.500
N056.22.33.845 W002.52.31.155
N056.22.33.878 W002.52.34.133
N056.22.33.956 W002.52.37.830
N056.22.33.689 W002.52.40.849
N056.22.33.640 W002.52.41.639
N056.22.33.817 W002.52.41.988
N056.22.33.973 W002.52.41.787
N056.22.34.901 W002.52.43.949
N056.22.34.646 W002.52.44.293
N056.22.34.392 W002.52.46.100
N056.22.34.289 W002.52.46.069
N056.22.34.196 W002.52.46.087
N056.22.34.135 W002.52.46.168
N056.22.34.069 W002.52.46.351
N056.22.34.042 W002.52.46.517
N056.22.34.006 W002.52.46.698
N056.22.32.025 W002.52.46.201
N056.22.32.026 W002.52.46.036
N056.22.32.022 W002.52.45.899
N056.22.31.957 W002.52.45.774
N056.22.31.877 W002.52.45.711
N056.22.31.758 W002.52.45.693
N056.22.31.645 W002.52.45.719
N056.22.31.525 W002.52.45.849
N056.22.31.444 W002.52.45.995
N056.22.31.380 W002.52.46.178
N056.22.30.992 W002.52.51.172
N056.22.31.025 W002.52.51.579
N056.22.31.082 W002.52.51.712
N056.22.31.141 W002.52.51.826
N056.22.31.243 W002.52.51.880
N056.22.31.376 W002.52.51.900
N056.22.31.499 W002.52.51.845
N056.22.31.591 W002.52.51.748
N056.22.31.629 W002.52.51.560
N056.22.31.650 W002.52.51.396
N056.22.33.549 W002.52.51.897
N056.22.33.526 W002.52.52.271
N056.22.33.542 W002.52.52.481
N056.22.33.582 W002.52.52.662
N056.22.33.644 W002.52.52.756
N056.22.33.733 W002.52.52.777
N056.22.33.985 W002.52.54.194
N056.22.33.891 W002.52.54.282
N056.22.33.854 W002.52.54.358
N056.22.33.821 W002.52.54.479
N056.22.33.832 W002.52.54.594
N056.22.33.873 W002.52.54.750
N056.22.33.930 W002.52.54.960
N056.22.32.740 W002.52.56.664
N056.22.32.689 W002.52.56.667
N056.22.32.624 W002.52.56.683
N056.22.32.565 W002.52.56.764
N056.22.32.510 W002.52.56.889
N056.22.32.458 W002.52.57.034
N056.22.32.423 W002.52.57.210
N056.22.32.423 W002.52.57.375
N056.22.32.449 W002.52.57.557
N056.22.32.498 W002.52.57.701
N056.22.34.156 W002.53.01.885
N056.22.34.298 W002.53.02.007
N056.22.34.407 W002.53.02.029
N056.22.34.519 W002.53.01.996
N056.22.34.620 W002.53.01.920
N056.22.34.952 W002.53.01.383
N056.22.34.981 W002.53.01.215
N056.22.34.986 W002.53.01.069
N056.22.34.968 W002.53.00.933
N056.22.34.914 W002.53.00.766
N056.22.34.868 W002.53.00.638
N056.22.35.810 W002.52.59.396
N056.22.36.024 W002.52.59.990
N056.22.36.312 W002.52.59.902
N056.22.36.426 W002.53.00.257
N056.22.36.404 W002.53.01.567
N056.22.33.708 W002.53.05.345
N056.22.33.464 W002.53.05.606
N056.22.33.246 W002.53.05.733
N056.22.33.004 W002.53.05.761
N056.22.32.746 W002.53.05.688
N056.22.32.563 W002.53.05.565
N056.22.32.386 W002.53.05.424
N056.22.32.194 W002.53.05.218
N056.22.32.055 W002.53.04.922
N056.22.31.948 W002.53.04.557
N056.22.29.964 W002.52.59.693
N056.22.29.825 W002.52.59.447
N056.22.29.641 W002.52.59.251
N056.22.29.459 W002.52.59.171
N056.22.29.294 W002.52.59.172
N056.22.29.108 W002.52.59.220
N056.22.27.987 W002.53.00.219
N056.22.27.470 W002.52.58.965
N056.22.27.411 W002.52.58.802
N056.22.27.374 W002.52.58.602
N056.22.27.361 W002.52.58.364
N056.22.27.352 W002.52.56.311
N056.22.27.325 W002.52.56.073
N056.22.27.270 W002.52.55.823
N056.22.27.204 W002.52.55.570
N056.22.27.078 W002.52.55.398
N056.22.26.869 W002.52.55.419
N056.22.26.394 W002.52.55.398
N056.22.26.147 W002.52.55.337
N056.22.25.949 W002.52.55.276
N056.22.25.642 W002.52.55.163
N056.22.25.278 W002.52.55.001
N056.22.24.757 W002.52.54.798
N056.22.24.461 W002.52.54.655
N056.22.24.242 W002.52.54.497
N056.22.23.970 W002.52.54.304
N056.22.23.781 W002.52.54.245

;Taxiway_F 
REGIONNAME Leuchars
smrMilTaxiway N056.22.53.060 W002.51.20.895
N056.22.53.136 W002.51.20.002
N056.22.55.926 W002.51.16.098
N056.22.56.953 W002.51.18.489
N056.22.54.009 W002.51.22.398
N056.22.53.769 W002.51.25.414
N056.22.53.677 W002.51.25.781
N056.22.53.572 W002.51.26.082
N056.22.53.418 W002.51.26.360
N056.22.48.856 W002.51.33.845
N056.22.48.794 W002.51.34.000
N056.22.48.813 W002.51.34.167
N056.22.48.843 W002.51.34.289
N056.22.48.547 W002.51.34.013
N056.22.48.560 W002.51.33.413
N056.22.48.652 W002.51.33.512
N056.22.48.751 W002.51.33.512
N056.22.53.380 W002.51.25.921
N056.22.53.509 W002.51.25.620
N056.22.53.589 W002.51.25.253
N056.22.53.769 W002.51.22.676

;Taxiway NE
REGIONNAME Leuchars
smrMilTaxiway N056.22.32.575 W002.51.57.931
N056.22.32.746 W002.51.57.525
N056.22.32.842 W002.51.57.280
N056.22.32.924 W002.51.57.060
N056.22.33.001 W002.51.56.757
N056.22.33.059 W002.51.56.446
N056.22.33.110 W002.51.56.019
N056.22.36.574 W002.51.12.983
N056.22.36.577 W002.51.12.648
N056.22.36.557 W002.51.12.404
N056.22.36.520 W002.51.12.192
N056.22.36.443 W002.51.11.939
N056.22.34.433 W002.51.08.826
N056.22.34.216 W002.51.08.765
N056.22.33.479 W002.51.08.015
N056.22.33.360 W002.51.07.928
N056.22.33.178 W002.51.07.885
N056.22.33.027 W002.51.07.904
N056.22.32.851 W002.51.08.004
N056.22.32.680 W002.51.08.156
N056.22.32.550 W002.51.08.294
N056.22.32.421 W002.51.08.494
N056.22.32.310 W002.51.08.879
N056.22.32.557 W002.51.05.884
N056.22.32.708 W002.51.06.137
N056.22.32.829 W002.51.06.251
N056.22.32.953 W002.51.06.301
N056.22.33.040 W002.51.06.357
N056.22.33.135 W002.51.06.415
N056.22.33.264 W002.51.06.534
N056.22.33.484 W002.51.06.761
