ULPEN N050.45.20.000 E005.55.39.000
UMPES N051.03.56.000 E004.45.48.000
UPMIT N050.39.07.000 E003.21.05.000
UVETI N050.59.14.000 E004.45.42.000
VABIK N051.14.47.000 E002.00.00.000
VAMKA N050.32.52.000 E004.45.28.000
VAMVO N051.07.13.000 E004.35.13.000
VAVOT N049.29.13.000 E005.34.00.000
WOODY N051.24.20.000 E004.21.59.000
ZAFRI N051.14.07.000 E002.32.27.000
