;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
N054.39.02.483 W006.13.26.620
N054.39.11.702 W006.13.31.768
N054.39.11.808 W006.13.31.592
N054.39.12.217 W006.13.29.244
N054.39.12.957 W006.13.29.637
N054.39.12.870 W006.13.30.081
N054.39.12.432 W006.13.29.881
N054.39.12.367 W006.13.30.095
N054.39.12.245 W006.13.30.029
N054.39.11.930 W006.13.31.644
N054.39.11.937 W006.13.31.887
N054.39.15.918 W006.13.34.090
N054.39.22.015 W006.13.11.378
N054.39.21.105 W006.13.10.825
N054.39.21.181 W006.13.10.452
N054.39.22.069 W006.13.10.921
N054.39.22.153 W006.13.10.865
N054.39.22.241 W006.13.10.627
N054.39.31.933 W006.12.34.632
N054.39.31.832 W006.12.34.285
N054.39.31.499 W006.12.33.804
N054.39.30.995 W006.12.33.461
N054.39.31.107 W006.12.32.689
N054.39.32.252 W006.12.33.516
N054.39.45.953 W006.11.42.550
N054.39.47.653 W006.11.43.983
N054.39.46.934 W006.11.46.879
N054.39.47.050 W006.11.47.123
N054.39.48.359 W006.11.48.133
N054.39.48.088 W006.11.49.558
N054.39.46.415 W006.11.48.665
N054.39.44.148 W006.11.57.038
N054.39.44.830 W006.11.57.602
N054.39.44.755 W006.11.57.856
N054.39.44.077 W006.11.57.324
N054.39.34.005 W006.12.34.858
N054.39.34.322 W006.12.35.210
N054.39.33.994 W006.12.36.516
N054.39.33.619 W006.12.36.475
N054.39.33.539 W006.12.36.548
N054.39.31.226 W006.12.45.091
N054.39.31.166 W006.12.45.388
N054.39.31.278 W006.12.45.873
N054.39.31.502 W006.12.46.466
N054.39.31.763 W006.12.46.959
N054.39.32.101 W006.12.47.320
N054.39.31.678 W006.12.48.775
N054.39.31.243 W006.12.48.614
N054.39.30.951 W006.12.48.591
N054.39.30.657 W006.12.48.640
N054.39.30.365 W006.12.48.738
N054.39.30.233 W006.12.48.893
N054.39.25.157 W006.13.07.619
N054.39.25.546 W006.13.08.264
N054.39.25.136 W006.13.09.813
N054.39.24.853 W006.13.09.654
N054.39.24.612 W006.13.09.661
N054.39.23.980 W006.13.11.990
N054.39.24.289 W006.13.12.168
N054.39.24.187 W006.13.12.613
N054.39.23.863 W006.13.12.413
N054.39.17.816 W006.13.35.199
N054.39.19.598 W006.13.36.182
N054.39.19.695 W006.13.35.758
N054.39.19.898 W006.13.35.784
N054.39.19.767 W006.13.36.328
N054.39.25.476 W006.13.39.504
N054.39.25.783 W006.13.39.252
N054.39.26.016 W006.13.38.780
N054.39.26.199 W006.13.38.247
N054.39.26.385 W006.13.36.166
N054.39.27.234 W006.13.36.357
N054.39.27.054 W006.13.40.398
N054.39.30.681 W006.13.42.486
N054.39.30.118 W006.13.45.556
N054.39.26.614 W006.13.43.610
;Taxiway_A
REGIONNAME Belfast Aldergrove
black N054.39.49.455 W006.11.49.233
N054.39.50.012 W006.11.50.335
N054.39.50.396 W006.11.51.494
N054.39.50.609 W006.11.52.697
N054.39.50.649 W006.11.53.870
N054.39.50.576 W006.11.54.815
N054.39.50.410 W006.11.55.806
N054.39.42.792 W006.12.24.111
N054.39.42.807 W006.12.24.422
N054.39.42.945 W006.12.24.660
N054.39.43.131 W006.12.24.838
N054.39.42.989 W006.12.25.263
N054.39.42.822 W006.12.25.155
N054.39.42.632 W006.12.25.117
N054.39.42.447 W006.12.25.319
N054.39.41.129 W006.12.30.440
N054.39.41.107 W006.12.30.663
N054.39.41.164 W006.12.30.904
N054.39.41.529 W006.12.31.259
N054.39.41.354 W006.12.31.989
N054.39.41.107 W006.12.31.802
N054.39.40.828 W006.12.31.804
N054.39.40.622 W006.12.32.169
N054.39.38.533 W006.12.40.010
N054.39.36.967 W006.12.42.638
N054.39.37.171 W006.12.41.691
N054.39.37.224 W006.12.40.769
N054.39.37.159 W006.12.39.990
N054.39.36.952 W006.12.39.092
N054.39.36.542 W006.12.38.401
