;Apron Outline
N055.52.02.522 W004.25.44.420
N055.52.02.369 W004.25.44.030
N055.52.02.107 W004.25.43.640
N055.52.01.165 W004.25.43.146
N055.52.01.462 W004.25.41.209
N055.52.02.040 W004.25.41.485
N055.52.02.128 W004.25.41.117
N055.52.05.364 W004.25.42.595
N055.52.05.309 W004.25.42.973
N055.52.05.728 W004.25.43.163
N055.52.05.473 W004.25.44.730
N055.52.03.904 W004.25.45.020
N055.52.03.722 W004.25.45.223
N055.52.03.604 W004.25.45.427
N055.52.03.522 W004.25.45.740
N055.52.03.559 W004.25.46.071
N055.52.03.663 W004.25.46.365
N055.52.03.865 W004.25.46.557
N055.52.04.196 W004.25.46.738
N055.52.04.688 W004.25.46.928
N055.52.05.209 W004.25.46.969
N055.52.05.525 W004.25.46.948
N055.52.05.762 W004.25.46.900
N055.52.06.016 W004.25.46.816
N055.52.06.274 W004.25.46.639
N055.52.06.748 W004.25.46.211
N055.52.11.215 W004.25.42.332
N055.52.11.912 W004.25.41.676
N055.52.13.331 W004.25.40.848
N055.52.13.392 W004.25.40.105
N055.52.12.605 W004.25.35.135
N055.52.12.558 W004.25.34.940
N055.52.12.453 W004.25.34.960
N055.52.12.339 W004.25.35.007
N055.52.11.751 W004.25.35.465
N055.52.10.916 W004.25.31.407
N055.52.12.866 W004.25.30.017
N055.52.13.101 W004.25.31.015
N055.52.14.028 W004.25.30.396
N055.52.14.126 W004.25.30.857
N055.52.14.490 W004.25.30.603
N055.52.14.764 W004.25.31.883
N055.52.15.318 W004.25.31.551
N055.52.15.064 W004.25.30.252
N055.52.15.705 W004.25.29.847
N055.52.16.341 W004.25.32.989
N055.52.15.690 W004.25.33.422
N055.52.15.416 W004.25.32.086
N055.52.14.904 W004.25.32.427
N055.52.15.151 W004.25.33.767
N055.52.13.130 W004.25.35.099
N055.52.13.244 W004.25.35.682
N055.52.15.259 W004.25.34.404
N055.52.15.804 W004.25.37.059
N055.52.14.072 W004.25.38.167
N055.52.13.760 W004.25.36.576
N055.52.13.696 W004.25.36.604
N055.52.13.671 W004.25.36.467
N055.52.13.448 W004.25.36.581
N055.52.13.434 W004.25.37.817
N055.52.13.767 W004.25.39.849
N055.52.13.985 W004.25.40.424
N055.52.19.989 W004.25.36.324
N055.52.20.006 W004.25.36.051
N055.52.19.991 W004.25.35.691
N055.52.19.966 W004.25.35.486
N055.52.19.758 W004.25.34.436
N055.52.19.635 W004.25.34.070
N055.52.19.481 W004.25.33.730
N055.52.19.261 W004.25.33.701
N055.52.19.108 W004.25.33.733
N055.52.18.109 W004.25.34.313
N055.52.17.477 W004.25.31.105
N055.52.21.960 W004.25.28.388
N055.52.22.580 W004.25.31.494
N055.52.20.317 W004.25.32.993
N055.52.20.335 W004.25.33.081
N055.52.20.179 W004.25.33.370
N055.52.20.175 W004.25.33.650
N055.52.20.194 W004.25.34.034
N055.52.20.417 W004.25.35.160
N055.52.20.517 W004.25.35.471
N055.52.20.616 W004.25.35.694
N055.52.20.711 W004.25.35.854
N055.52.23.715 W004.25.33.895
N055.52.24.760 W004.25.33.148
N055.52.25.271 W004.25.32.712
N055.52.25.576 W004.25.32.373
N055.52.25.881 W004.25.31.929
N055.52.26.465 W004.25.31.019
N055.52.26.912 W004.25.30.249
N055.52.27.418 W004.25.29.363
N055.52.27.780 W004.25.28.710
N055.52.27.864 W004.25.28.518
N055.52.27.850 W004.25.28.251
N055.52.27.228 W004.25.27.130
N055.52.26.837 W004.25.26.913
N055.52.26.570 W004.25.26.694
N055.52.26.172 W004.25.26.582
N055.52.25.708 W004.25.25.808
N055.52.26.718 W004.25.23.884
N055.52.27.235 W004.25.24.785
N055.52.27.250 W004.25.25.424
N055.52.27.409 W004.25.26.293
N055.52.28.135 W004.25.27.575
N055.52.28.265 W004.25.27.609
N055.52.28.395 W004.25.27.526
N055.52.28.518 W004.25.27.340
N055.52.31.302 W004.25.22.091
N055.52.34.633 W004.25.15.941
N055.52.38.270 W004.25.09.191
