;Apron Outline
N055.51.57.300 W004.25.49.934
N055.51.54.200 W004.25.52.932
N055.51.53.757 W004.25.55.769
N055.51.54.281 W004.25.56.071
N055.51.54.009 W004.25.57.790
N055.51.54.301 W004.25.58.267
N055.51.58.259 W004.26.00.322
N055.51.59.015 W004.26.00.755
N055.51.58.971 W004.26.01.048
N055.51.59.914 W004.26.01.520
N055.52.00.294 W004.26.01.157
N055.52.00.241 W004.26.00.984
N055.52.00.889 W004.26.00.353
N055.52.01.010 W004.26.00.712
N055.52.01.241 W004.26.00.470
N055.52.00.660 W004.26.04.096
N055.52.00.185 W004.26.02.463
N055.52.00.066 W004.26.02.610
N055.51.59.840 W004.26.01.893
N055.51.59.204 W004.26.01.579
N055.51.59.130 W004.26.01.899
N055.51.57.698 W004.26.01.155
N055.51.57.632 W004.26.01.554
N055.51.53.728 W004.25.59.528
N055.51.53.691 W004.25.59.742
N055.51.53.347 W004.25.59.585
N055.51.53.038 W004.26.01.451
N055.51.52.716 W004.26.01.267
N055.51.52.076 W004.26.05.090
N055.51.51.844 W004.26.05.012
N055.51.50.936 W004.26.10.650
N055.51.57.320 W004.26.16.742
N055.51.57.090 W004.26.17.503
N055.51.50.156 W004.26.10.886
; - South_West_Hangar
REGIONNAME Glasgow 
terminal N055.51.48.158 W004.26.29.613
N055.51.48.816 W004.26.27.438
N055.51.50.438 W004.26.28.954
N055.51.49.776 W004.26.31.185
; - BA_Hangar
REGIONNAME Glasgow 
terminal N055.52.02.272 W004.25.40.887
N055.52.02.190 W004.25.41.424
N055.52.01.247 W004.25.40.915
N055.52.01.894 W004.25.36.939
N055.52.04.024 W004.25.38.066
N055.52.03.914 W004.25.38.752
N055.52.05.610 W004.25.39.612
N055.52.05.189 W004.25.42.322
; - Cargo_1
REGIONNAME Glasgow 
terminal N055.51.58.415 W004.25.38.596
N055.51.58.704 W004.25.36.914
N055.52.00.678 W004.25.37.932
N055.52.00.395 W004.25.39.645
; - Cargo_2
REGIONNAME Glasgow 
terminal N055.51.55.778 W004.25.37.940
N055.51.55.738 W004.25.38.237
N055.51.54.605 W004.25.37.765
N055.51.54.627 W004.25.37.468
N055.51.52.211 W004.25.36.428
N055.51.52.493 W004.25.34.439
N055.51.56.050 W004.25.35.952
N055.51.55.904 W004.25.36.947
N055.51.56.905 W004.25.37.369
N055.51.56.956 W004.25.36.979
N055.51.57.353 W004.25.37.150
N055.51.57.561 W004.25.35.519
N055.51.57.429 W004.25.35.449
N055.51.57.536 W004.25.34.628
N055.51.58.064 W004.25.34.866
N055.51.57.550 W004.25.38.724
; - Fire_Station
REGIONNAME Glasgow 
terminal N055.52.08.991 W004.25.41.458
N055.52.08.351 W004.25.38.971
N055.52.09.579 W004.25.37.922
N055.52.09.898 W004.25.39.139
N055.52.10.022 W004.25.39.021
N055.52.10.064 W004.25.39.169
N055.52.10.355 W004.25.38.912
N055.52.10.400 W004.25.39.017
N055.52.12.014 W004.25.37.637
N055.52.12.284 W004.25.38.621
; - Gama_Hangars
REGIONNAME Glasgow 
terminal N055.52.18.009 W004.25.30.965
N055.52.17.533 W004.25.28.636
N055.52.20.992 W004.25.26.411
N055.52.21.486 W004.25.28.800
; - ATC
REGIONNAME Glasgow 
terminal N055.52.09.338 W004.25.50.014
N055.52.10.517 W004.25.49.006
N055.52.10.658 W004.25.49.540
N055.52.11.191 W004.25.49.059
N055.52.11.089 W004.25.48.644
N055.52.11.382 W004.25.48.333
N055.52.11.726 W004.25.49.543
N055.52.09.716 W004.25.51.391
