Glasgow N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
N055.52.26.173 W004.26.03.376 N055.52.25.918 W004.26.03.415 Teal
N055.52.25.918 W004.26.03.415 N055.52.25.720 W004.26.03.664 Teal
N055.52.25.720 W004.26.03.664 N055.52.25.561 W004.26.03.667 Teal
N055.52.25.561 W004.26.03.667 N055.52.24.535 W004.26.11.101 Teal
N055.52.24.535 W004.26.11.101 N055.52.25.007 W004.26.11.440 Teal
N055.52.25.007 W004.26.11.440 N055.52.24.254 W004.26.17.747 Teal
N055.52.24.254 W004.26.17.747 N055.52.24.038 W004.26.18.035 Teal
N055.52.24.038 W004.26.18.035 N055.52.22.836 W004.26.18.550 Teal
N055.52.22.836 W004.26.18.550 N055.52.21.731 W004.26.17.981 Teal
N055.52.21.731 W004.26.17.981 N055.52.21.788 W004.26.17.596 Teal
N055.52.21.788 W004.26.17.596 N055.52.21.000 W004.26.17.020 Teal
N055.52.21.000 W004.26.17.020 N055.52.20.626 W004.26.16.714 Teal;
N055.52.20.626 W004.26.16.714 N055.52.20.338 W004.26.00.190 Olive
N055.52.20.338 W004.26.00.190 N055.52.39.976 W004.25.23.495 Olive
N055.52.39.976 W004.25.23.495 N055.52.40.213 W004.25.23.628 Teal
N055.52.40.213 W004.25.23.628 N055.52.41.768 W004.25.26.285 Teal
N055.52.41.768 W004.25.26.285 N055.52.42.182 W004.25.25.435 Teal
N055.52.42.182 W004.25.25.435 N055.52.40.490 W004.25.22.436 Teal
N055.52.40.490 W004.25.22.436 N055.52.48.857 W004.25.06.935 Olive
N055.52.48.857 W004.25.06.935 N055.52.47.222 W004.25.04.105 Olive
N055.52.47.222 W004.25.04.105 N055.52.45.109 W004.25.08.000 Olive
;SE taxiway A
N055.52.45.109 W004.25.08.000 N055.52.44.382 W004.25.06.794 Teal
N055.52.44.382 W004.25.06.794 N055.52.43.748 W004.25.06.247 Teal
N055.52.43.748 W004.25.06.247 N055.52.42.920 W004.25.05.988 Teal
N055.52.42.920 W004.25.05.988 N055.52.41.995 W004.25.06.078 Teal
N055.52.42.920 W004.25.05.988 N055.52.41.995 W004.25.06.078 Teal
N055.52.41.995 W004.25.06.078 N055.52.41.048 W004.25.06.520 Teal
N055.52.41.048 W004.25.06.520 N055.52.40.044 W004.25.07.277 Teal
N055.52.40.044 W004.25.07.277 N055.52.39.212 W004.25.08.274 Teal
N055.52.39.212 W004.25.08.274 N055.52.38.600 W004.25.09.232 Teal
N055.52.38.600 W004.25.09.232 N055.52.34.892 W004.25.16.378 Teal
N055.52.34.892 W004.25.16.378 N055.52.34.439 W004.25.15.722 Teal
N055.52.34.439 W004.25.15.722 N055.52.30.986 W004.25.21.115 Teal
N055.52.30.986 W004.25.21.115 N055.52.31.488 W004.25.22.465 Teal
N055.52.31.488 W004.25.22.465 N055.52.27.707 W004.25.29.788 Teal
N055.52.27.707 W004.25.29.788 N055.52.26.879 W004.25.31.170 Teal
N055.52.26.879 W004.25.31.170 N055.52.25.910 W004.25.32.452 Teal
N055.52.25.910 W004.25.32.452 N055.52.24.964 W004.25.33.416 Teal
N055.52.24.964 W004.25.33.416 N055.52.23.664 W004.25.34.424 Teal
N055.52.23.664 W004.25.34.424 N055.52.14.333 W004.25.40.476 Teal
N055.52.14.333 W004.25.40.476 N055.52.13.861 W004.25.39.997 Teal
N055.52.13.861 W004.25.39.997 N055.52.13.465 W004.25.37.873 Teal
N055.52.13.465 W004.25.37.873 N055.52.13.606 W004.25.36.858 Teal
N055.52.13.606 W004.25.36.858 N055.52.13.861 W004.25.37.027 Teal
N055.52.13.861 W004.25.37.027 N055.52.14.156 W004.25.38.348 Teal
N055.52.14.156 W004.25.38.348 N055.52.15.913 W004.25.37.117 Teal
N055.52.15.913 W004.25.37.117 N055.52.15.323 W004.25.34.547 Teal
N055.52.15.323 W004.25.34.547 N055.52.13.350 W004.25.35.746 Teal
N055.52.13.350 W004.25.35.746 N055.52.13.174 W004.25.35.083 Teal
N055.52.13.174 W004.25.35.083 N055.52.13.429 W004.25.34.694 Teal
N055.52.13.429 W004.25.34.694 N055.52.13.588 W004.25.34.165 Teal
N055.52.13.588 W004.25.34.165 N055.52.13.667 W004.25.33.712 Teal
N055.52.13.667 W004.25.33.712 N055.52.15.107 W004.25.32.837 Teal
N055.52.15.107 W004.25.32.837 N055.52.15.046 W004.25.32.596 Teal
N055.52.15.046 W004.25.32.596 N055.52.15.578 W004.25.32.268 Teal
N055.52.15.578 W004.25.32.268 N055.52.15.856 W004.25.33.449 Teal
N055.52.15.856 W004.25.33.449 N055.52.16.446 W004.25.33.089 Teal
N055.52.16.446 W004.25.33.089 N055.52.15.798 W004.25.29.852 Teal
N055.52.15.798 W004.25.29.852 N055.52.15.226 W004.25.30.216 Teal
N055.52.15.226 W004.25.30.216 N055.52.15.402 W004.25.31.328 Teal
N055.52.15.402 W004.25.31.328 N055.52.14.891 W004.25.31.760 Teal
N055.52.14.891 W004.25.31.760 N055.52.14.830 W004.25.31.483 Teal
N055.52.14.830 W004.25.31.483 N055.52.13.469 W004.25.32.318 Teal
N055.52.13.469 W004.25.32.318 N055.52.13.213 W004.25.31.904 Teal
N055.52.13.213 W004.25.31.904 N055.52.12.857 W004.25.31.703 Teal
N055.52.12.857 W004.25.31.703 N055.52.12.443 W004.25.31.746 Teal
N055.52.12.443 W004.25.31.746 N055.52.12.108 W004.25.31.998 Teal
N055.52.12.108 W004.25.31.998 N055.52.11.852 W004.25.32.495 Teal
N055.52.11.852 W004.25.32.495 N055.52.11.716 W004.25.33.125 Teal
N055.52.11.716 W004.25.33.125 N055.52.11.734 W004.25.33.895 Teal
N055.52.11.734 W004.25.33.895 N055.52.11.950 W004.25.34.658 Teal
N055.52.11.950 W004.25.34.658 N055.52.12.266 W004.25.35.069 Teal
N055.52.12.266 W004.25.35.069 N055.52.12.580 W004.25.35.238 Teal
N055.52.12.580 W004.25.35.238 N055.52.13.386 W004.25.39.972 Teal
N055.52.13.386 W004.25.39.972 N055.52.13.307 W004.25.40.955 Teal
N055.52.13.307 W004.25.40.955 N055.52.13.012 W004.25.40.228 Teal
N055.52.13.012 W004.25.40.228 N055.52.12.245 W004.25.35.803 Teal;
N055.52.12.245 W004.25.35.803 N055.52.10.826 W004.25.34.684 Teal
N055.52.10.826 W004.25.34.684 N055.52.10.589 W004.25.34.234 Teal
N055.52.10.589 W004.25.34.234 N055.52.09.901 W004.25.31.735 Teal
N055.52.09.901 W004.25.31.735 N055.52.08.580 W004.25.32.743 Teal
N055.52.08.580 W004.25.32.743 N055.52.06.924 W004.25.33.028 Teal
N055.52.06.924 W004.25.33.028 N055.52.07.810 W004.25.36.955 Teal
N055.52.07.810 W004.25.36.955 N055.52.07.748 W004.25.37.412 Teal
N055.52.07.748 W004.25.37.412 N055.52.07.511 W004.25.37.661 Teal
N055.52.07.511 W004.25.37.661 N055.52.07.057 W004.25.37.672 Teal
N055.52.07.057 W004.25.37.672 N055.52.07.057 W004.25.38.161 Teal
N055.52.07.057 W004.25.38.161 N055.52.07.532 W004.25.38.186 Teal
N055.52.07.532 W004.25.38.186 N055.52.07.925 W004.25.38.525 Teal
N055.52.07.925 W004.25.38.525 N055.52.08.753 W004.25.41.092 Teal
N055.52.08.753 W004.25.41.092 N055.52.08.771 W004.25.44.692 Teal
N055.52.08.771 W004.25.44.692 N055.52.06.661 W004.25.46.524 Teal
N055.52.06.661 W004.25.46.524 N055.52.05.812 W004.25.47.100 Teal
N055.52.05.812 W004.25.47.100 N055.52.05.340 W004.25.47.323 Teal
N055.52.05.340 W004.25.47.323 N055.52.04.825 W004.25.47.298 Teal
N055.52.04.825 W004.25.47.298 N055.52.03.662 W004.25.46.697 Teal
;G apron side
N055.52.03.662 W004.25.46.697 N055.51.56.113 W004.25.42.769 Teal
N055.51.56.113 W004.25.42.769 N055.51.54.814 W004.25.43.457 Teal
N055.51.54.814 W004.25.43.457 N055.51.54.328 W004.25.44.494 Teal
N055.51.54.328 W004.25.44.494 N055.51.54.558 W004.25.46.873 Teal
N055.51.54.558 W004.25.46.873 N055.51.57.204 W004.25.46.085 Teal
N055.51.57.204 W004.25.46.085 N055.52.04.300 W004.25.49.523 Teal
N055.52.04.300 W004.25.49.523 N055.52.04.580 W004.25.49.969 Teal
N055.52.04.580 W004.25.49.969 N055.52.04.631 W004.25.50.912 Teal
N055.52.04.631 W004.25.50.912 N055.52.03.814 W004.25.55.729 Teal
N055.52.03.814 W004.25.55.729 N055.52.03.608 W004.25.56.226 Teal
N055.52.03.608 W004.25.56.226 N055.52.03.126 W004.25.56.276 Teal
N055.52.03.126 W004.25.56.276 N055.51.55.980 W004.25.52.612 Teal
N055.51.55.980 W004.25.52.612 N055.51.55.649 W004.25.52.662 Teal
N055.51.55.649 W004.25.52.662 N055.51.54.324 W004.25.54.203 Teal
N055.51.54.324 W004.25.54.203 N055.51.54.119 W004.25.55.373 Teal
N055.51.54.119 W004.25.55.373 N055.52.02.615 W004.25.59.786 Teal
N055.52.02.615 W004.25.59.786 N055.52.02.820 W004.26.00.190 Teal
N055.52.02.820 W004.26.00.190 N055.52.02.946 W004.26.00.816 Teal
N055.52.02.946 W004.26.00.816 N055.52.01.974 W004.26.06.533 Teal
N055.52.01.974 W004.26.06.533 N055.52.01.772 W004.26.06.983 Teal
N055.52.01.772 W004.26.06.983 N055.52.01.391 W004.26.07.076 Teal
N055.52.01.391 W004.26.07.076 N055.51.52.970 W004.26.02.796 Teal
N055.51.52.970 W004.26.02.796 N055.51.52.024 W004.26.08.290 Teal
N055.51.52.024 W004.26.08.290 N055.52.01.031 W004.26.13.013 Teal
N055.52.01.031 W004.26.13.013 N055.52.00.901 W004.26.14.183 Teal
N055.52.00.901 W004.26.14.183 N055.51.56.009 W004.26.22.859 Teal
N055.51.56.009 W004.26.22.859 N055.51.50.821 W004.26.17.963 Teal
N055.51.50.821 W004.26.17.963 N055.51.50.314 W004.26.19.270 Teal
N055.51.50.314 W004.26.19.270 N055.51.49.828 W004.26.18.960 Teal
N055.51.49.828 W004.26.18.960 N055.51.49.396 W004.26.20.584 Teal
N055.51.49.396 W004.26.20.584 N055.51.54.914 W004.26.25.742 Teal
N055.51.54.914 W004.26.25.742 N055.51.54.986 W004.26.27.960 Teal
;Fire Station
