Glasgow N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
N055.52.36.469 W004.25.14.772 N055.52.39.014 W004.25.09.955 Teal
N055.52.39.014 W004.25.09.955 N055.52.39.616 W004.25.09.127 Teal
N055.52.39.616 W004.25.09.127 N055.52.40.429 W004.25.08.170 Teal
N055.52.40.429 W004.25.08.170 N055.52.41.239 W004.25.07.525 Teal
N055.52.41.239 W004.25.07.525 N055.52.42.089 W004.25.07.190 Teal
N055.52.42.089 W004.25.07.190 N055.52.42.935 W004.25.07.046 Teal
N055.52.42.935 W004.25.07.046 N055.52.43.572 W004.25.07.345 Teal
N055.52.43.572 W004.25.07.345 N055.52.44.033 W004.25.07.900 Teal
N055.52.44.033 W004.25.07.900 N055.52.44.278 W004.25.08.770 Teal
N055.52.44.278 W004.25.08.770 N055.52.44.350 W004.25.09.394 Teal
N055.52.44.350 W004.25.09.394 N055.52.39.011 W004.25.19.409 Olive
;Island between rwy 28 & taxiway B
N055.52.20.240 W004.25.39.061 N055.52.20.489 W004.25.38.180 Teal
N055.52.20.489 W004.25.38.180 N055.52.21.018 W004.25.37.290 Teal
N055.52.21.018 W004.25.37.290 N055.52.24.978 W004.25.34.633 Teal
N055.52.24.978 W004.25.34.633 N055.52.26.497 W004.25.33.596 Teal
N055.52.26.497 W004.25.33.596 N055.52.28.546 W004.25.31.796 Teal
N055.52.28.546 W004.25.31.796 N055.52.29.856 W004.25.30.202 Teal
N055.52.29.856 W004.25.30.202 N055.52.30.065 W004.25.29.885 Teal
N055.52.30.065 W004.25.29.885 N055.52.30.702 W004.25.28.866 Teal
N055.52.30.702 W004.25.28.866 N055.52.36.714 W004.25.19.150 Teal
N055.52.36.714 W004.25.19.150 N055.52.37.700 W004.25.19.502 Teal
N055.52.37.700 W004.25.19.502 N055.52.38.266 W004.25.20.554 Teal
N055.52.38.266 W004.25.20.554 N055.52.20.305 W004.25.54.214 Olive
N055.52.20.305 W004.25.54.214 N055.52.20.240 W004.25.39.061 Olive
;
N055.52.36.714 W004.25.19.150 N055.52.35.335 W004.25.18.743 Teal
N055.52.35.335 W004.25.18.743 N055.52.34.842 W004.25.19.006 Teal
N055.52.34.842 W004.25.19.006 N055.52.32.614 W004.25.22.937 Teal
N055.52.32.614 W004.25.22.937 N055.52.31.836 W004.25.23.642 Teal
N055.52.31.836 W004.25.23.642 N055.52.27.768 W004.25.31.501 Teal
N055.52.27.768 W004.25.31.501 N055.52.28.333 W004.25.30.925 Teal
N055.52.28.333 W004.25.30.925 N055.52.30.385 W004.25.28.060 Teal
N055.52.30.385 W004.25.28.060 N055.52.31.728 W004.25.25.900 Teal
N055.52.31.728 W004.25.25.900 N055.52.31.976 W004.25.24.830 Teal
N055.52.31.976 W004.25.24.830 N055.52.31.836 W004.25.23.642 Teal
;
N055.52.32.614 W004.25.22.937 N055.52.32.578 W004.25.23.628 Teal
N055.52.32.578 W004.25.23.628 N055.52.32.754 W004.25.23.999 Teal
N055.52.32.754 W004.25.23.999 N055.52.33.107 W004.25.23.678 Teal
N055.52.33.107 W004.25.23.678 N055.52.35.584 W004.25.19.427 Teal
N055.52.35.584 W004.25.19.427 N055.52.35.335 W004.25.18.743 Teal
;
N55.51.53.459 W04.25.49.688 N55.51.54.326 W04.25.44.487 Teal
;Estension to K (61 - 65 stands)
N055.51.54.326 W004.25.44.487 N055.51.53.330 W004.25.40.686 Teal
N055.51.53.330 W004.25.40.686 N055.51.53.424 W004.25.40.350 Teal
N055.51.53.424 W004.25.40.350 N055.51.53.673 W004.25.39.977 Teal
N055.51.53.673 W004.25.39.977 N055.51.54.010 W004.25.39.717 Teal
N055.51.54.010 W004.25.39.717 N055.51.56.666 W004.25.38.546 Teal
N055.51.56.666 W004.25.38.546 N055.51.56.960 W004.25.38.494 Teal
N055.51.56.960 W004.25.38.494 N055.51.57.487 W004.25.38.584 Teal
N055.51.57.487 W004.25.38.584 N055.52.03.229 W004.25.41.977 Teal
N055.52.03.229 W004.25.41.977 N055.52.03.327 W004.25.42.202 Teal
N055.52.03.327 W004.25.42.202 N055.52.03.374 W004.25.42.440 Teal
N055.52.03.374 W004.25.42.440 N055.52.03.352 W04.25.42.692 Teal
N055.52.03.352 W004.25.42.692 N055.52.02.616 W004.25.45.828 Teal
N055.52.02.616 W004.25.45.828 N055.52.02.611 W004.25.45.999 Teal
N055.52.02.611 W004.25.45.999 N055.52.02.676 W004.25.46.170 Teal
