;Perimeter
REGIONNAME Retford Gamston
smrGPGrass N053.16.21.370 W000.57.16.492
N053.16.56.843 W000.58.00.299
N053.16.57.039 W000.58.00.477
N053.16.57.243 W000.58.00.535
N053.16.57.444 W000.58.00.490
N053.16.57.688 W000.58.00.248
N053.16.57.912 W000.57.59.815
N053.16.58.130 W000.57.59.174
N053.16.58.272 W000.57.58.477
N053.16.58.337 W000.57.57.752
N053.16.58.469 W000.57.46.738
N053.16.57.251 W000.57.46.730
N053.16.57.103 W000.57.46.750
N053.16.57.018 W000.57.46.904
N053.16.56.961 W000.57.47.001
N053.16.56.873 W000.57.47.126
N053.16.56.775 W000.57.47.240
N053.16.56.662 W000.57.47.301
N053.16.56.502 W000.57.47.302
N053.16.56.337 W000.57.47.273
N053.16.56.221 W000.57.47.164
N053.16.56.108 W000.57.47.005
N053.16.56.018 W000.57.46.856
N053.16.55.966 W000.57.46.693
N053.16.55.948 W000.57.46.444
N053.16.55.945 W000.57.46.127
N053.16.55.990 W000.57.45.876
N053.16.56.072 W000.57.45.631
N053.16.56.195 W000.57.45.429
N053.16.56.356 W000.57.45.302
N053.16.56.556 W000.57.45.256
N053.16.56.786 W000.57.45.353
N053.16.56.983 W000.57.45.553
N053.16.57.133 W000.57.45.911
N053.16.58.487 W000.57.45.953
N053.16.58.571 W000.57.37.767
N053.16.57.209 W000.57.37.645
N053.16.57.001 W000.57.37.820
N053.16.56.720 W000.57.38.081
N053.16.56.436 W000.57.38.183
N053.16.56.228 W000.57.38.117
N053.16.56.027 W000.57.37.972
N053.16.55.825 W000.57.37.690
N053.16.55.728 W000.57.37.316
N053.16.55.724 W000.57.36.925
N053.16.55.771 W000.57.36.612
N053.16.55.871 W000.57.36.337
N053.16.56.040 W000.57.36.086
N053.16.56.235 W000.57.35.851
N053.16.56.465 W000.57.35.844
N053.16.56.727 W000.57.35.962
N053.16.56.899 W000.57.36.258
N053.16.57.022 W000.57.36.522
N053.16.57.307 W000.57.36.696
N053.16.58.618 W000.57.36.771
N053.16.58.944 W000.57.20.805
N053.16.58.670 W000.57.20.799
N053.16.58.610 W000.57.20.059
N053.16.58.520 W000.57.19.720
N053.16.58.345 W000.57.19.407
