;Airfield Boundary
REGIONNAME Leeming
N054.17.45.377 W001.32.29.180
N054.17.44.983 W001.32.30.978
N054.17.44.883 W001.32.31.247
N054.17.44.475 W001.32.31.818
N054.17.44.273 W001.32.32.337
N054.17.44.296 W001.32.33.033
N054.17.44.448 W001.32.33.416
N054.17.44.768 W001.32.33.615
N054.17.45.044 W001.32.33.519
N054.17.45.256 W001.32.33.173
N054.17.45.383 W001.32.32.837
N054.17.45.383 W001.32.32.364
N054.17.45.361 W001.32.31.753
N054.17.45.363 W001.32.31.546
N054.17.45.948 W001.32.29.648
N054.17.46.454 W001.32.29.875
N054.17.59.534 W001.32.39.968
N054.18.00.705 W001.32.40.775
N054.18.01.721 W001.32.41.020
N054.18.02.620 W001.32.40.822
N054.18.03.371 W001.32.40.500
N054.18.03.901 W001.32.40.127
N054.18.04.366 W001.32.39.704
N054.18.04.827 W001.32.39.122
N054.18.05.195 W001.32.38.538
N054.18.05.506 W001.32.37.889
N054.18.05.725 W001.32.37.340
N054.18.05.949 W001.32.36.693
N054.18.06.143 W001.32.36.085
N054.18.06.312 W001.32.35.432
N054.18.06.555 W001.32.34.550
N054.18.05.452 W001.32.33.697
N054.18.05.579 W001.32.33.961
N054.18.05.679 W001.32.34.263
N054.18.05.742 W001.32.34.631
N054.18.05.719 W001.32.35.054
N054.18.05.575 W001.32.35.613
N054.18.05.323 W001.32.36.408
N054.18.04.930 W001.32.37.447
N054.18.04.568 W001.32.38.050
N054.18.04.192 W001.32.38.595
N054.18.03.805 W001.32.39.004
N054.18.03.411 W001.32.39.335
N054.18.03.058 W001.32.39.555
N054.18.02.611 W001.32.39.781
N054.18.02.108 W001.32.39.855
N054.18.01.600 W001.32.39.872
N054.18.01.213 W001.32.39.810
N054.18.00.648 W001.32.39.576
N054.18.00.016 W001.32.39.199
N054.17.59.503 W001.32.38.845
N054.17.44.367 W001.32.27.169
N054.17.50.068 W001.32.21.847
N054.17.48.382 W001.32.20.569
N054.17.42.881 W001.32.25.669
N054.17.41.811 W001.32.25.177
N054.17.34.155 W001.32.19.267
N054.17.34.183 W001.32.19.120
N054.17.34.053 W001.32.18.942
N054.17.33.912 W001.32.18.754
N054.17.33.821 W001.32.18.405
N054.17.33.790 W001.32.18.028
N054.17.33.746 W001.32.17.621
N054.17.33.766 W001.32.17.495
N054.17.33.848 W001.32.17.199
N054.17.35.866 W001.32.12.251
N054.17.35.981 W001.32.11.980
N054.17.36.139 W001.32.11.735
N054.17.36.377 W001.32.11.471
N054.17.36.524 W001.32.11.443
N054.17.35.039 W001.32.10.308
N054.17.35.158 W001.32.10.633
N054.17.35.309 W001.32.11.197
N054.17.35.323 W001.32.11.763
N054.17.35.280 W001.32.12.139
N054.17.35.240 W001.32.12.357
N054.17.34.118 W001.32.15.098
N054.17.33.917 W001.32.15.121
N054.17.33.532 W001.32.16.089
N054.17.33.551 W001.32.16.390
N054.17.33.331 W001.32.17.046
N054.17.32.841 W001.32.17.751
N054.17.32.595 W001.32.17.800
N054.17.32.230 W001.32.17.773
N054.16.59.995 W001.31.53.055
N054.16.59.560 W001.31.52.640
N054.16.58.968 W001.31.51.760
N054.16.58.653 W001.31.51.015
N054.16.58.419 W001.31.50.197
N054.16.58.271 W001.31.49.290
N054.16.58.208 W001.31.48.179
N054.16.58.323 W001.31.47.295
N054.16.58.548 W001.31.46.439
N054.16.58.790 W001.31.45.894
N054.16.59.034 W001.31.45.584
N054.16.59.444 W001.31.45.476
N054.16.59.696 W001.31.45.529

;West_taxi_Grass
REGIONNAME Leeming
smrMilGrass N054.17.19.769 W001.32.09.303
N054.17.19.509 W001.32.09.885
N054.17.24.029 W001.32.16.013
N054.17.24.829 W001.32.16.915
N054.17.25.833 W001.32.17.585
N054.17.26.539 W001.32.17.874
N054.17.30.944 W001.32.18.786
N054.17.31.363 W001.32.18.731
N054.17.31.451 W001.32.18.465
N054.17.31.396 W001.32.18.273

;East_Taxi
REGIONNAME Leeming
smrTaxiwayDarker N054.16.59.554 W001.31.40.183
N054.17.00.460 W001.31.36.641
N054.17.00.947 W001.31.35.394
N054.17.01.495 W001.31.34.482
N054.17.02.311 W001.31.33.663
N054.17.03.057 W001.31.33.275
N054.17.03.757 W001.31.33.278
N054.17.04.373 W001.31.33.415
N054.17.05.035 W001.31.33.768
N054.17.31.508 W001.31.54.161
N054.17.32.247 W001.31.54.859
N054.17.32.901 W001.31.55.521
N054.17.33.624 W001.31.56.428
N054.17.34.793 W001.31.58.121
N054.17.35.342 W001.31.58.756
N054.17.35.515 W001.31.58.841
N054.17.36.470 W001.31.58.893
N054.17.36.590 W001.31.58.700
N054.17.36.617 W001.31.58.169
N054.17.42.910 W001.31.58.289
N054.17.42.894 W001.31.56.391
N054.17.43.279 W001.31.56.418
N054.17.43.293 W001.31.56.849
N054.17.43.453 W001.31.57.352
N054.17.43.729 W001.31.57.675
N054.17.44.210 W001.31.57.654
N054.17.45.883 W001.31.55.226
N054.17.47.426 W001.31.52.673
N054.17.48.301 W001.31.51.042
N054.17.49.007 W001.31.49.501
N054.17.49.338 W001.31.48.769
N054.17.49.354 W001.31.48.493
N054.17.49.875 W001.31.47.249
N054.17.49.875 W001.31.36.821
N054.17.50.470 W001.31.36.796
N054.17.50.521 W001.31.37.485
N054.17.51.085 W001.31.38.996
N054.17.51.277 W001.31.39.306
N054.17.51.587 W001.31.39.496
N054.17.52.076 W001.31.39.506
N054.17.52.412 W001.31.39.187
N054.17.53.425 W001.31.35.884
N054.17.51.124 W001.31.25.893
N054.17.52.492 W001.31.24.916
N054.17.53.574 W001.31.24.601
N054.17.56.662 W001.31.21.273
N054.17.57.360 W001.31.20.960
N054.17.57.587 W001.31.20.468
N054.17.57.614 W001.31.19.663
N054.17.56.978 W001.31.18.526
N054.17.56.817 W001.31.18.725
N054.17.56.693 W001.31.18.836
N054.17.56.482 W001.31.18.710
N054.17.56.303 W001.31.18.813
N054.17.56.116 W001.31.18.715
N054.17.55.987 W001.31.18.402
N054.17.55.823 W001.31.18.347
N054.17.55.899 W001.31.17.760
N054.17.55.303 W001.31.17.419
N054.17.55.604 W001.31.16.136
N054.17.58.196 W001.31.17.697
N054.17.58.385 W001.31.18.349
N054.17.58.268 W001.31.19.131
N054.17.57.986 W001.31.19.667
N054.17.57.983 W001.31.20.369
N054.17.58.216 W001.31.20.995
N054.17.58.659 W001.31.21.173
N054.17.59.136 W001.31.21.619
N054.17.59.531 W001.31.22.188
N054.17.59.881 W001.31.22.289
N054.18.00.237 W001.31.21.871
N054.18.00.134 W001.31.20.852
N054.17.59.774 W001.31.20.829
N054.17.59.238 W001.31.19.602
N054.17.59.488 W001.31.19.123
N054.17.59.128 W001.31.18.272
N054.17.59.824 W001.31.17.486
N054.18.01.397 W001.31.21.337
N054.18.01.368 W001.31.22.152
N054.18.01.027 W001.31.22.485
N054.18.00.456 W001.31.22.449
N054.18.00.116 W001.31.22.887
N054.17.59.977 W001.31.23.426
N054.18.00.086 W001.31.23.874
N054.18.00.140 W001.31.24.454
N054.18.00.167 W001.31.25.248
N054.18.00.383 W001.31.25.789
N054.18.00.520 W001.31.25.832
N054.18.01.415 W001.31.25.231
N054.18.01.667 W001.31.24.246
N054.18.01.868 W001.31.24.138
N054.18.01.955 W001.31.23.845
N054.18.02.162 W001.31.23.706
N054.18.02.310 W001.31.23.824
N054.18.02.525 W001.31.23.721
N054.18.02.675 W001.31.24.232
N054.18.03.183 W001.31.23.933
N054.18.03.452 W001.31.25.240
N054.18.02.143 W001.31.26.110
N054.18.01.926 W001.31.26.460
N054.18.01.647 W001.31.26.980
N054.18.01.187 W001.31.27.293
N054.18.00.846 W001.31.27.185
N054.18.00.656 W001.31.27.041
N054.18.00.449 W001.31.26.474
N054.18.00.299 W001.31.26.398
N054.17.59.970 W001.31.26.718
N054.17.58.919 W001.31.31.703
N054.17.58.870 W001.31.32.352
N054.17.59.139 W001.31.33.018
N054.17.59.475 W001.31.33.582
N054.18.00.157 W001.31.34.180
N054.18.01.031 W001.31.34.496
N054.18.01.203 W001.31.34.578
N054.18.02.606 W001.31.34.722
N054.18.03.171 W001.31.34.875
N054.18.03.985 W001.31.35.427
N054.18.04.582 W001.31.36.009
N054.18.04.900 W001.31.36.337
N054.18.05.355 W001.31.37.049
N054.18.05.719 W001.31.37.685
N054.18.06.042 W001.31.38.654
N054.18.06.466 W001.31.39.896
N054.18.06.473 W001.31.39.896
N054.18.06.758 W001.31.40.065
N054.18.07.053 W001.31.39.100
N054.18.07.822 W001.31.38.667
N054.18.08.069 W001.31.37.641
N054.18.08.919 W001.31.37.231
N054.18.09.078 W001.31.37.835
N054.18.09.608 W001.31.37.466
N054.18.09.861 W001.31.38.913
N054.18.08.519 W001.31.39.595
N054.18.08.257 W001.31.39.928
N054.18.08.005 W001.31.40.425
N054.18.07.392 W001.31.40.809
N054.18.06.973 W001.31.40.656
N054.18.06.858 W001.31.41.194
N054.18.07.847 W001.31.44.312
N054.18.08.152 W001.31.44.539
N054.18.08.577 W001.31.44.185
N054.18.09.063 W001.31.43.033
N054.18.09.502 W001.31.42.888
N054.18.09.884 W001.31.43.344
N054.18.09.958 W001.31.44.663
N054.18.10.457 W001.31.45.303
N054.18.10.603 W001.31.46.857
N054.18.10.245 W001.31.46.949
N054.18.10.311 W001.31.47.917
N054.18.09.465 W001.31.48.130
N054.18.09.302 W001.31.45.665
N054.18.08.753 W001.31.44.809
N054.18.08.365 W001.31.45.109
N054.18.08.292 W001.31.45.708
N054.18.09.736 W001.31.50.430
N054.18.10.022 W001.31.50.623
N054.18.10.507 W001.31.50.199
N054.18.10.618 W001.31.49.807
N054.18.10.782 W001.31.49.310
N054.18.11.182 W001.31.49.110
N054.18.11.980 W001.31.48.970
N054.18.11.971 W001.31.50.009
N054.18.11.662 W001.31.50.127
N054.18.11.615 W001.31.50.508
N054.18.11.393 W001.31.50.805
N054.18.11.146 W001.31.50.952
N054.18.10.701 W001.31.50.801
N054.18.10.218 W001.31.51.233
N054.18.10.139 W001.31.51.763
N054.18.12.060 W001.31.57.865
N054.18.12.208 W001.31.58.106
N054.18.12.214 W001.31.58.117
N054.18.12.422 W001.31.58.251
N054.18.12.565 W001.31.58.258
N054.18.15.628 W001.31.55.321
N054.18.16.373 W001.31.57.478
N054.18.16.845 W001.31.58.870
N054.18.17.163 W001.31.59.172
N054.18.17.509 W001.31.58.848
N054.18.17.643 W001.31.58.150
N054.18.18.276 W001.31.57.420
N054.18.18.389 W001.31.56.370
N054.18.19.188 W001.31.55.472
N054.18.19.343 W001.31.55.914
N054.18.19.899 W001.31.55.478
N054.18.20.302 W001.31.56.715
N054.18.19.122 W001.31.57.905
N054.18.18.739 W001.31.58.992
N054.18.18.183 W001.31.59.647
N054.18.17.755 W001.31.59.489
N054.18.17.415 W001.31.59.723
N054.18.17.233 W001.32.00.179
N054.18.17.511 W001.32.01.268
N054.18.17.751 W001.32.01.716
N054.18.19.015 W001.32.01.558
N054.18.19.396 W001.32.00.883
N054.18.20.182 W001.32.00.901
N054.18.20.630 W001.32.00.173
N054.18.20.877 W001.32.00.203
N054.18.21.020 W001.31.59.965
N054.18.21.153 W001.31.59.950
N054.18.21.321 W001.32.00.149
N054.18.21.573 W001.32.00.178
N054.18.21.573 W001.32.00.740
N054.18.22.123 W001.32.00.786
N054.18.22.184 W001.32.02.150
N054.18.20.694 W001.32.02.126
N054.18.20.080 W001.32.02.593
N054.18.19.369 W001.32.02.639
N054.18.19.043 W001.32.02.187
N054.18.17.840 W001.32.02.301
N054.18.17.557 W001.32.02.767
N054.18.17.496 W001.32.03.351
N054.18.17.373 W001.32.03.972
N054.18.17.318 W001.32.04.403
N054.18.16.901 W001.32.05.397
N054.18.16.655 W001.32.05.893
N054.18.16.378 W001.32.06.196
N054.18.16.072 W001.32.06.474
N054.18.15.769 W001.32.06.720
N054.18.15.489 W001.32.06.971
N054.18.15.359 W001.32.07.194
N054.18.15.264 W001.32.07.553
N054.18.15.224 W001.32.07.832
N054.18.15.326 W001.32.08.374
N054.18.15.464 W001.32.09.187
N054.18.15.643 W001.32.10.136
N054.18.15.675 W001.32.10.767
N054.18.15.667 W001.32.11.660
N054.18.15.657 W001.32.12.279
N054.18.15.817 W001.32.12.862
N054.18.17.617 W001.32.13.646
N054.18.18.084 W001.32.13.685
N054.18.18.654 W001.32.13.580
N054.18.18.825 W001.32.13.342
N054.18.19.157 W001.32.12.724
N054.18.19.519 W001.32.12.321
N054.18.19.481 W001.32.11.822
N054.18.19.996 W001.32.10.574
N054.18.20.289 W001.32.10.939
N054.18.20.632 W001.32.10.124
N054.18.21.317 W001.32.10.999
N054.18.19.567 W001.32.14.638
N054.18.19.166 W001.32.14.711
N054.18.18.789 W001.32.14.212
N054.18.18.425 W001.32.14.341
N054.18.18.000 W001.32.14.369
N054.18.17.507 W001.32.14.253
N054.18.17.057 W001.32.14.032
N054.18.16.998 W001.32.14.105
N054.18.17.335 W001.32.14.839
N054.18.17.984 W001.32.15.107
N054.18.18.417 W001.32.16.301
N054.18.18.962 W001.32.16.545
N054.18.19.385 W001.32.17.794
N054.18.19.072 W001.32.18.215
N054.18.19.387 W001.32.19.098
N054.18.18.653 W001.32.19.739
N054.18.17.992 W001.32.17.574
N054.18.17.416 W001.32.16.926
N054.18.17.112 W001.32.16.021
N054.18.17.064 W001.32.15.387
N054.18.16.256 W001.32.13.741
N054.18.15.805 W001.32.13.496
N054.18.15.440 W001.32.13.807
N054.18.15.189 W001.32.14.776
N054.18.14.773 W001.32.15.981
N054.18.14.223 W001.32.17.155
N054.18.14.040 W001.32.17.682
N054.18.14.050 W001.32.18.235
N054.18.14.152 W001.32.18.376
N054.18.14.730 W001.32.18.401
N054.18.15.295 W001.32.19.300
N054.18.15.873 W001.32.19.299
N054.18.16.586 W001.32.20.333
N054.18.16.269 W001.32.20.827
N054.18.16.695 W001.32.21.609
N054.18.16.245 W001.32.22.514
N054.18.15.152 W001.32.20.676
N054.18.14.557 W001.32.20.482
N054.18.14.043 W001.32.19.672
N054.18.13.932 W001.32.18.922
N054.18.13.792 W001.32.18.652
N054.18.13.502 W001.32.18.779
N054.18.13.060 W001.32.19.687
N054.18.13.116 W001.32.20.327
N054.18.13.778 W001.32.21.160
N054.18.14.572 W001.32.21.483
N054.18.14.764 W001.32.22.136
N054.18.14.713 W001.32.22.813
N054.18.14.088 W001.32.23.480
N054.18.13.947 W001.32.24.379
N054.18.13.163 W001.32.25.292
N054.18.12.957 W001.32.24.923
N054.18.12.398 W001.32.25.467
N054.18.11.991 W001.32.24.342
N054.18.13.252 W001.32.22.920
N054.18.13.515 W001.32.21.723
N054.18.12.906 W001.32.20.813
N054.18.12.553 W001.32.20.862
N054.18.07.170 W001.32.32.217
N054.18.04.432 W001.32.30.128
N054.18.05.750 W001.32.28.405
N054.18.01.645 W001.32.11.153
N054.17.51.686 W001.32.20.387
N054.17.50.046 W001.32.19.088
N054.18.01.152 W001.32.08.815
N054.17.55.172 W001.31.43.227
N054.17.54.889 W001.31.42.558
N054.17.54.584 W001.31.42.394
N054.17.54.208 W001.31.42.386
N054.17.53.946 W001.31.42.658
N054.17.53.730 W001.31.43.272
N054.17.53.480 W001.31.44.234
N054.17.53.152 W001.31.45.507
N054.17.51.792 W001.31.50.687
N054.17.50.447 W001.31.53.980
N054.17.49.233 W001.31.56.118
N054.17.48.060 W001.31.58.085
N054.17.46.730 W001.32.00.109
N054.17.45.707 W001.32.01.412
N054.17.45.240 W001.32.01.920
N054.17.44.870 W001.32.02.036
N054.17.44.460 W001.32.01.825
N054.17.44.047 W001.32.01.160
N054.17.43.828 W001.32.00.748
N054.17.43.454 W001.32.00.395
N054.17.43.017 W001.32.00.452
N054.17.42.070 W001.32.02.247
N054.17.41.565 W001.32.03.784
N054.17.40.648 W001.32.06.204
N054.17.40.304 W001.32.07.065
N054.17.39.992 W001.32.07.552
N054.17.39.606 W001.32.07.983
N054.17.38.538 W001.32.09.191
N054.17.38.439 W001.32.09.687
N054.17.38.576 W001.32.10.265
N054.17.37.079 W001.32.09.093
N054.17.37.507 W001.32.09.077
N054.17.37.903 W001.32.08.793
N054.17.39.606 W001.32.06.850
N054.17.39.903 W001.32.06.444
N054.17.40.267 W001.32.05.618
N054.17.40.971 W001.32.03.628
N054.17.41.015 W001.32.03.139
N054.17.40.873 W001.32.02.783
N054.17.40.722 W001.32.02.602
N054.17.40.095 W001.32.02.718
N054.17.39.042 W001.32.02.694
N054.17.37.859 W001.32.02.295
N054.17.37.226 W001.32.01.925
N054.17.36.511 W001.32.01.368
N054.17.35.874 W001.32.00.598
N054.17.35.008 W001.31.59.481
N054.17.33.487 W001.31.57.359
N054.17.32.239 W001.31.55.794
N054.17.31.270 W001.31.54.887
N054.17.25.387 W001.31.50.375
N054.17.25.034 W001.31.50.377
N054.17.24.754 W001.31.50.549
N054.17.24.568 W001.31.50.856
N054.17.22.974 W001.31.57.221
N054.17.22.935 W001.31.57.594
N054.17.22.986 W001.31.58.123
N054.17.23.011 W001.31.58.264
N054.17.21.778 W001.31.57.314
N054.17.22.102 W001.31.57.245
N054.17.22.396 W001.31.57.009
N054.17.22.461 W001.31.56.815
N054.17.24.072 W001.31.50.692
N054.17.24.128 W001.31.50.167
N054.17.24.025 W001.31.49.509
N054.17.23.767 W001.31.49.142
N054.17.04.902 W001.31.34.635
N054.17.04.335 W001.31.34.268
N054.17.03.690 W001.31.34.097
N054.17.03.257 W001.31.34.143
N054.17.02.514 W001.31.34.474
N054.17.02.006 W001.31.34.905
N054.17.01.602 W001.31.35.443
N054.17.01.259 W001.31.36.077
N054.17.01.040 W001.31.36.743
N054.17.00.849 W001.31.37.363
N054.17.00.585 W001.31.38.388
N054.17.00.359 W001.31.39.269
N054.17.00.351 W001.31.40.041
N054.17.00.433 W001.31.40.696
N054.17.00.622 W001.31.41.024

;Grass2
REGIONNAME Leeming
smrMilGrass N054.17.37.023 W001.32.00.812
N054.17.41.564 W001.32.00.895
N054.17.41.486 W001.32.01.247
N054.17.41.193 W001.32.01.563
N054.17.40.545 W001.32.01.806
N054.17.39.957 W001.32.01.886
N054.17.39.463 W001.32.01.955
N054.17.38.901 W001.32.01.851
N054.17.38.486 W001.32.01.739
