;- HEATHROW HOLDING POINTS
N051.28.13.840:W000.26.36.870:EGLL Old SMR Labels:149
N051.28.15.870:W000.26.33.970:EGLL Old SMR Labels:153
N051.28.17.970:W000.26.30.970:EGLL Old SMR Labels:155
N051.28.10.284:W000.26.30.047:EGLL Old SMR Labels:170
N051.28.28.650:W000.27.10.730:EGLL Old SMR Labels:174
N051.28.27.780:W000.27.13.150:EGLL Old SMR Labels:176
N051.28.28.630:W000.27.15.440:EGLL Old SMR Labels:178
N051.28.27.780:W000.27.17.620:EGLL Old SMR Labels:180
N051.28.28.620:W000.27.19.820:EGLL Old SMR Labels:182
N051.28.27.780:W000.27.21.980:EGLL Old SMR Labels:184
N051.28.28.600:W000.27.24.150:EGLL Old SMR Labels:186
N051.28.27.780:W000.27.26.310:EGLL Old SMR Labels:188
N051.28.27.780:W000.27.31.329:EGLL Old SMR Labels:192
N051.28.06.904:W000.26.48.659:EGLL Old SMR Labels:209
;247 still to be surveyed...
N051.28.21.240:W000.26.30.731:EGLL Old SMR Labels:247
;248 still to be surveyed...
N051.28.23.710:W000.26.30.850:EGLL Old SMR Labels:248
;249 still to be surveyed...
N051.28.26.350:W000.26.30.960:EGLL Old SMR Labels:249
N051.28.21.390:W000.26.23.430:EGLL Old SMR Labels:256
N051.28.23.790:W000.26.23.420:EGLL Old SMR Labels:257
N051.28.26.390:W000.26.23.430:EGLL Old SMR Labels:258
N051.28.23.800:W000.25.50.040:EGLL Old SMR Labels:701
N051.28.26.480:W000.25.51.940:EGLL Old SMR Labels:702
N051.28.28.200:W000.25.49.310:EGLL Old SMR Labels:703
;
N051.28.04.630:W000.27.15.820:EGLL Old SMR Labels:301
N051.28.04.630:W000.27.20.520:EGLL Old SMR Labels:303
N051.28.04.630:W000.27.25.231:EGLL Old SMR Labels:305
N051.28.04.620:W000.27.29.850:EGLL Old SMR Labels:307
N051.28.07.810:W000.27.35.050:EGLL Old SMR Labels:309
N051.28.09.010:W000.27.36.370:EGLL Old SMR Labels:311
N051.28.07.060:W000.27.39.570:EGLL Old SMR Labels:313
N051.28.05.700:W000.27.50.580:EGLL Old SMR Labels:316
N051.28.07.730:W000.27.52.810:EGLL Old SMR Labels:317
N051.28.12.160:W000.27.44.700:EGLL Old SMR Labels:318
N051.28.09.760:W000.27.55.040:EGLL Old SMR Labels:319
N051.28.14.190:W000.27.46.930:EGLL Old SMR Labels:320
N051.28.11.800:W000.27.57.270:EGLL Old SMR Labels:321
N051.28.16.220:W000.27.49.160:EGLL Old SMR Labels:322
N051.28.13.320:W000.27.40.610:EGLL Old SMR Labels:323
N051.28.15.190:W000.27.42.660:EGLL Old SMR Labels:325
N051.28.23.200:W000.27.38.890:EGLL Old SMR Labels:326
N051.28.17.050:W000.27.44.710:EGLL Old SMR Labels:327
N051.28.25.060:W000.27.40.930:EGLL Old SMR Labels:328
N051.28.18.930:W000.27.46.760:EGLL Old SMR Labels:329
N051.28.26.930:W000.27.42.980:EGLL Old SMR Labels:330
N051.28.20.800:W000.27.48.800:EGLL Old SMR Labels:331
N051.28.27.780:W000.27.45.600:EGLL Old SMR Labels:332
N051.28.27.780:W000.27.50.340:EGLL Old SMR Labels:334
N051.28.21.950:W000.27.51.760:EGLL Old SMR Labels:335
N051.28.27.780:W000.27.54.380:EGLL Old SMR Labels:336
N051.28.27.780:W000.28.00.930:EGLL Old SMR Labels:338
N051.28.25.530:W000.28.00.200:EGLL Old SMR Labels:340
N051.28.22.930:W000.27.59.790:EGLL Old SMR Labels:342
N051.28.24.660:W000.27.35.090:EGLL Old SMR Labels:351
N051.28.25.700:W000.27.36.240:EGLL Old SMR Labels:352
N051.28.26.380:W000.27.34.980:EGLL Old SMR Labels:353
N051.28.26.790:W000.27.37.430:EGLL Old SMR Labels:354
;355 still to be surveyed...
N051.28.27.410:W000.27.38.220:EGLL Old SMR Labels:355
N051.28.13.910:W000.27.59.560:EGLL Old SMR Labels:363
N051.28.18.260:W000.27.51.400:EGLL Old SMR Labels:364
N051.28.16.790:W000.27.59.730:EGLL Old SMR Labels:365
N051.28.06.340:W000.28.04.560:EGLL Old SMR Labels:L35W
N051.28.06.360:W000.27.56.960:EGLL Old SMR Labels:L35E
;
N051.27.28.130:W000.26.53.890:EGLL Old SMR Labels:401
N051.27.27.050:W000.26.57.030:EGLL Old SMR Labels:402
N051.27.25.900:W000.27.00.250:EGLL Old SMR Labels:403
N051.27.30.810:W000.27.07.160:EGLL Old SMR Labels:405
N051.27.32.836:W000.27.04.243:EGLL Old SMR Labels:406
N051.27.35.900:W000.27.00.280:EGLL Old SMR Labels:407
N051.27.37.780:W000.26.57.590:EGLL Old SMR Labels:408
N051.27.39.670:W000.26.54.890:EGLL Old SMR Labels:409
N051.27.41.550:W000.26.52.210:EGLL Old SMR Labels:410
N051.27.43.430:W000.26.49.520:EGLL Old SMR Labels:411
N051.27.45.260:W000.26.46.900:EGLL Old SMR Labels:412
N051.27.44.710:W000.26.35.390:EGLL Old SMR Labels:414
N051.27.43.010:W000.26.36.570:EGLL Old SMR Labels:415
N051.27.42.780:W000.26.36.720:EGLL Old SMR Labels:416
N051.27.41.780:W000.26.37.420:EGLL Old SMR Labels:417
N051.27.40.490:W000.26.38.300:EGLL Old SMR Labels:419
N051.27.39.320:W000.26.39.110:EGLL Old SMR Labels:420
N051.27.37.580:W000.26.40.300:EGLL Old SMR Labels:421
N051.27.36.690:W000.26.36.080:EGLL Old SMR Labels:422
N051.27.38.850:W000.26.34.590:EGLL Old SMR Labels:423
N051.27.41.010:W000.26.33.100:EGLL Old SMR Labels:424
N051.27.43.200:W000.26.31.590:EGLL Old SMR Labels:425
N051.27.44.060:W000.26.25.490:EGLL Old SMR Labels:429
N051.27.41.860:W000.26.24.320:EGLL Old SMR Labels:430
N051.27.41.880:W000.26.20.430:EGLL Old SMR Labels:431
N051.27.41.740:W000.26.16.540:EGLL Old SMR Labels:432
N051.27.37.740:W000.27.04.560:EGLL Old SMR Labels:440
N051.27.39.560:W000.27.01.960:EGLL Old SMR Labels:441
N051.27.30.340:W000.27.14.320:EGLL Old SMR Labels:451
