;- HEATHROW HOLDING POINTS
"311" N051.28.09.010 W000.27.36.370 standHold
"313" N051.28.07.060 W000.27.39.570 standHold
"316" N051.28.05.700 W000.27.50.580 standHold
"317" N051.28.07.730 W000.27.52.810 standHold
"318" N051.28.12.160 W000.27.44.700 standHold
"319" N051.28.09.760 W000.27.55.040 standHold
"320" N051.28.14.190 W000.27.46.930 standHold
"321" N051.28.11.800 W000.27.57.270 standHold
"322" N051.28.16.220 W000.27.49.160 standHold
"323" N051.28.13.320 W000.27.40.610 standHold
"325" N051.28.15.190 W000.27.42.660 standHold
"326" N051.28.23.200 W000.27.38.890 standHold
"327" N051.28.17.050 W000.27.44.710 standHold
"328" N051.28.25.060 W000.27.40.930 standHold
"329" N051.28.18.930 W000.27.46.760 standHold
"330" N051.28.26.930 W000.27.42.980 standHold
"331" N051.28.20.800 W000.27.48.800 standHold
"332" N051.28.27.780 W000.27.45.600 standHold
"334" N051.28.27.780 W000.27.50.340 standHold
"335" N051.28.21.950 W000.27.51.760 standHold
"336" N051.28.27.780 W000.27.54.380 standHold
"338" N051.28.27.780 W000.28.00.930 standHold
"340" N051.28.25.530 W000.28.00.200 standHold
"342" N051.28.22.930 W000.27.59.790 standHold
"351" N051.28.24.660 W000.27.35.090 standHold
"352" N051.28.25.700 W000.27.36.240 standHold
"353" N051.28.26.380 W000.27.34.980 standHold
"354" N051.28.26.790 W000.27.37.430 standHold
;355 still to be surveyed...
"355" N051.28.27.410 W000.27.38.220 standHold
"363" N051.28.13.910 W000.27.59.560 standHold
"364" N051.28.18.260 W000.27.51.400 standHold
"365" N051.28.16.790 W000.27.59.730 standHold
"L35W" N051.28.06.340 W000.28.04.560 standHold
"L35E" N051.28.06.360 W000.27.56.960 standHold
;
"401" N051.27.28.130 W000.26.53.890 standHold
"402" N051.27.27.050 W000.26.57.030 standHold
"403" N051.27.25.900 W000.27.00.250 standHold
"405" N051.27.30.810 W000.27.07.160 standHold
"406" N051.27.32.836 W000.27.04.243 standHold
"407" N051.27.35.900 W000.27.00.280 standHold
"408" N051.27.37.780 W000.26.57.590 standHold
"409" N051.27.39.670 W000.26.54.890 standHold
"410" N051.27.41.550 W000.26.52.210 standHold
"411" N051.27.43.430 W000.26.49.520 standHold
"412" N051.27.45.260 W000.26.46.900 standHold
"414" N051.27.44.710 W000.26.35.390 standHold
"415" N051.27.43.010 W000.26.36.570 standHold
"416" N051.27.42.780 W000.26.36.720 standHold
"417" N051.27.41.780 W000.26.37.420 standHold
"419" N051.27.40.490 W000.26.38.300 standHold
"420" N051.27.39.320 W000.26.39.110 standHold
"421" N051.27.37.580 W000.26.40.300 standHold
"422" N051.27.36.690 W000.26.36.080 standHold
"423" N051.27.38.850 W000.26.34.590 standHold
"424" N051.27.41.010 W000.26.33.100 standHold
"425" N051.27.43.200 W000.26.31.590 standHold
"429" N051.27.44.060 W000.26.25.490 standHold
"430" N051.27.41.860 W000.26.24.320 standHold
"431" N051.27.41.880 W000.26.20.430 standHold
"432" N051.27.41.740 W000.26.16.540 standHold
"440" N051.27.37.740 W000.27.04.560 standHold
"441" N051.27.39.560 W000.27.01.960 standHold
"451" N051.27.30.340 W000.27.14.320 standHold
"452" N051.27.32.770 W000.27.14.240 standHold
"453" N051.27.35.190 W000.27.14.160 standHold
"454" N051.27.38.990 W000.27.15.030 standHold
"455" N051.27.40.990 W000.27.17.220 standHold
"456" N051.27.42.990 W000.27.19.410 standHold
"461" N051.27.28.280 W000.27.09.760 standHold
"463" N051.27.25.900 W000.27.07.100 standHold
"RS" N051.27.45.790 W000.27.22.160 standHold
"601" N051.27.46.370 W000.27.30.690 standHold
"602" N051.27.46.360 W000.27.34.550 standHold
"603" N051.27.46.350 W000.27.38.400 standHold
"604" N051.27.46.330 W000.27.42.260 standHold
"605" N051.27.46.320 W000.27.46.120 standHold
"606" N051.27.46.310 W000.27.50.210 standHold
"607" N051.27.46.100 W000.27.53.930 standHold
"608" N051.27.46.090 W000.27.57.710 standHold
"609" N051.27.46.080 W000.28.01.500 standHold
"611" N051.27.41.430 W000.28.19.510 standHold
"612" N051.27.39.620 W000.28.19.490 standHold
"613" N051.27.37.340 W000.28.19.470 standHold
"614" N051.27.37.810 W000.28.27.350 standHold
"615" N051.27.40.940 W000.28.27.350 standHold
"616" N051.27.44.060 W000.28.27.350 standHold
;
"501" N051.28.27.700 W000.29.22.330 standHold
"502" N051.28.26.520 W000.29.20.100 standHold
"503" N051.28.27.700 W000.29.17.870 standHold
"505" N051.28.26.520 W000.29.15.290 standHold
"506" N051.28.26.360 W000.29.09.650 standHold
"507" N051.28.24.970 W000.29.09.650 standHold
"508" N051.28.23.360 W000.29.09.650 standHold
"509" N051.28.21.750 W000.29.09.650 standHold
"511" N051.28.20.350 W000.29.09.650 standHold
"512" N051.28.18.740 W000.29.09.650 standHold
"513" N051.28.16.810 W000.29.09.650 standHold
"514" N051.28.16.560 W000.29.09.650 standHold
"515" N051.28.16.120 W000.29.09.650 standHold
"516" N051.28.14.160 W000.29.09.650 standHold
"517" N051.28.13.730 W000.29.09.650 standHold
"518" N051.28.11.750 W000.29.09.650 standHold
"519" N051.28.10.270 W000.29.08.650 standHold
"520" N051.28.09.410 W000.29.11.330 standHold
"521" N051.28.10.420 W000.29.13.760 standHold
"522" N051.28.09.410 W000.29.16.360 standHold
"523" N051.28.10.400 W000.29.18.950 standHold
"524" N051.28.05.900 W000.29.19.390 standHold
"525" N051.28.05.900 W000.29.16.350 standHold
"526" N051.28.05.920 W000.29.12.540 standHold
"527" N051.28.06.000 W000.29.09.320 standHold
"531" N051.28.25.690 W000.28.55.740 standHold
"532" N051.28.23.300 W000.28.55.720 standHold
"533" N051.28.20.900 W000.28.55.700 standHold
"534" N051.28.18.510 W000.28.55.680 standHold
"535" N051.28.16.110 W000.28.55.660 standHold
"536" N051.28.13.720 W000.28.55.630 standHold
"537" N051.28.11.320 W000.28.55.610 standHold
"538" N051.28.08.930 W000.28.55.590 standHold
"539" N051.28.06.540 W000.28.55.570 standHold
"541" N051.28.06.480 W000.28.48.460 standHold
"542" N051.28.08.880 W000.28.48.480 standHold
"543" N051.28.11.270 W000.28.48.480 standHold
"544" N051.28.13.780 W000.28.48.480 standHold
"545" N051.28.16.420 W000.28.48.480 standHold
"546" N051.28.19.910 W000.28.48.480 standHold
"547" N051.28.23.000 W000.28.48.480 standHold
"548" N051.28.25.200 W000.28.48.480 standHold
"551" N051.28.06.600 W000.28.37.540 standHold
"552" N051.28.09.000 W000.28.37.560 standHold
"553" N051.28.11.390 W000.28.37.580 standHold
"554" N051.28.13.780 W000.28.37.600 standHold
"555" N051.28.16.420 W000.28.37.630 standHold
"556" N051.28.19.910 W000.28.37.660 standHold
"557" N051.28.23.000 W000.28.37.550 standHold
"558" N051.28.25.200 W000.28.37.630 standHold
"561" N051.28.26.400 W000.28.29.780 standHold
"562" N051.28.23.280 W000.28.29.780 standHold
"563" N051.28.19.962 W000.28.29.887 standHold
"564" N051.28.16.645 W000.28.29.887 standHold
"565" N051.28.13.328 W000.28.29.887 standHold
"566" N051.28.11.050 W000.28.29.780 standHold
"567" N051.28.08.940 W000.28.29.780 standHold
"568" N051.28.06.550 W000.28.29.780 standHold
;575 still to be surveyed
"575" N051.28.11.950 W000.28.19.920 standHold
"576" N051.28.09.770 W000.28.19.920 standHold
"581" N051.28.04.400 W000.28.19.070 standHold
"582" N051.28.04.410 W000.28.15.580 standHold
"583" N051.28.04.430 W000.28.11.670 standHold
"590" N051.28.08.970 W000.28.09.530 standHold
"591" N051.28.11.480 W000.28.09.530 standHold
"592" N051.28.13.910 W000.28.09.560 standHold
"594" N051.28.19.580 W000.28.09.870 standHold
"595" N051.28.22.560 W000.28.09.850 standHold
;596 still to be surveyed
"596" N051.28.25.420 W000.28.10.230 standHold
