EGWU Northolt SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.25.52.476 W000.41.56.096 N051.26.23.847 W000.42.40.704
                            N051.26.23.847 W000.42.40.704 N051.26.57.517 W000.43.20.748
                            N051.26.57.517 W000.43.20.748 N051.27.33.230 W000.43.55.922
                            N051.27.33.230 W000.43.55.922 N051.28.10.715 W000.44.25.960
                            N051.28.10.715 W000.44.25.960 N051.28.49.686 W000.44.50.633
                            N051.28.49.686 W000.44.50.633 N051.29.29.847 W000.45.09.753
                            N051.29.29.847 W000.45.09.753 N051.30.10.891 W000.45.23.175
                            N051.30.10.891 W000.45.23.175 N051.30.52.508 W000.45.30.796
                            N051.30.52.508 W000.45.30.796 N051.31.34.379 W000.45.32.558
                            N051.31.34.379 W000.45.32.558 N051.32.16.186 W000.45.28.448
                            N051.32.16.186 W000.45.28.448 N051.32.57.612 W000.45.18.498
                            N051.32.57.612 W000.45.18.498 N051.33.38.340 W000.45.02.782
                            N051.33.38.340 W000.45.02.782 N051.34.18.061 W000.44.41.421
                            N051.34.18.061 W000.44.41.421 N051.34.56.473 W000.44.14.577
                            N051.34.56.473 W000.44.14.577 N051.35.33.283 W000.43.42.455
                            N051.35.33.283 W000.43.42.455 N051.36.08.210 W000.43.05.298
                            N051.36.08.210 W000.43.05.298 N051.36.40.990 W000.42.23.390
                            N051.36.40.990 W000.42.23.390 N051.37.11.373 W000.41.37.050
                            N051.37.11.373 W000.41.37.050 N051.37.39.127 W000.40.46.631
                            N051.37.39.127 W000.40.46.631 N051.38.04.042 W000.39.52.515
                            N051.38.04.042 W000.39.52.515 N051.38.25.927 W000.38.55.115
                            N051.38.25.927 W000.38.55.115 N051.38.44.616 W000.37.54.868
                            N051.38.44.616 W000.37.54.868 N051.38.56.000 W000.37.07.999
                            N051.38.56.000 W000.37.07.999 N051.42.22.998 W000.22.03.999
                            N051.42.22.998 W000.22.03.999 N051.42.38.863 W000.20.45.921
                            N051.42.38.863 W000.20.45.921 N051.42.47.214 W000.19.39.868
                            N051.42.47.214 W000.19.39.868 N051.42.51.955 W000.18.32.896
                            N051.42.51.955 W000.18.32.896 N051.42.53.052 W000.17.25.514
;FAVA07
                            N051.33.40.582 W000.28.44.883 N051.31.19.942 W000.27.20.961
                            N051.31.19.942 W000.27.20.961 N051.27.19.500 W000.39.34.644
                            N051.27.19.500 W000.39.34.644 N051.31.54.780 W000.42.15.983
                            N051.31.54.780 W000.42.15.983 N051.33.40.582 W000.28.44.883
;FAVA25
                            N051.35.00.844 W000.22.55.476 N051.32.40.447 W000.21.32.361
                            N051.32.40.447 W000.21.32.361 N051.34.28.700 W000.08.00.942
                            N051.34.28.700 W000.08.00.942 N051.39.08.049 W000.10.46.398
                            N051.39.08.049 W000.10.46.398 N051.35.00.844 W000.22.55.476
