EGHF Lee-on-Solent               S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
N050.48.38.875 W001.12.17.307 N050.48.38.933 W001.12.17.098 smrLLOutline ;DISUSED7
N050.48.38.933 W001.12.17.098 N050.48.38.986 W001.12.16.896 smrLLOutline ;DISUSED7
N050.48.38.986 W001.12.16.896 N050.48.39.036 W001.12.16.589 smrLLOutline ;DISUSED7
N050.48.39.036 W001.12.16.589 N050.48.39.036 W001.12.16.289 smrLLOutline ;DISUSED7
N050.48.39.036 W001.12.16.289 N050.48.39.019 W001.12.15.552 smrLLOutline ;DISUSED7
N050.48.39.019 W001.12.15.552 N050.48.38.782 W001.12.08.152 smrLLOutline ;DISUSED7
N050.48.38.782 W001.12.08.152 N050.48.38.725 W001.12.07.155 smrLLOutline ;DISUSED7
N050.48.38.725 W001.12.07.155 N050.48.38.651 W001.12.06.809 smrLLOutline ;DISUSED7
N050.48.38.651 W001.12.06.809 N050.48.38.589 W001.12.06.581 smrLLOutline ;DISUSED7
N050.48.38.589 W001.12.06.581 N050.48.38.523 W001.12.06.254 smrLLOutline ;DISUSED7
N050.48.38.523 W001.12.06.254 N050.48.38.457 W001.12.05.928 smrLLOutline ;DISUSED7
N050.48.38.457 W001.12.05.928 N050.48.38.424 W001.12.05.686 smrLLOutline ;DISUSED7
N050.48.38.424 W001.12.05.686 N050.48.38.416 W001.12.05.334 smrLLOutline ;DISUSED7
N050.48.38.416 W001.12.05.334 N050.48.38.548 W001.12.01.679 smrLLOutline ;DISUSED7
N050.48.38.548 W001.12.01.679 N050.48.38.592 W001.12.00.582 smrLLOutline ;DISUSED7
N050.48.38.592 W001.12.00.582 N050.48.38.641 W001.11.59.988 smrLLOutline ;DISUSED7
N050.48.38.641 W001.11.59.988 N050.48.38.732 W001.11.59.316 smrLLOutline ;DISUSED7
N050.48.38.732 W001.11.59.316 N050.48.39.062 W001.11.57.836 smrLLOutline ;DISUSED7
N050.48.39.062 W001.11.57.836 N050.48.39.359 W001.11.56.727 smrLLOutline ;DISUSED7
N050.48.39.359 W001.11.56.727 N050.48.40.636 W001.11.52.242 smrLLOutline ;DISUSED7
N050.48.42.334 W001.11.47.602 N050.48.42.343 W001.11.47.858 smrLLOutline ;DISUSED8
N050.48.42.343 W001.11.47.858 N050.48.42.385 W001.11.48.107 smrLLOutline ;DISUSED8
N050.48.42.385 W001.11.48.107 N050.48.42.431 W001.11.48.282 smrLLOutline ;DISUSED8
N050.48.42.431 W001.11.48.282 N050.48.42.486 W001.11.48.406 smrLLOutline ;DISUSED8
N050.48.42.486 W001.11.48.406 N050.48.42.560 W001.11.48.560 smrLLOutline ;DISUSED8
N050.48.42.560 W001.11.48.560 N050.48.42.653 W001.11.48.677 smrLLOutline ;DISUSED8
N050.48.42.653 W001.11.48.677 N050.48.42.741 W001.11.48.750 smrLLOutline ;DISUSED8
N050.48.42.741 W001.11.48.750 N050.49.08.281 W001.11.57.964 smrLLOutline ;DISUSED8
