EGLL Heathrow SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.31.17.564 W000.09.43.738 N051.31.02.587 W000.09.51.325
                            N051.31.02.587 W000.09.51.325 N051.30.47.257 W000.09.56.785
                            N051.30.47.257 W000.09.56.785 N051.30.31.688 W000.10.00.078
                            N051.30.31.688 W000.10.00.078 N051.30.22.000 W000.10.00.000
                            N051.30.22.000 W000.10.00.000 N051.24.26.000 W000.10.26.000
                            N051.24.26.000 W000.10.26.000 N051.20.49.000 W000.08.40.000
                            N051.20.49.000 W000.08.40.000 N051.18.18.000 W000.26.50.000
                            N051.18.18.000 W000.26.50.000 N051.16.24.000 W000.59.11.000
                            N051.16.24.000 W000.59.11.000 N051.33.31.000 W000.59.17.000

                            N051.38.19.000 W000.48.30.000 N051.41.06.000 W000.40.17.000
                            N051.41.06.000 W000.40.17.000 N051.41.00.702 W000.40.08.759
                            N051.41.00.702 W000.40.08.759 N051.40.48.244 W000.39.53.352
                            N051.40.48.244 W000.39.53.352 N051.40.35.000 W000.39.39.753
                            N051.40.35.000 W000.39.39.753 N051.40.21.071 W000.39.28.067
                            N051.40.21.071 W000.39.28.067 N051.40.06.564 W000.39.18.382
                            N051.40.06.564 W000.39.18.382 N051.39.51.587 W000.39.10.771
                            N051.39.51.587 W000.39.10.771 N051.39.36.257 W000.39.05.293
                            N051.39.36.257 W000.39.05.293 N051.39.20.688 W000.39.01.989
                            N051.39.20.688 W000.39.01.989 N051.39.05.000 W000.39.00.885
                            N051.39.05.000 W000.39.00.885 N051.38.49.312 W000.39.01.989
                            N051.38.49.312 W000.39.01.989 N051.38.33.743 W000.39.05.293
                            N051.38.33.743 W000.39.05.293 N051.38.18.413 W000.39.10.771
                            N051.38.18.413 W000.39.10.771 N051.38.03.436 W000.39.18.382
                            N051.38.03.436 W000.39.18.382 N051.37.48.929 W000.39.28.067
                            N051.37.48.929 W000.39.28.067 N051.37.35.000 W000.39.39.753
                            N051.37.35.000 W000.39.39.753 N051.37.21.756 W000.39.53.352
                            N051.37.21.756 W000.39.53.352 N051.37.09.298 W000.40.08.759
                            N051.37.09.298 W000.40.08.759 N051.36.57.721 W000.40.25.858
                            N051.36.57.721 W000.40.25.858 N051.36.47.112 W000.40.44.518
                            N051.36.47.112 W000.40.44.518 N051.36.37.553 W000.41.04.597
                            N051.36.37.553 W000.41.04.597 N051.36.29.115 W000.41.25.943
                            N051.36.29.115 W000.41.25.943 N051.36.21.865 W000.41.48.392
                            N051.36.21.865 W000.41.48.392 N051.36.15.855 W000.42.11.775
                            N051.36.15.855 W000.42.11.775 N051.36.11.133 W000.42.35.913
                            N051.36.11.133 W000.42.35.913 N051.36.07.735 W000.43.00.622
                            N051.36.07.735 W000.43.00.622 N051.36.05.685 W000.43.25.715
                            N051.36.05.685 W000.43.25.715 N051.36.05.000 W000.43.51.000
                            N051.36.05.000 W000.43.51.000 N051.36.05.685 W000.44.16.285
                            N051.36.05.685 W000.44.16.285 N051.36.07.735 W000.44.41.378
                            N051.36.07.735 W000.44.41.378 N051.36.11.133 W000.45.06.087
                            N051.36.11.133 W000.45.06.087 N051.36.15.855 W000.45.30.225
                            N051.36.15.855 W000.45.30.225 N051.36.21.865 W000.45.53.608
                            N051.36.21.865 W000.45.53.608 N051.36.29.115 W000.46.16.057
