Coastline (Low Detail) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000 geoDefault
; NOAA object 1
N052.15.58.914 W004.02.28.501 N052.11.53.905 W004.12.19.905 geoDefault
N052.11.53.905 W004.12.19.905 N052.06.32.857 W004.24.51.828 geoDefault
N052.06.32.857 W004.24.51.828 N052.02.10.943 W004.35.33.921 geoDefault
N052.02.10.943 W004.35.33.921 N051.58.22.840 W004.48.05.849 geoDefault
N051.58.22.840 W004.48.05.849 N051.54.00.926 W005.00.03.981 geoDefault
N051.54.00.926 W005.00.03.981 N051.51.03.510 W005.09.13.139 geoDefault
N051.51.03.510 W005.09.13.139 N051.49.05.229 W005.06.41.064 geoDefault
N051.49.05.229 W005.06.41.064 N051.45.00.220 W005.04.34.334 geoDefault
N051.45.00.220 W005.04.34.334 N051.41.37.453 W005.01.20.017 geoDefault
N051.41.37.453 W005.01.20.017 N051.37.57.795 W004.58.39.493 geoDefault
N051.37.57.795 W004.58.39.493 N051.37.07.107 W004.56.41.214 geoDefault
N051.37.07.107 W004.56.41.214 N051.36.16.405 W004.55.58.969 geoDefault
N051.36.16.405 W004.55.58.969 N051.35.34.163 W004.49.21.885 geoDefault
N051.35.34.163 W004.49.21.885 N051.37.32.444 W004.41.28.762 geoDefault
N051.37.32.444 W004.41.28.762 N051.43.18.830 W004.31.28.912 geoDefault
N051.43.18.830 W004.31.28.912 N051.46.07.813 W004.21.37.513 geoDefault
N051.46.07.813 W004.21.37.513 N051.45.00.220 W004.17.40.948 geoDefault
N051.45.00.220 W004.17.40.948 N051.42.28.141 W004.16.16.465 geoDefault
N051.42.28.141 W004.16.16.465 N051.36.16.405 W004.15.00.424 geoDefault
N051.36.16.405 W004.15.00.424 N051.33.52.773 W004.11.03.866 geoDefault
N051.33.52.773 W004.11.03.866 N051.33.27.436 W003.57.49.698 geoDefault
N051.33.27.436 W003.57.49.698 N051.37.57.795 W003.49.56.575 geoDefault
N051.37.57.795 W003.49.56.575 N051.38.23.133 W003.46.33.809 geoDefault
N051.38.23.133 W003.46.33.809 N051.37.07.107 W003.43.19.491 geoDefault
N051.37.07.107 W003.43.19.491 N051.33.27.436 W003.39.14.479 geoDefault
N051.33.27.436 W003.39.14.479 N051.28.06.388 W003.32.37.395 geoDefault
N051.28.06.388 W003.32.37.395 N051.23.52.933 W003.26.42.554 geoDefault
N051.23.52.933 W003.26.42.554 N051.22.20.002 W003.20.05.471 geoDefault
N051.22.20.002 W003.20.05.471 N051.22.45.340 W003.10.47.863 geoDefault
N051.22.45.340 W003.10.47.863 N051.25.34.309 W003.04.10.776 geoDefault
N051.25.34.309 W003.04.10.776 N051.30.30.006 W002.58.58.177 geoDefault
N051.30.30.006 W002.58.58.177 N051.33.52.773 W002.51.38.851 geoDefault
N051.33.52.773 W002.51.38.851 N051.35.34.163 W002.45.01.767 geoDefault
N051.35.34.163 W002.45.01.767 N051.40.04.523 W002.35.10.363 geoDefault
N051.40.04.523 W002.35.10.363 N051.43.18.830 W002.28.33.279 geoDefault
N051.43.18.830 W002.28.33.279 N051.38.48.484 W002.27.51.037 geoDefault
N051.38.48.484 W002.27.51.037 N051.33.27.436 W002.33.12.085 geoDefault
N051.33.27.436 W002.33.12.085 N051.25.59.660 W002.42.21.243 geoDefault
N051.25.59.660 W002.42.21.243 N051.20.13.261 W002.50.22.815 geoDefault
N051.20.13.261 W002.50.22.815 N051.15.17.564 W002.52.54.890 geoDefault
N051.15.17.564 W002.52.54.890 N051.12.45.486 W002.56.17.656 geoDefault
N051.12.45.486 W002.56.17.656 N051.11.29.461 W003.00.14.216 geoDefault
N051.11.29.461 W003.00.14.216 N051.10.38.759 W003.10.47.863 geoDefault
N051.10.38.759 W003.10.47.863 N051.11.04.110 W003.29.23.078 geoDefault
N051.11.04.110 W003.29.23.078 N051.10.38.759 W003.45.17.770 geoDefault
;Cornwall fix geoDefault
N051.10.38.759 W003.45.17.770 N051.11.51.825 W004.13.49.767 geoDefault
N051.11.51.825 W004.13.49.767 N051.03.45.287 W004.13.56.374 geoDefault
N051.03.45.287 W004.13.56.374 N050.59.48.759 W004.20.57.758 geoDefault
N050.59.48.759 W004.20.57.758 N051.01.29.495 W004.32.15.754 geoDefault
N051.01.29.495 W004.32.15.754 N050.46.32.794 W004.34.27.975 geoDefault
N050.46.32.794 W004.34.27.975 N050.35.56.832 W004.48.51.423 geoDefault
N050.35.56.832 W004.48.51.423 N050.35.14.902 W004.56.49.526 geoDefault
N050.35.14.902 W004.56.49.526 N050.24.36.114 W005.07.30.076 geoDefault
N050.24.36.114 W005.07.30.076 N050.11.31.023 W005.26.06.860 geoDefault
N050.11.31.023 W005.26.06.860 N050.13.28.675 W005.30.17.010 geoDefault
N050.13.28.675 W005.30.17.010 N050.09.47.825 W005.40.17.220 geoDefault
N050.09.47.825 W005.40.17.220 N050.04.03.697 W005.43.21.368 geoDefault
N050.04.03.697 W005.43.21.368 N050.02.10.739 W005.41.03.542 geoDefault
N050.02.10.739 W005.41.03.542 N050.06.00.846 W005.23.09.552 geoDefault
; geoDefault
N050.06.00.846 W005.23.09.552 N050.03.54.119 W005.15.50.223 geoDefault
N050.03.54.119 W005.15.50.223 N050.01.22.054 W005.11.11.421 geoDefault
N050.01.22.054 W005.11.11.421 N050.02.12.742 W005.05.58.822 geoDefault
N050.02.12.742 W005.05.58.822 N050.01.47.391 W005.05.58.822 geoDefault
; NOAA object 11
N049.59.15.313 W005.02.36.056 N050.02.12.742 W004.57.57.250 geoDefault
N050.02.12.742 W004.57.57.250 N050.08.07.587 W004.54.42.933 geoDefault
N050.08.07.587 W004.54.42.933 N050.12.21.042 W004.42.44.801 geoDefault
N050.12.21.042 W004.42.44.801 N050.19.57.263 W004.36.07.718 geoDefault
N050.19.57.263 W004.36.07.718 N050.19.57.263 W004.26.58.556 geoDefault
N050.19.57.263 W004.26.58.556 N050.20.47.951 W004.17.40.948 geoDefault
N050.20.47.951 W004.17.40.948 N050.20.22.614 W004.10.21.624 geoDefault
N050.20.22.614 W004.10.21.624 N050.20.22.614 W004.03.44.540 geoDefault
N050.20.22.614 W004.03.44.540 N050.19.06.574 W003.56.33.659 geoDefault
N050.19.06.574 W003.56.33.659 N050.17.25.184 W003.48.32.087 geoDefault
N050.17.25.184 W003.48.32.087 N050.15.18.457 W003.42.37.246 geoDefault
N050.15.18.457 W003.42.37.246 N050.14.27.769 W003.36.42.404 geoDefault
N050.14.27.769 W003.36.42.404 N050.14.53.120 W003.34.01.880 geoDefault
N050.14.53.120 W003.34.01.880 N050.16.59.847 W003.31.21.360 geoDefault
N050.16.59.847 W003.31.21.360 N050.20.47.951 W003.26.42.554 geoDefault
N050.20.47.951 W003.26.42.554 N050.30.05.562 W003.24.02.030 geoDefault
N050.30.05.562 W003.24.02.030 N050.36.51.095 W003.22.03.749 geoDefault
N050.36.51.095 W003.22.03.749 N050.37.41.783 W003.18.49.431 geoDefault
N050.37.41.783 W003.18.49.431 N050.37.16.446 W003.16.08.907 geoDefault
N050.37.16.446 W003.16.08.907 N050.37.16.446 W003.10.14.066 geoDefault
N050.37.16.446 W003.10.14.066 N050.40.39.212 W002.58.58.177 geoDefault
N050.40.39.212 W002.58.58.177 N050.42.45.939 W002.46.17.803 geoDefault
N050.42.45.939 W002.46.17.803 N050.44.01.978 W002.41.47.450 geoDefault
N050.44.01.978 W002.41.47.450 N050.40.39.212 W002.36.26.402 geoDefault
N050.40.39.212 W002.36.26.402 N050.36.51.095 W002.30.31.561 geoDefault
N050.36.51.095 W002.30.31.561 N050.33.53.679 W002.26.34.998 geoDefault
N050.33.53.679 W002.26.34.998 N050.31.21.601 W002.23.54.478 geoDefault
; NOAA object 12
N050.31.21.601 W002.23.54.478 N050.30.56.250 W002.22.29.989 geoDefault
N050.30.56.250 W002.22.29.989 N050.31.21.601 W002.22.29.989 geoDefault
N050.31.21.601 W002.22.29.989 N050.31.46.952 W002.22.29.989 geoDefault
N050.31.46.952 W002.22.29.989 N050.34.44.367 W002.19.15.672 geoDefault
N050.34.44.367 W002.19.15.672 N050.36.25.757 W002.09.15.822 geoDefault
N050.36.25.757 W002.09.15.822 N050.34.19.016 W001.58.08.382 geoDefault
N050.34.19.016 W001.58.08.382 N050.36.00.406 W001.52.05.092 geoDefault
N050.36.00.406 W001.52.05.092 N050.41.04.549 W001.55.27.858 geoDefault
N050.41.04.549 W001.55.27.858 N050.41.04.549 W001.42.13.687 geoDefault
N050.41.04.549 W001.42.13.687 N050.41.29.900 W001.27.35.032 geoDefault
N050.41.29.900 W001.27.35.032 N050.43.36.628 W001.24.20.714 geoDefault
N050.43.36.628 W001.24.20.714 N050.45.43.355 W001.17.01.388 geoDefault
N050.45.43.355 W001.17.01.388 N050.48.57.675 W001.15.45.349 geoDefault
N050.48.57.675 W001.15.45.349 N050.52.45.793 W001.15.45.349 geoDefault
N050.52.45.793 W001.15.45.349 N050.49.23.026 W001.09.08.265 geoDefault
N050.49.23.026 W001.09.08.265 N050.48.06.987 W001.01.48.940 geoDefault
N050.48.06.987 W001.01.48.940 N050.49.23.026 W000.52.31.332 geoDefault
N050.49.23.026 W000.52.31.332 N050.46.59.394 W000.49.59.254 geoDefault
N050.46.59.394 W000.49.59.254 N050.44.01.978 W000.43.55.967 geoDefault
N050.44.01.978 W000.43.55.967 N050.45.18.018 W000.32.48.527 geoDefault
N050.45.18.018 W000.32.48.527 N050.47.50.082 W000.11.32.784 geoDefault
N050.47.50.082 W000.11.32.784 N050.48.06.987 W000.02.15.176 geoDefault
; NOAA object 13
N053.33.25.650 E000.00.16.898 N053.37.22.213 W000.06.53.982 geoDefault
N053.37.22.213 W000.06.53.982 N053.42.01.005 W000.14.55.554 geoDefault
N053.42.01.005 W000.14.55.554 N053.43.33.950 W000.10.16.748 geoDefault
N053.43.33.950 W000.10.16.748 N053.39.20.495 W000.03.39.665 geoDefault
; NOAA object 14
N053.50.11.037 E000.05.37.943 N053.58.29.500 W000.04.21.907 geoDefault
N053.58.29.500 W000.04.21.907 N054.07.47.111 W000.08.18.467 geoDefault
N054.07.47.111 W000.08.18.467 N054.14.41.090 W000.14.55.554 geoDefault
N054.14.41.090 W000.14.55.554 N054.14.41.090 W000.15.29.347 geoDefault
N054.14.41.090 W000.15.29.347 N054.15.06.441 W000.15.29.347 geoDefault
N054.15.06.441 W000.15.29.347 N054.15.06.441 W000.16.11.590 geoDefault
N054.15.06.441 W000.16.11.590 N054.21.43.514 W000.21.32.638 geoDefault
N054.21.43.514 W000.21.32.638 N054.30.10.437 W000.31.24.038 geoDefault
N054.30.10.437 W000.31.24.038 N054.33.16.298 W000.43.55.967 geoDefault
N054.33.16.298 W000.43.55.967 N054.34.49.243 W000.59.08.416 geoDefault
N054.34.49.243 W000.59.08.416 N054.37.04.416 W001.03.13.425 geoDefault
N054.37.04.416 W001.03.13.425 N054.45.31.339 W001.07.43.781 geoDefault
N054.45.31.339 W001.07.43.781 N054.52.42.209 W001.15.45.349 geoDefault
N054.52.42.209 W001.15.45.349 N055.01.09.131 W001.22.22.437 geoDefault
N055.01.09.131 W001.22.22.437 N055.07.54.664 W001.25.36.753 geoDefault
N055.07.54.664 W001.25.36.753 N055.14.40.197 W001.26.18.996 geoDefault
N055.14.40.197 W001.26.18.996 N055.19.35.894 W001.27.01.238 geoDefault
N055.19.35.894 W001.27.01.238 N055.23.49.349 W001.27.35.032 geoDefault
N055.23.49.349 W001.27.35.032 N055.31.42.475 W001.29.41.762 geoDefault
N055.31.42.475 W001.29.41.762 N055.35.47.484 W001.39.33.163 geoDefault
N055.35.47.484 W001.39.33.163 N055.43.15.259 W001.51.31.295 geoDefault
N055.43.15.259 W001.51.31.295 N055.50.17.697 W001.58.42.175 geoDefault
N055.50.17.697 W001.58.42.175 N055.54.05.801 W002.08.42.025 geoDefault
N055.54.05.801 W002.08.42.025 N055.57.20.121 W002.21.13.954 geoDefault
N055.57.20.121 W002.21.13.954 N056.00.00.645 W002.29.49.319 geoDefault
N056.00.00.645 W002.29.49.319 N056.00.42.888 W002.35.44.160 geoDefault
N056.00.42.888 W002.35.44.160 N056.00.17.551 W002.38.24.684 geoDefault
N056.00.17.551 W002.38.24.684 N055.59.09.957 W002.43.45.728 geoDefault
N055.59.09.957 W002.43.45.728 N055.56.37.879 W002.54.19.375 geoDefault
N055.56.37.879 W002.54.19.375 N055.57.20.121 W003.02.54.740 geoDefault
N055.57.20.121 W003.02.54.740 N055.59.09.957 W003.10.47.863 geoDefault
N055.59.09.957 W003.10.47.863 N056.00.17.551 W003.11.30.105 geoDefault
N056.00.17.551 W003.11.30.105 N056.05.04.802 W003.08.49.581 geoDefault
N056.05.04.802 W003.08.49.581 N056.08.52.906 W003.02.12.498 geoDefault
N056.08.52.906 W003.02.12.498 N056.10.17.390 W002.53.37.132 geoDefault
N056.10.17.390 W002.53.37.132 N056.10.42.741 W002.41.47.450 geoDefault
N056.10.42.741 W002.41.47.450 N056.13.14.820 W002.31.47.596 geoDefault
N056.13.14.820 W002.31.47.596 N056.16.54.478 W002.37.08.644 geoDefault
N056.16.54.478 W002.37.08.644 N056.22.07.080 W002.43.45.728 geoDefault
N056.22.07.080 W002.43.45.728 N056.23.31.565 W002.48.58.327 geoDefault
N056.23.31.565 W002.48.58.327 N056.26.45.885 W002.50.56.608 geoDefault
N056.26.45.885 W002.50.56.608 N056.26.28.980 W002.40.22.962 geoDefault
N056.26.28.980 W002.40.22.962 N056.29.01.058 W002.33.45.878 geoDefault
N056.29.01.058 W002.33.45.878 N056.34.05.215 W002.27.08.794 geoDefault
N056.34.05.215 W002.27.08.794 N056.39.17.803 W002.25.10.513 geoDefault
N056.39.17.803 W002.25.10.513 N056.44.21.960 W002.18.33.430 geoDefault
N056.44.21.960 W002.18.33.430 N056.46.11.796 W002.15.52.905 geoDefault
N056.46.11.796 W002.15.52.905 N056.47.53.172 W002.13.54.624 geoDefault
N056.47.53.172 W002.13.54.624 N056.50.25.250 W002.11.56.346 geoDefault
N056.50.25.250 W002.11.56.346 N056.50.50.587 W002.10.40.306 geoDefault
N056.50.50.587 W002.10.40.306 N056.52.15.086 W002.09.58.065 geoDefault
N056.52.15.086 W002.09.58.065 N056.56.36.986 W002.08.42.025 geoDefault
N056.56.36.986 W002.08.42.025 N057.03.30.965 W002.04.03.224 geoDefault
N057.03.30.965 W002.04.03.224 N057.08.09.771 W002.02.47.184 geoDefault
N057.08.09.771 W002.02.47.184 N057.13.13.927 W002.00.40.457 geoDefault
N057.13.13.927 W002.00.40.457 N057.16.45.139 W001.55.27.858 geoDefault
N057.16.45.139 W001.55.27.858 N057.19.34.109 W001.50.06.810 geoDefault
N057.19.34.109 W001.50.06.810 N057.22.48.430 W001.45.28.008 geoDefault
N057.22.48.430 W001.45.28.008 N057.28.34.815 W001.45.28.008 geoDefault
N057.28.34.815 W001.45.28.008 N057.34.12.768 W001.45.28.008 geoDefault
N057.34.12.768 W001.45.28.008 N057.39.08.465 W001.49.33.017 geoDefault
N057.39.08.465 W001.49.33.017 N057.39.50.707 W001.55.27.858 geoDefault
N057.39.50.707 W001.55.27.858 N057.39.50.707 W002.07.59.782 geoDefault
N057.39.50.707 W002.07.59.782 N057.38.51.573 W002.22.29.989 geoDefault
N057.38.51.573 W002.22.29.989 N057.40.16.058 W002.34.28.120 geoDefault
N057.40.16.058 W002.34.28.120 N057.40.32.950 W002.47.00.045 geoDefault
N057.40.32.950 W002.47.00.045 N057.39.33.816 W002.59.31.974 geoDefault
N057.39.33.816 W002.59.31.974 N057.41.40.543 W003.12.46.141 geoDefault
N057.41.40.543 W003.12.46.141 N057.39.50.707 W003.22.03.749 geoDefault
N057.39.50.707 W003.22.03.749 N057.36.19.495 W003.41.55.003 geoDefault
N057.36.19.495 W003.41.55.003 N057.34.12.768 W003.52.28.650 geoDefault
N057.34.12.768 W003.52.28.650 N057.30.16.205 W004.00.30.218 geoDefault
N057.30.16.205 W004.00.30.218 N057.32.22.932 W004.05.09.025 geoDefault
N057.32.22.932 W004.05.09.025 N057.36.44.846 W004.02.28.501 geoDefault
N057.36.44.846 W004.02.28.501 N057.38.26.223 W004.02.28.501 geoDefault
N057.38.26.223 W004.02.28.501 N057.37.01.738 W004.11.46.107 geoDefault
N057.37.01.738 W004.11.46.107 N057.39.50.707 W004.11.46.107 geoDefault
N057.39.50.707 W004.11.46.107 N057.42.22.786 W003.55.51.416 geoDefault
N057.42.22.786 W003.55.51.416 N057.47.43.834 W003.45.51.566 geoDefault
N057.47.43.834 W003.45.51.566 N057.48.26.076 W003.49.14.333 geoDefault
N057.48.26.076 W003.49.14.333 N057.48.42.968 W004.04.26.782 geoDefault
N057.48.42.968 W004.04.26.782 N057.53.21.773 W004.02.28.501 geoDefault
N057.53.21.773 W004.02.28.501 N057.52.39.531 W004.01.04.016 geoDefault
N057.52.39.531 W004.01.04.016 N057.59.33.509 W003.50.30.368 geoDefault
N057.59.33.509 W003.50.30.368 N058.07.01.284 W003.28.40.836 geoDefault
N058.07.01.284 W003.28.40.836 N058.15.19.762 W003.20.05.471 geoDefault
N058.15.19.762 W003.20.05.471 N058.20.15.459 W003.05.35.264 geoDefault
N058.20.15.459 W003.05.35.264 N058.28.33.922 W003.04.10.776 geoDefault
N058.28.33.922 W003.04.10.776 N058.35.02.563 W003.02.12.498 geoDefault
N058.35.02.563 W003.02.12.498 N058.37.34.642 W003.15.26.665 geoDefault
N058.37.34.642 W003.15.26.665 N058.36.52.399 W003.20.05.471 geoDefault
N058.36.52.399 W003.20.05.471 N058.36.10.157 W003.22.03.749 geoDefault
N058.36.10.157 W003.22.03.749 N058.34.45.672 W003.30.39.114 geoDefault
N058.34.45.672 W003.30.39.114 N058.33.04.282 W003.45.51.566 geoDefault
N058.33.04.282 W003.45.51.566 N058.33.04.282 W003.58.31.940 geoDefault
N058.33.04.282 W003.58.31.940 N058.31.39.797 W004.05.42.816 geoDefault
N058.31.39.797 W004.05.42.816 N058.30.40.649 W004.16.16.465 geoDefault
N058.30.40.649 W004.16.16.465 N058.31.39.797 W004.17.40.948 geoDefault
N058.31.39.797 W004.17.40.948 N058.33.04.282 W004.26.58.556 geoDefault
N058.33.04.282 W004.26.58.556 N058.32.38.931 W004.30.12.878 geoDefault
N058.32.38.931 W004.30.12.878 N058.33.04.282 W004.32.11.154 geoDefault
N058.33.04.282 W004.32.11.154 N058.34.03.416 W004.38.48.243 geoDefault
N058.34.03.416 W004.38.48.243 N058.33.04.282 W004.42.44.801 geoDefault
N058.33.04.282 W004.42.44.801 N058.32.22.039 W004.50.46.373 geoDefault
N058.32.22.039 W004.50.46.373 N058.25.44.952 W004.58.39.493 geoDefault
N058.25.44.952 W004.58.39.493 N058.22.22.186 W005.02.02.259 geoDefault
N058.22.22.186 W005.02.02.259 N058.17.26.489 W005.02.36.056 geoDefault
N058.17.26.489 W005.02.36.056 N058.13.38.372 W005.02.36.056 geoDefault
N058.13.38.372 W005.02.36.056 N058.13.13.034 W005.04.00.541 geoDefault
N058.13.13.034 W005.04.00.541 N058.12.56.129 W005.11.11.421 geoDefault
N058.12.56.129 W005.11.11.421 N058.13.13.034 W005.14.34.187 geoDefault
N058.13.13.034 W005.14.34.187 N058.12.56.129 W005.15.16.430 geoDefault
; NOAA object 15
N050.41.55.251 W001.05.45.499 N050.43.36.628 W001.07.43.781 geoDefault
N050.43.36.628 W001.07.43.781 N050.42.45.939 W001.10.24.305 geoDefault
N050.42.45.939 W001.10.24.305 N050.42.45.939 W001.11.06.547 geoDefault
N050.42.45.939 W001.11.06.547 N050.41.55.251 W001.13.47.071 geoDefault
N050.41.55.251 W001.13.47.071 N050.41.55.251 W001.14.20.864 geoDefault
N050.41.55.251 W001.14.20.864 N050.41.55.251 W001.15.03.107 geoDefault
N050.41.55.251 W001.15.03.107 N050.40.13.861 W001.18.59.670 geoDefault
N050.40.13.861 W001.18.59.670 N050.38.07.134 W001.20.57.948 geoDefault
N050.38.07.134 W001.20.57.948 N050.36.25.757 W001.18.59.670 geoDefault
N050.36.25.757 W001.18.59.670 N050.34.44.367 W001.10.24.305 geoDefault
N050.34.44.367 W001.10.24.305 N050.35.35.056 W001.03.47.217 geoDefault
N050.35.35.056 W001.03.47.217 N050.38.07.134 W001.00.32.900 geoDefault
N050.38.07.134 W001.00.32.900 N050.39.23.173 W000.58.34.619 geoDefault
N050.39.23.173 W000.58.34.619 N050.40.39.212 W000.59.08.416 geoDefault
N050.40.39.212 W000.59.08.416 N050.41.55.251 W001.05.45.499 geoDefault
; NOAA object 16
N053.13.17.498 W004.05.42.816 N053.16.48.710 W003.59.47.976 geoDefault
N053.16.48.710 W003.59.47.976 N053.20.19.922 W004.05.42.816 geoDefault
N053.20.19.922 W004.05.42.816 N053.23.08.905 W004.13.02.148 geoDefault
N053.23.08.905 W004.13.02.148 N053.23.34.243 W004.18.23.190 geoDefault
N053.23.34.243 W004.18.23.190 N053.22.43.554 W004.26.16.313 geoDefault
; NOAA object 17
N054.22.25.757 W004.18.23.190 N054.22.08.865 W004.18.56.989 geoDefault
N054.22.08.865 W004.18.56.989 N054.18.37.653 W004.24.18.037 geoDefault
N054.18.37.653 W004.24.18.037 N054.13.58.847 W004.30.55.119 geoDefault
N054.13.58.847 W004.30.55.119 N054.06.14.167 W004.37.32.202 geoDefault
N054.06.14.167 W004.37.32.202 N054.02.42.955 W004.40.46.520 geoDefault
N054.02.42.955 W004.40.46.520 N054.03.50.548 W004.31.28.912 geoDefault
N054.03.50.548 W004.31.28.912 N054.07.47.111 W004.19.39.230 geoDefault
N054.07.47.111 W004.19.39.230 N054.13.08.159 W004.14.18.182 geoDefault
N054.13.08.159 W004.14.18.182 N054.16.39.371 W004.13.44.390 geoDefault
N054.16.39.371 W004.13.44.390 N054.20.52.826 W004.13.44.390 geoDefault
N054.20.52.826 W004.13.44.390 N054.22.25.757 W004.18.23.190 geoDefault
; NOAA object 18
N055.39.27.155 W005.13.51.945 N055.39.52.493 W005.14.34.187 geoDefault
N055.39.52.493 W005.14.34.187 N055.35.22.147 W005.15.16.430 geoDefault
N055.35.22.147 W005.15.16.430 N055.28.36.614 W005.14.34.187 geoDefault
N055.28.36.614 W005.14.34.187 N055.24.06.254 W005.09.55.382 geoDefault
N055.24.06.254 W005.09.55.382 N055.25.13.847 W005.04.00.541 geoDefault
N055.25.13.847 W005.04.00.541 N055.29.27.302 W005.02.36.056 geoDefault
N055.29.27.302 W005.02.36.056 N055.33.57.648 W005.01.20.017 geoDefault
N055.33.57.648 W005.01.20.017 N055.39.52.493 W005.02.36.056 geoDefault
N055.39.52.493 W005.02.36.056 N055.40.17.844 W005.05.16.580 geoDefault
N055.40.17.844 W005.05.16.580 N055.39.52.493 W005.10.37.624 geoDefault
N055.39.52.493 W005.10.37.624 N055.39.27.155 W005.12.35.906 geoDefault
N055.39.27.155 W005.12.35.906 N055.39.27.155 W005.13.18.148 geoDefault
N055.39.27.155 W005.13.18.148 N055.39.27.155 W005.13.51.945 geoDefault
; NOAA object 19
N055.51.50.628 W006.04.50.339 N055.52.32.870 W006.05.32.582 geoDefault
N055.52.32.870 W006.05.32.582 N055.51.50.628 W006.06.48.621 geoDefault
N055.51.50.628 W006.06.48.621 N055.50.17.697 W006.10.02.938 geoDefault
N055.50.17.697 W006.10.02.938 N055.48.27.861 W006.19.20.546 geoDefault
N055.48.27.861 W006.19.20.546 N055.41.25.437 W006.23.59.348 geoDefault
N055.41.25.437 W006.23.59.348 N055.39.52.493 W006.23.17.106 geoDefault
N055.39.52.493 W006.23.17.106 N055.45.05.095 W006.16.06.229 geoDefault
N055.45.05.095 W006.16.06.229 N055.42.49.922 W006.14.07.947 geoDefault
N055.42.49.922 W006.14.07.947 N055.38.19.562 W006.11.27.423 geoDefault
N055.38.19.562 W006.11.27.423 N055.36.12.835 W006.10.02.938 geoDefault
N055.36.12.835 W006.10.02.938 N055.39.10.250 W006.00.11.534 geoDefault
N055.39.10.250 W006.00.11.534 N055.44.22.852 W005.59.29.291 geoDefault
N055.44.22.852 W005.59.29.291 N055.49.10.104 W006.03.25.851 geoDefault
N055.49.10.104 W006.03.25.851 N055.51.25.277 W006.04.50.339 geoDefault
N055.51.25.277 W006.04.50.339 N055.51.50.628 W006.04.50.339 geoDefault
; NOAA object 20
N056.04.22.560 W005.39.04.244 N056.05.30.139 W005.37.39.759 geoDefault
N056.05.30.139 W005.37.39.759 N056.04.47.897 W005.39.38.037 geoDefault
N056.04.47.897 W005.39.38.037 N056.00.42.888 W005.46.57.367 geoDefault
N056.00.42.888 W005.46.57.367 N055.57.45.472 W005.50.20.133 geoDefault
N055.57.45.472 W005.50.20.133 N055.54.22.706 W005.50.53.926 geoDefault
N055.54.22.706 W005.50.53.926 N055.50.43.034 W005.56.14.974 geoDefault
N055.50.43.034 W005.56.14.974 N055.46.54.931 W005.56.57.217 geoDefault
N055.46.54.931 W005.56.57.217 N055.48.02.510 W005.50.53.926 geoDefault
N055.48.02.510 W005.50.53.926 N055.52.32.870 W005.48.13.402 geoDefault
N055.52.32.870 W005.48.13.402 N055.58.53.052 W005.41.44.768 geoDefault
N055.58.53.052 W005.41.44.768 N056.03.14.966 W005.39.04.244 geoDefault
N056.03.14.966 W005.39.04.244 N056.04.22.560 W005.39.04.244 geoDefault
; NOAA object 21
N056.17.19.828 W006.14.41.740 N056.18.44.313 W006.16.40.022 geoDefault
N056.18.44.313 W006.16.40.022 N056.16.29.140 W006.16.06.229 geoDefault
N056.16.29.140 W006.16.06.229 N056.14.39.305 W006.10.02.938 geoDefault
N056.14.39.305 W006.10.02.938 N056.14.39.305 W005.58.55.498 geoDefault
N056.14.39.305 W005.58.55.498 N056.17.19.828 W005.51.36.169 geoDefault
N056.17.19.828 W005.51.36.169 N056.19.09.651 W005.48.55.645 geoDefault
N056.19.09.651 W005.48.55.645 N056.19.09.651 W005.44.16.843 geoDefault
N056.19.09.651 W005.44.16.843 N056.20.17.244 W005.39.04.244 geoDefault
N056.20.17.244 W005.39.04.244 N056.23.56.916 W005.40.20.283 geoDefault
N056.23.56.916 W005.40.20.283 N056.26.03.643 W005.44.59.085 geoDefault
N056.26.03.643 W005.44.59.085 N056.26.28.980 W005.46.15.124 geoDefault
N056.26.28.980 W005.46.15.124 N056.29.01.058 W005.50.53.926 geoDefault
N056.29.01.058 W005.50.53.926 N056.32.40.730 W005.56.57.217 geoDefault
N056.32.40.730 W005.56.57.217 N056.33.06.067 W005.57.31.010 geoDefault
N056.33.06.067 W005.57.31.010 N056.33.22.972 W005.58.13.256 geoDefault
N056.33.22.972 W005.58.13.256 N056.35.55.037 W005.59.29.291 geoDefault
N056.35.55.037 W005.59.29.291 N056.35.12.794 W006.06.48.621 geoDefault
N056.35.12.794 W006.06.48.621 N056.32.40.730 W006.10.45.181 geoDefault
N056.32.40.730 W006.10.45.181 N056.29.26.409 W006.10.02.938 geoDefault
N056.29.26.409 W006.10.02.938 N056.27.36.573 W006.03.25.851 geoDefault
N056.27.36.573 W006.03.25.851 N056.26.28.980 W006.00.53.776 geoDefault
N056.26.28.980 W006.00.53.776 N056.23.31.565 W006.02.09.815 geoDefault
N056.23.31.565 W006.02.09.815 N056.21.41.729 W006.02.09.815 geoDefault
N056.21.41.729 W006.02.09.815 N056.20.59.486 W006.00.11.534 geoDefault
N056.20.59.486 W006.00.11.534 N056.18.44.313 W006.02.09.815 geoDefault
N056.18.44.313 W006.02.09.815 N056.17.19.828 W006.07.30.863 geoDefault
N056.17.19.828 W006.07.30.863 N056.17.19.828 W006.12.09.666 geoDefault
N056.17.19.828 W006.12.09.666 N056.17.19.828 W006.14.41.740 geoDefault
; NOAA object 22
N057.40.16.058 W006.14.41.740 N057.40.32.950 W006.16.40.022 geoDefault
