;CRYSTAL PALACE AND WROTHAM MASTS
(LFP)M10   N050.26.52.235 E002.53.14.491 N050.26.49.739 E002.53.15.727
(LFP)M10   N050.26.49.739 E002.53.15.727 N050.26.47.321 E002.53.17.300
(LFP)M10   N050.26.47.321 E002.53.17.300 N050.26.45.000 E002.53.19.198
(LFP)M10   N050.26.45.000 E002.53.19.198 N050.26.42.793 E002.53.21.406
(LFP)M10   N050.26.42.793 E002.53.21.406 N050.26.40.716 E002.53.23.908
(LFP)M10   N050.26.40.716 E002.53.23.908 N050.26.38.787 E002.53.26.685
(LFP)M10   N050.26.38.787 E002.53.26.685 N050.26.37.019 E002.53.29.716
(LFP)M10   N050.26.37.019 E002.53.29.716 N050.26.35.425 E002.53.32.976
(LFP)M10   N050.26.35.425 E002.53.32.976 N050.26.34.019 E002.53.36.443
(LFP)M10   N050.26.34.019 E002.53.36.443 N050.26.32.811 E002.53.40.089
(LFP)M10   N050.26.32.811 E002.53.40.089 N050.26.31.809 E002.53.43.886
(LFP)M10   N050.26.31.809 E002.53.43.886 N050.26.31.022 E002.53.47.806
(LFP)M10   N050.26.31.022 E002.53.47.806 N050.26.30.456 E002.53.51.819
(LFP)M10   N050.26.30.456 E002.53.51.819 N050.26.30.114 E002.53.55.894
(LFP)M10   N050.26.30.114 E002.53.55.894 N050.26.30.000 E002.53.60.000
(LFP)M10   N050.26.30.000 E002.53.60.000 N050.26.30.114 E002.54.04.106
(LFP)M10   N050.26.30.114 E002.54.04.106 N050.26.30.456 E002.54.08.181
(LFP)M10   N050.26.30.456 E002.54.08.181 N050.26.31.022 E002.54.12.194
(LFP)M10   N050.26.31.022 E002.54.12.194 N050.26.31.809 E002.54.16.114
(LFP)M10   N050.26.31.809 E002.54.16.114 N050.26.32.811 E002.54.19.911
(LFP)M10   N050.26.32.811 E002.54.19.911 N050.26.34.019 E002.54.23.557
(LFP)M10   N050.26.34.019 E002.54.23.557 N050.26.35.425 E002.54.27.024
(LFP)M10   N050.26.35.425 E002.54.27.024 N050.26.37.019 E002.54.30.284
(LFP)M10   N050.26.37.019 E002.54.30.284 N050.26.38.787 E002.54.33.315
(LFP)M10   N050.26.38.787 E002.54.33.315 N050.26.40.716 E002.54.36.092
(LFP)M10   N050.26.40.716 E002.54.36.092 N050.26.42.793 E002.54.38.594
(LFP)M10   N050.26.42.793 E002.54.38.594 N050.26.45.000 E002.54.40.802
(LFP)M10   N050.26.45.000 E002.54.40.802 N050.26.47.321 E002.54.42.700
(LFP)M10   N050.26.47.321 E002.54.42.700 N050.26.49.739 E002.54.44.273
(LFP)M10   N050.26.49.739 E002.54.44.273 N050.26.52.235 E002.54.45.509
(LFP)M10   N050.26.52.235 E002.54.45.509 N050.26.54.791 E002.54.46.398
(LFP)M10   N050.26.54.791 E002.54.46.398 N050.26.57.385 E002.54.46.935
(LFP)M10   N050.26.57.385 E002.54.46.935 N050.27.00.000 E002.54.47.114
(LFP)M10   N050.27.00.000 E002.54.47.114 N050.27.00.000 E002.54.47.114
;(LFP)M90
(LFP)M90   N049.46.00.001 E002.55.16.445 N049.46.05.211 E002.55.15.740
(LFP)M90   N049.46.05.211 E002.55.15.740 N049.46.07.766 E002.55.14.863
(LFP)M90   N049.46.07.766 E002.55.14.863 N049.46.10.262 E002.55.13.644
(LFP)M90   N049.46.10.262 E002.55.13.644 N049.46.12.680 E002.55.12.094
(LFP)M90   N049.46.12.680 E002.55.12.094 N049.46.15.001 E002.55.10.223
(LFP)M90   N049.46.15.001 E002.55.10.223 N049.46.17.208 E002.55.08.046
(LFP)M90   N049.46.17.208 E002.55.08.046 N049.46.19.285 E002.55.05.579
(LFP)M90   N049.46.19.285 E002.55.05.579 N049.46.21.214 E002.55.02.842
(LFP)M90   N049.46.21.214 E002.55.02.842 N049.46.22.983 E002.54.59.854
(LFP)M90   N049.46.22.983 E002.54.59.854 N049.46.24.576 E002.54.56.640
(LFP)M90   N049.46.24.576 E002.54.56.640 N049.46.25.982 E002.54.53.222
(LFP)M90   N049.46.25.982 E002.54.53.222 N049.46.27.190 E002.54.49.628
(LFP)M90   N049.46.27.190 E002.54.49.628 N049.46.28.192 E002.54.45.884
(LFP)M90   N049.46.28.192 E002.54.45.884 N049.46.28.979 E002.54.42.020
(LFP)M90   N049.46.28.979 E002.54.42.020 N049.46.29.545 E002.54.38.064
(LFP)M90   N049.46.29.545 E002.54.38.064 N049.46.29.887 E002.54.34.047
(LFP)M90   N049.46.29.887 E002.54.34.047 N049.46.30.001 E002.54.29.999
(LFP)M90   N049.46.30.001 E002.54.29.999 N049.46.29.887 E002.54.25.951
(LFP)M90   N049.46.29.887 E002.54.25.951 N049.46.29.545 E002.54.21.933
(LFP)M90   N049.46.29.545 E002.54.21.933 N049.46.28.979 E002.54.17.978
(LFP)M90   N049.46.28.979 E002.54.17.978 N049.46.28.192 E002.54.14.113
(LFP)M90   N049.46.28.192 E002.54.14.113 N049.46.27.190 E002.54.10.370
(LFP)M90   N049.46.27.190 E002.54.10.370 N049.46.25.982 E002.54.06.775
(LFP)M90   N049.46.25.982 E002.54.06.775 N049.46.24.576 E002.54.03.358
(LFP)M90   N049.46.24.576 E002.54.03.358 N049.46.22.983 E002.54.00.143
(LFP)M90   N049.46.22.983 E002.54.00.143 N049.46.21.214 E002.53.57.156
(LFP)M90   N049.46.21.214 E002.53.57.156 N049.46.19.285 E002.53.54.419
(LFP)M90   N049.46.19.285 E002.53.54.419 N049.46.17.208 E002.53.51.952
(LFP)M90   N049.46.17.208 E002.53.51.952 N049.46.15.001 E002.53.49.775
(LFP)M90   N049.46.15.001 E002.53.49.775 N049.46.12.680 E002.53.47.904
(LFP)M90   N049.46.12.680 E002.53.47.904 N049.46.10.262 E002.53.46.353
(LFP)M90   N049.46.10.262 E002.53.46.353 N049.46.07.766 E002.53.45.135
(LFP)M90   N049.46.07.766 E002.53.45.135 N049.46.05.211 E002.53.44.258
(LFP)M90   N049.46.05.211 E002.53.44.258 N049.46.02.616 E002.53.43.729
(LFP)M90   N049.46.02.616 E002.53.43.729 N049.46.00.001 E002.53.43.552
(LFP)M90   N049.46.00.001 E002.53.43.552 N049.45.57.387 E002.53.43.729
