EGNH Blackpool SMAA    		S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                             N053.51.25.818 W003.25.33.993 N053.52.38.356 W003.24.43.153
                             N053.52.38.356 W003.24.43.153 N053.53.48.000 W003.23.41.810
                             N053.53.48.000 W003.23.41.810 N053.54.54.219 W003.22.30.430
                             N053.54.54.219 W003.22.30.430 N053.55.56.509 W003.21.09.556
                             N053.55.56.509 W003.21.09.556 N053.56.54.396 W003.19.39.804
                             N053.56.54.396 W003.19.39.804 N053.57.47.440 W003.18.01.857
                             N053.57.47.440 W003.18.01.857 N053.58.35.237 W003.16.16.460
                             N053.58.35.237 W003.16.16.460 N053.59.17.423 W003.14.24.415
                             N053.59.17.423 W003.14.24.415 N053.59.53.677 W003.12.26.576
                             N053.59.53.677 W003.12.26.576 N054.00.23.723 W003.10.23.839
                             N054.00.23.723 W003.10.23.839 N054.00.47.333 W003.08.17.138
                             N054.00.47.333 W003.08.17.138 N054.01.04.327 W003.06.07.437
                             N054.01.04.327 W003.06.07.437 N054.01.14.575 W003.03.55.723
                             N054.01.14.575 W003.03.55.723 N054.01.18.000 W003.01.43.000

                             N053.58.37.000 W002.47.17.000 N053.58.35.237 W002.47.09.540
                             N053.58.35.237 W002.47.09.540 N053.57.47.440 W002.45.24.143
                             N053.57.47.440 W002.45.24.143 N053.56.54.396 W002.43.46.196
                             N053.56.54.396 W002.43.46.196 N053.55.56.509 W002.42.16.444
                             N053.55.56.509 W002.42.16.444 N053.54.54.219 W002.40.55.570
                             N053.54.54.219 W002.40.55.570 N053.53.48.000 W002.39.44.190
                             N053.53.48.000 W002.39.44.190 N053.52.38.356 W002.38.42.847
                             N053.52.38.356 W002.38.42.847 N053.51.25.818 W002.37.52.007
                             N053.51.25.818 W002.37.52.007 N053.50.10.937 W002.37.12.059
                             N053.50.10.937 W002.37.12.059 N053.50.00.000 W002.37.12.000
                             N053.50.00.000 W002.37.12.000 N053.50.05.092 W002.36.45.800
                             N053.50.05.092 W002.36.45.800 N053.50.15.108 W002.36.04.749
                             N053.50.15.108 W002.36.04.749 N053.50.27.192 W002.35.25.336
                             N053.50.27.192 W002.35.25.336 N053.50.41.254 W002.34.47.862
                             N053.50.41.254 W002.34.47.862 N053.50.57.187 W002.34.12.611
                             N053.50.57.187 W002.34.12.611 N053.51.14.868 W002.33.39.851
                             N053.51.14.868 W002.33.39.851 N053.51.34.164 W002.33.09.833
                             N053.51.34.164 W002.33.09.833 N053.51.54.927 W002.32.42.784
                             N053.51.54.927 W002.32.42.784 N053.52.17.000 W002.32.18.910
                             N053.52.17.000 W002.32.18.910 N053.52.40.215 W002.31.58.393
                             N053.52.40.215 W002.31.58.393 N053.53.04.394 W002.31.41.389
                             N053.53.04.394 W002.31.41.389 N053.53.29.354 W002.31.28.028
                             N053.53.29.354 W002.31.28.028 N053.53.54.906 W002.31.18.411
                             N053.53.54.906 W002.31.18.411 N053.54.20.853 W002.31.12.611
                             N053.54.20.853 W002.31.12.611 N053.54.47.000 W002.31.10.673
                             N053.54.47.000 W002.31.10.673 N053.55.13.147 W002.31.12.611
                             N053.55.13.147 W002.31.12.611 N053.55.39.094 W002.31.18.411
                             N053.55.39.094 W002.31.18.411 N053.56.04.646 W002.31.28.028
                             N053.56.04.646 W002.31.28.028 N053.56.29.606 W002.31.41.389
                             N053.56.29.606 W002.31.41.389 N053.56.53.785 W002.31.58.393
                             N053.56.53.785 W002.31.58.393 N053.57.17.000 W002.32.18.910
                             N053.57.17.000 W002.32.18.910 N053.57.39.073 W002.32.42.784
                             N053.57.39.073 W002.32.42.784 N053.57.59.836 W002.33.09.833
                             N053.57.59.836 W002.33.09.833 N053.58.19.132 W002.33.39.851
                             N053.58.19.132 W002.33.39.851 N053.58.36.813 W002.34.12.611
                             N053.58.36.813 W002.34.12.611 N053.58.52.746 W002.34.47.862
                             N053.58.52.746 W002.34.47.862 N053.59.06.808 W002.35.25.336
                             N053.59.06.808 W002.35.25.336 N053.59.18.892 W002.36.04.749
                             N053.59.18.892 W002.36.04.749 N053.59.28.908 W002.36.45.800
                             N053.59.28.908 W002.36.45.800 N053.59.36.778 W002.37.28.176
                             N053.59.36.778 W002.37.28.176 N053.59.42.442 W002.38.11.556
                             N053.59.42.442 W002.38.11.556 N053.59.45.858 W002.38.55.609
                             N053.59.45.858 W002.38.55.609 N053.59.47.000 W002.39.40.000
