OF    325.000 N051.31.18.671 W002.35.24.832 ;- FILTON
OK    398.000 N053.55.26.400 W008.41.59.400
OKT   371.000 N050.49.27.000 E003.13.30.000 ; Kortrijk
OL    339.000 N052.44.56.400 W008.49.25.800
ONC   323.000 N050.29.22.000 E004.33.19.000 ; Charleroi
ONL   290.000 N050.42.04.000 E005.32.57.000 ; Liege
ONO   339.500 N051.13.13.000 E003.00.42.000 ; Oostende
ONW   355.000 N051.10.03.000 E004.33.58.000 ; Antwerpen
OP    397.000 N053.24.49.800 W006.08.18.000
OX    367.500 N051.49.56.932 W001.19.23.660 ; Oxford
OY    332.000 N054.41.33.529 W006.05.07.289 ; Aldergrove
PE    336.000 N055.28.10.200 W004.28.34.800
PIK   355.000 N055.30.21.920 W004.34.38.111 ; Prestwick
PW    426.000 N055.32.39.671 W004.40.53.591 ; Prestwick
RCH   369.000 N051.21.13.799 E000.30.13.201 ; Rochester
RDL   343.000 N051.12.53.800 W000.08.21.300 ; Redhill
RNR   374.000 N052.14.24.000 W003.15.04.800
ROT   350.500 N051.53.51.310 E004.33.15.650 ; Rotterdam
RSH   326.000 N053.30.42.600 W006.06.37.800
RWY   359.000 N054.04.51.899 W004.37.22.400 ; Isle of Man
S     316.000 N052.42.49.800 W008.53.45.000
SAY   431.000 N058.12.55.732 W006.19.44.681 ; Stornoway
SBH   351.000 N059.52.56.550 W001.17.41.399 ; Sumburgh
SBL   323.000 N053.47.22.000 W001.12.30.000
SDM   348.500 N052.37.24.600 E000.55.33.000
SH    426.000 N052.14.36.460 W002.52.47.348 ; Shobdon
SHM   332.000 N050.50.07.840 W000.17.43.390 ; Shoreham
SLG   384.000 N054.16.49.800 W008.36.00.000
SLV   386.500 N050.28.41.000 E005.54.47.000 ; Spa
SMF   333.000 N053.23.33.500 W001.22.59.290 ; Sheffield City
SND   362.500 N051.34.33.630 E000.42.00.520 ; Southend
SS    315.500 N060.27.36.650 W001.12.55.230
SSD   429.000 N051.53.40.531 E000.14.42.112 ; Stansted
STD   386.000 N051.44.28.770 E004.14.36.550 ; Stad
STM   321.000 N049.54.50.730 W006.17.27.990
SUB   108.500 N059.52.57.130 W001.17.22.000
SWN   320.500 N051.36.08.000 W004.03.57.000
TD    347.500 N054.33.37.220 W001.20.00.398 ; Teesside
TNL   327.000 N052.48.53.000 W001.46.00.000
TWN   335.500 N052.16.04.570 E006.52.34.190 ; Twenthe
UW    368.000 N055.54.18.551 W003.30.09.040 ; Edinburgh
WBA   356.000 N052.30.57.251 W002.15.42.340 ; Wolverhampton
WCO   335.000 N051.51.11.000 W000.57.45.000 ; Westcott
WFD   380.000 N053.20.15.569 W002.09.30.089 ; Manchester Woodford
WFR   339.000 N054.51.39.000 W004.56.25.200
WHI   368.500 N053.11.06.000 W002.37.23.000 ; Whitegate
WIK   344.000 N058.26.48.230 W003.03.47.230
WL    385.000 N054.07.31.800 W003.15.42.000
WLU   346.000 N049.34.04.000 E006.03.15.000 ; Luxembourg
WOD   352.000 N051.27.10.000 W000.52.44.000 ; Woodley
WPL   323.000 N052.37.48.000 W003.09.14.000
WTD   368.000 N052.11.20.400 W007.05.00.000 ; Waterford
WTN   337.000 N053.45.05.930 W002.51.08.360
WZ    416.000 N055.00.24.120 W001.48.25.470
YVL   343.000 N050.56.28.820 W002.39.51.930 ; Yeovil
