BIGNO N050.00.00.000 W002.49.30.000
BILLY N060.01.10.570 W008.34.08.260
BILNI N050.40.31.080 W002.07.32.560
BILTO N056.30.00.000 W015.00.00.000
BILVO N053.43.52.260 W003.11.08.890
BIMGO N049.30.00.000 W014.00.00.000
BINBO N053.24.06.070 E003.20.29.350
BINTI N054.33.44.740 W001.59.44.930
BISRU N051.04.18.090 E000.22.02.820
BLACA N054.53.00.000 W005.09.31.920
BLIXY N051.37.30.250 E001.58.31.540
BODSO N053.03.08.250 E002.05.40.710
BOFUM N053.32.13.980 W005.30.00.000
BOGMI N050.59.52.570 W007.12.16.710
BOGNA N050.42.07.000 W000.15.05.570
BOLBI N053.27.59.750 W001.48.45.070
BOLRO N050.00.00.000 W001.41.29.430
BOMBO N051.59.44.290 W000.23.46.850
BONBY N057.53.30.000 W004.20.36.000
BOXHE N050.09.29.330 W003.38.29.690
BOYNE N053.46.01.590 W005.30.00.000
BRAIN N051.48.39.910 E000.39.06.000
BRASO N051.41.06.570 E000.41.00.030
BRIPO N050.42.27.470 W002.45.00.000
BRUCE N056.14.11.050 W005.50.28.090
BRUMI N052.22.37.210 W002.00.19.140
BUCFA N051.30.13.220 W002.09.41.090
BUCGO N051.46.06.080 W002.36.37.200
BUDON N057.42.06.850 W000.33.43.380
BUDXE N050.28.18.290 W003.17.44.210
BUGUP N051.52.37.170 W001.36.59.890
BUKUT N052.45.30.210 E002.48.01.680
BURNI N053.43.37.760 W002.31.03.860
BUSTA N052.05.34.450 E000.04.03.920
BUZAD N051.56.32.080 W000.33.08.210
CALDA N053.46.27.000 W002.38.38.380
CARWI N051.25.05.880 W003.17.44.160
CASEL N053.49.52.130 W004.10.56.750
CAWZE N051.22.27.350 W001.59.20.050
CESQA N051.39.40.990 W001.37.11.970
CHASE N052.36.47.510 W001.55.01.920
CHINN N057.57.51.000 W004.11.17.140
CLYDE N055.57.48.430 W004.47.31.510
COCCU N052.16.04.340 W000.03.22.020
CONHA N052.42.26.440 W002.46.59.260
CONKO N051.36.48.000 W002.03.10.180
COWLY N051.36.57.580 W001.03.53.720
COXPE N050.56.16.270 W003.34.42.700
CREWE N052.49.06.850 W002.18.26.900
CROFT N053.37.36.890 W002.32.19.850
CUTEL N055.53.08.890 E002.22.27.680
DAGGA N051.49.19.370 E000.47.39.000
DANDI N053.41.03.710 W003.56.58.080
DANWO N051.47.22.810 W001.41.05.770
DAUNT N055.25.08.180 W004.52.46.930
DAVAZ N051.52.58.690 W005.25.53.590
DAVOT N057.20.41.570 W004.05.28.570
DAWLY N050.34.27.310 W003.27.50.230
DAYNE N053.14.19.120 W002.01.45.260
DEGGE N051.37.40.400 W001.00.09.120
DEGOS N054.11.21.190 W006.54.22.890
DELBO N051.52.36.920 W001.16.24.010
DENBY N053.31.12.530 W001.57.40.390
