;Airport Boundary
N055.56.50.068 W003.21.04.800
N055.56.50.105 W003.21.04.774
N055.56.49.990 W003.21.04.367
N055.56.49.819 W003.21.03.541
N055.56.49.727 W003.21.02.812
N055.56.49.710 W003.21.02.132
N055.56.49.853 W003.21.01.735
N055.56.50.058 W003.21.01.348
N055.56.50.296 W003.21.00.947
N055.56.50.682 W003.21.00.440
N055.56.51.151 W003.20.59.871
N055.56.51.762 W003.20.59.383
N055.56.52.301 W003.20.59.052
N055.56.52.392 W003.20.59.477
N055.56.52.138 W003.20.59.915
N055.56.51.410 W003.21.03.106
N055.56.52.064 W003.21.05.226
;P_Disused
REGIONNAME Edinburgh
smrSCOTaxiway N055.57.04.622 W003.21.30.842
N055.57.04.076 W003.21.29.119
N055.57.04.342 W003.21.29.435
N055.57.04.597 W003.21.29.618
N055.57.04.891 W003.21.29.633
N055.57.05.164 W003.21.29.549
N055.57.05.510 W003.21.29.176
N055.57.05.710 W003.21.28.682
N055.57.05.816 W003.21.28.107
N055.57.06.165 W003.21.24.821
N055.57.06.192 W003.21.24.291
N055.57.06.151 W003.21.23.754
N055.57.05.959 W003.21.22.464
N055.57.06.944 W003.21.25.681
N055.57.06.554 W003.21.25.920
N055.57.06.501 W003.21.26.429
N055.57.06.677 W003.21.26.848
N055.57.06.871 W003.21.27.412
N055.57.06.937 W003.21.27.666
N055.57.07.002 W003.21.28.168
N055.57.07.025 W003.21.28.607
N055.57.07.109 W003.21.28.789
N055.57.07.210 W003.21.28.865
N055.57.07.360 W003.21.28.846
N055.57.07.360 W003.21.29.153
N055.57.06.527 W003.21.29.202
N055.57.06.385 W003.21.29.254
N055.57.06.294 W003.21.29.333
N055.57.06.223 W003.21.29.456
N055.57.05.961 W003.21.33.072
;Tiny_P_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.57.06.901 W003.21.28.870
N055.57.06.481 W003.21.28.914
N055.57.06.359 W003.21.28.822
N055.57.06.289 W003.21.28.625
N055.57.06.448 W003.21.26.825
N055.57.06.523 W003.21.26.793
N055.57.06.685 W003.21.27.135
N055.57.06.828 W003.21.27.568
N055.57.06.912 W003.21.28.199
N055.57.06.927 W003.21.28.812
;L/M_Loop
REGIONNAME Edinburgh
smrSCOTaxiway N055.57.06.015 W003.21.40.243
N055.57.05.830 W003.21.40.450
N055.57.05.614 W003.21.40.610
N055.57.05.111 W003.21.40.375
N055.57.04.822 W003.21.39.891
N055.57.04.424 W003.21.38.763
N055.57.03.987 W003.21.36.877
N055.57.03.776 W003.21.35.951
N055.57.03.580 W003.21.35.038
N055.57.02.911 W003.21.32.635
N055.57.02.527 W003.21.31.157
N055.57.02.513 W003.21.30.567
N055.57.02.550 W003.21.30.016
N055.57.02.610 W003.21.29.652
N055.57.02.723 W003.21.29.504
N055.57.02.835 W003.21.29.463
N055.57.03.031 W003.21.29.532
N055.57.03.250 W003.21.29.736
N055.57.03.425 W003.21.30.050
N055.57.04.222 W003.21.32.655
N055.57.04.462 W003.21.33.271
N055.57.04.739 W003.21.33.672
N055.57.06.083 W003.21.35.158
N055.57.06.457 W003.21.35.695
N055.57.06.647 W003.21.36.015
N055.57.06.763 W003.21.36.297
N055.57.06.816 W003.21.36.514
N055.57.06.884 W003.21.36.834
N055.57.06.916 W003.21.37.145
N055.57.06.911 W003.21.37.408
N055.57.06.879 W003.21.37.804
N055.57.06.826 W003.21.38.218
N055.57.06.763 W003.21.38.472
N055.57.06.341 W003.21.39.753
;Fire_Road
REGIONNAME Edinburgh
smrSCOTaxiway N055.56.51.807 W003.22.25.828
N055.56.55.741 W003.22.30.036
N055.56.55.611 W003.22.30.432
N055.56.51.687 W003.22.26.191

;Runway
REGIONNAME Edinburgh
smrDisused N055.56.36.591 W003.23.26.554
N055.57.21.401 W003.21.14.328
N055.57.23.033 W003.21.16.157
N055.56.38.234 W003.23.28.308
