;Airport Boundary
N055.56.32.716 W003.23.17.997
N055.56.32.463 W003.23.17.381
N055.56.32.390 W003.23.16.571
N055.56.32.372 W003.23.15.988
N055.56.32.499 W003.23.15.113
N055.56.33.643 W003.23.11.906
N055.56.33.842 W003.23.11.582
N055.56.34.096 W003.23.11.258
N055.56.35.639 W003.23.09.866
N055.56.36.111 W003.23.09.185
N055.56.36.474 W003.23.08.538
N055.56.43.659 W003.22.47.389
N055.56.49.154 W003.22.31.052
N055.56.55.982 W003.22.11.071
N055.56.56.618 W003.22.08.486
N055.56.56.655 W003.22.07.620
N055.56.56.399 W003.22.06.568
N055.56.56.246 W003.22.06.288
N055.56.55.900 W003.22.06.653
N055.56.55.618 W003.22.07.317
N055.56.55.442 W003.22.08.435
N055.56.54.864 W003.22.10.111
N055.56.54.252 W003.22.10.384
N055.56.53.384 W003.22.09.897
N055.56.52.360 W003.22.09.662
N055.56.51.802 W003.22.09.634
N055.56.51.023 W003.22.09.137
N055.56.50.353 W003.22.09.061
N055.56.49.504 W003.22.08.528
N055.56.46.978 W003.22.08.480
N055.56.46.756 W003.22.08.040
N055.56.45.560 W003.22.07.930
N055.56.44.885 W003.22.06.578
N055.56.44.903 W003.22.04.472
N055.56.45.060 W003.22.04.484
N055.56.45.060 W003.22.03.587
N055.56.44.220 W003.22.03.563
N055.56.44.213 W003.22.00.344
N055.56.43.673 W003.22.00.311
N055.56.43.674 W003.21.56.861
N055.56.43.956 W003.21.56.333
N055.56.44.581 W003.21.56.015
N055.56.54.096 W003.21.56.345
N055.56.54.306 W003.21.56.088
N055.56.54.700 W003.21.54.943
N055.56.57.438 W003.21.47.115
N055.56.57.675 W003.21.45.844
N055.56.58.735 W003.21.42.680
N055.56.59.242 W003.21.42.341
N055.56.59.859 W003.21.42.757
N055.57.00.579 W003.21.43.560
N055.57.00.981 W003.21.44.288
N055.57.01.839 W003.21.41.429
N055.57.00.938 W003.21.41.144
N055.56.59.345 W003.21.39.997
N055.56.58.572 W003.21.39.241
N055.56.55.520 W003.21.37.822
N055.56.55.159 W003.21.37.558
N055.56.54.950 W003.21.37.346
N055.56.54.698 W003.21.36.622
N055.56.50.932 W003.21.24.292
N055.56.51.443 W003.21.23.797
N055.56.51.556 W003.21.23.252
N055.56.47.950 W003.21.11.710
N055.56.47.789 W003.21.11.577
N055.56.47.607 W003.21.11.614
N055.56.45.928 W003.21.13.121
N055.56.45.342 W003.21.12.845
N055.56.44.618 W003.21.10.498
N055.56.44.357 W003.21.10.738
N055.56.43.768 W003.21.08.727
N055.56.45.544 W003.21.06.999
N055.56.43.563 W003.21.04.871
N055.56.43.510 W003.21.04.608
N055.56.43.590 W003.21.04.286
N055.56.48.064 W003.20.51.077
N055.56.48.527 W003.20.49.663
N055.56.48.656 W003.20.48.125
N055.56.51.509 W003.20.39.679
N055.56.52.003 W003.20.39.071
N055.56.52.229 W003.20.38.713
N055.56.53.273 W003.20.35.612
N055.56.53.743 W003.20.35.241
N055.56.54.216 W003.20.34.995
N055.56.55.269 W003.20.33.819
N055.56.56.135 W003.20.34.725
N055.56.59.309 W003.20.45.261
